,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,all_stu_count,asian_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
237902001,164,92,92,95,105,443,3,86,40,44,318,15.6,16.3,17.4,10.7,45522,35.5,237,N,92.8,237902001,237902
237904002,567,514,449,334,204,1864,8,716,121,92,1030,21.8,23.1,24.8,11.6,58750,103.1,237,N,95.3,237904002,237904
237905002,145,158,115,122,94,540,1,61,15,62,344,17.8,14.7,15.9,8.1,53291,43.9,237,N,94.9,237905002,237905
238902001,160,166,135,110,30,571,7,183,35,61,198,17.6,18,17.6,12.4,46878,41.6,238,N,94.7,238902001,238902
238902002,3,1,3,7,1,14,0,7,0,2,5,10,10,.,16.9,43743,3.3,238,N,87.8,238902002,238902
239901001,439,393,314,307,270,1453,26,741,166,181,588,21.1,21.6,21,12.9,48628,112.1,239,N,95,239901001,239901
240801001,48,51,49,102,0,250,0,1,0,28,233,3.8,4.3,6.4,14.2,42912,10,240,Y,89.3,240801001,240801
240801002,18,24,32,49,0,123,0,1,0,14,114,5,3.6,6.2,4.7,37527,6.9,240,Y,90.2,240801002,240801
240901001,589,526,398,362,1,1875,0,13,139,149,1679,15.4,15.8,14.4,12.6,54774,120.1,240,N,94.1,240901001,240901
240901002,640,556,489,396,3,2081,6,5,233,163,1615,16.1,14.2,13.1,15,56608,139,240,N,94,240901002,240901
240901003,462,423,345,339,1,1569,0,4,119,182,1541,11.7,12.1,11.6,14.1,55523,105,240,N,95.7,240901003,240901
240901008,117,110,103,97,0,427,6,2,137,0,406,20.9,20.9,20.7,14.2,56644,17.3,240,N,97.2,240901008,240901
240903001,1142,1084,988,1028,12,4242,20,32,750,295,2612,24.5,23.8,23.2,13.6,55922,225.3,240,N,96,240903001,240903
240903002,900,887,729,782,4,3298,3,14,424,255,2805,22.4,22.9,24.1,11,54195,184.3,240,N,93.4,240903002,240903
240903003,754,705,631,662,6,2752,27,44,560,126,1623,22.6,22.6,20.8,14.7,56362,165,240,N,94.9,240903003,240903
240903009,879,709,621,601,1,2810,0,4,139,276,2636,21.8,21.2,21.9,10.2,53237,169.9,240,N,91.5,240903009,240903
240904001,21,28,24,29,0,102,0,7,1,13,68,9,11.5,11.2,17.4,60576,13.4,240,N,95.2,240904001,240904
241901001,95,79,89,76,27,339,1,122,13,21,151,16.3,19.6,19.5,15.2,48091,24.1,241,N,96.6,241901001,241901
241902001,80,87,73,72,12,312,0,220,8,18,83,8,14.6,15.2,13.4,46839,29.3,241,N,96.5,241902001,241902
241903001,298,270,243,180,123,991,0,340,152,84,582,17.6,21,19.5,14.5,48456,68.2,241,N,94,241903001,241903
241904001,166,136,162,119,142,583,1,116,34,62,427,13.4,14.9,15.4,11.1,45920,51.2,241,N,96,241904001,241904
241906001,47,32,26,35,12,140,0,60,0,6,69,11.7,13.7,13.3,8.5,40091,13.3,241,N,94.5,241906001,241906
242902001,25,22,25,28,13,100,2,56,0,8,52,8.1,8,7.4,15.3,48389,15.4,242,N,93.7,242902001,242902
243901001,255,218,226,198,77,897,8,642,46,97,387,15.7,14.5,16.8,14.6,46039,64.9,243,N,93.4,243901001,243901
243903001,127,141,124,113,3,505,4,429,35,55,178,13.9,13.5,15.3,11.6,44420,42.7,243,N,96.4,243903001,243903
243905001,250,233,183,184,243,850,24,259,43,122,563,20.8,21.3,21.3,11,52901,66.3,243,N,96.1,243905001,243905
