,gr3_stu_count,gr4_stu_count,gr5_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
003906101,36,35,37,0,251,238,6,17,168,22,.,.,11.210526316,41463,18.4888,003,N,96,003906101,003906
006902101,22,28,29,4,162,137,2,18,80,.,.,.,15.621422413,43034,14.8845,006,N,97,006902101,006902
007902101,122,88,109,5,618,251,35,35,390,.,.,.,11.230769231,44700,38.1528,007,N,96.8,007902101,007902
008903102,62,57,64,35,386,142,5,13,247,.,.,.,13.264225603,46178,24.419,008,N,96.7,008903102,008903
013903101,29,31,24,1,181,71,14,19,133,.,.,.,15.8125,44015,14.8507,013,N,96.4,013903101,013903
014903103,59,57,44,52,404,158,25,43,334,.,.,.,7.8333333333,43430,29.6677,014,N,96.1,014903103,014903
014903104,84,74,66,29,471,120,6,30,423,.,.,.,11.4375,45542,32,014,N,96.2,014903104,014903
014906102,56,67,60,85,438,115,14,38,288,.,.,.,11.894736842,49391,36.137,014,N,96.5,014906102,014906
014906103,73,89,70,200,540,98,6,60,449,.,.,.,7.1445783133,46341,40.3523,014,N,95.5,014906103,014906
014906105,102,93,83,130,708,212,7,66,564,.,.,.,9.9751644081,48218,52.6173,014,N,96,014906105,014906
014906109,90,83,77,170,683,122,15,61,538,.,.,.,8.8101755212,47240,50.2043,014,N,95.2,014906109,014906
014906110,108,107,108,219,742,152,13,71,459,.,.,.,9.1681308562,48145,51.895,014,N,96.1,014906110,014906
014906111,64,46,73,199,477,97,21,33,320,.,.,.,11.142857143,49622,31.5064,014,N,96,014906111,014906
014906112,61,65,52,182,523,110,2,47,439,.,.,.,12.601555055,50358,40.438,014,N,94,014906112,014906
014906113,68,76,78,200,535,130,13,70,366,.,.,.,12.281850577,49956,38.5191,014,N,96,014906113,014906
014906115,119,95,104,100,690,376,44,71,290,.,.,.,12.975137364,50360,46.7084,014,N,95.9,014906115,014906
