,SAT_avg,ACT_avg,SAT/ACT_pct,DISTRICT
001902,19.8,19.8,19.8,001902
001903,21.4,21.4,21.4,001903
001904,19.5,19.5,19.5,001904
001906,24,24,24,001906
001907,18.7,18.7,18.7,001907
001908,17.9,17.9,17.9,001908
001909,24.5,24.5,24.5,001909
002901,19.9,19.9,19.9,002901
003801,.,.,.,003801
003902,20.2,20.2,20.2,003902
003903,17.9,17.9,17.9,003903
003904,18.9,18.9,18.9,003904
003905,18.4,18.4,18.4,003905
003906,19.6,19.6,19.6,003906
003907,18.4,18.4,18.4,003907
004901,20.7,20.7,20.7,004901
005901,21.8,21.8,21.8,005901
005902,21.4,21.4,21.4,005902
005904,23.4,23.4,23.4,005904
006902,18.9,18.9,18.9,006902
007901,17.8,17.8,17.8,007901
007902,19.7,19.7,19.7,007902
007904,15.2,15.2,15.2,007904
007905,20.1,20.1,20.1,007905
007906,17.5,17.5,17.5,007906
008901,21.9,21.9,21.9,008901
008902,20.2,20.2,20.2,008902
008903,18.1,18.1,18.1,008903
009901,21.5,21.5,21.5,009901
010901,17.4,17.4,17.4,010901
010902,20,20,20,010902
011901,19.8,19.8,19.8,011901
011902,18.5,18.5,18.5,011902
011904,21.8,21.8,21.8,011904
011905,.,.,.,011905
012901,20.5,20.5,20.5,012901
013801,.,.,.,013801
013901,17.8,17.8,17.8,013901
013902,.,.,.,013902
013903,19,19,19,013903
013905,18.6,18.6,18.6,013905
014801,.,.,.,014801
014802,.,.,.,014802
014803,.,.,.,014803
014804,.,.,.,014804
014901,21.2,21.2,21.2,014901
014902,22,22,22,014902
014903,20,20,20,014903
014905,20.8,20.8,20.8,014905
014906,19.6,19.6,19.6,014906
014907,18.9,18.9,18.9,014907
014908,21.5,21.5,21.5,014908
014909,21.7,21.7,21.7,014909
014910,21.7,21.7,21.7,014910
015801,.,.,.,015801
015802,-1,-1,-1,015802
015803,.,.,.,015803
015805,.,.,.,015805
015806,15.2,15.2,15.2,015806
015807,-1,-1,-1,015807
015808,-1,-1,-1,015808
015809,.,.,.,015809
015811,.,.,.,015811
015812,.,.,.,015812
015813,.,.,.,015813
015814,.,.,.,015814
015815,.,.,.,015815
015816,.,.,.,015816
015817,-1,-1,-1,015817
015819,-1,-1,-1,015819
015820,.,.,.,015820
015822,.,.,.,015822
015823,.,.,.,015823
015824,.,.,.,015824
015825,.,.,.,015825
015826,.,.,.,015826
015827,.,.,.,015827
015828,.,.,.,015828
015830,.,.,.,015830
015901,23.6,23.6,23.6,015901
015904,18.1,18.1,18.1,015904
015905,16.2,16.2,16.2,015905
015906,23.8,23.8,23.8,015906
015907,16.5,16.5,16.5,015907
015908,17.4,17.4,17.4,015908
015909,16.9,16.9,16.9,015909
015910,21.7,21.7,21.7,015910
015911,18.8,18.8,18.8,015911
015912,17.8,17.8,17.8,015912
015913,22.1,22.1,22.1,015913
015914,22.6,22.6,22.6,015914
015915,20.9,20.9,20.9,015915
015916,19,19,19,015916
015917,16.8,16.8,16.8,015917
016901,23.3,23.3,23.3,016901
016902,22.2,22.2,22.2,016902
017901,21.3,21.3,21.3,017901
018901,20.1,20.1,20.1,018901
018902,18.9,18.9,18.9,018902
018903,.,.,.,018903
018904,19.2,19.2,19.2,018904
018905,.,.,.,018905
018906,-1,-1,-1,018906
018907,18.4,18.4,18.4,018907
018908,.,.,.,018908
019901,19.6,19.6,19.6,019901
019902,20.3,20.3,20.3,019902
019903,19,19,19,019903
019905,19.9,19.9,19.9,019905
019906,21.9,21.9,21.9,019906
019907,20,20,20,019907
019908,19.5,19.5,19.5,019908
019909,19.3,19.3,19.3,019909
019910,.,.,.,019910
019911,.,.,.,019911
019912,23.1,23.1,23.1,019912
019913,.,.,.,019913
019914,.,.,.,019914
020901,18.9,18.9,18.9,020901
020902,21.3,21.3,21.3,020902
020904,-1,-1,-1,020904
020905,22.2,22.2,22.2,020905
020906,21.3,21.3,21.3,020906
020907,19.2,19.2,19.2,020907
020908,21,21,21,020908
020910,.,.,.,020910
021803,-1,-1,-1,021803
021804,.,.,.,021804
021901,22.5,22.5,22.5,021901
021902,18.4,18.4,18.4,021902
022004,.,.,.,022004
022901,18,18,18,022901
022902,-1,-1,-1,022902
022903,.,.,.,022903
023902,23.8,23.8,23.8,023902
024801,.,.,.,024801
024901,18.4,18.4,18.4,024901
025901,20.5,20.5,20.5,025901
025902,20.7,20.7,20.7,025902
025904,17.9,17.9,17.9,025904
025905,24.7,24.7,24.7,025905
025906,-1,-1,-1,025906
025908,18.9,18.9,18.9,025908
025909,21.6,21.6,21.6,025909
026901,21.2,21.2,21.2,026901
026902,-1,-1,-1,026902
026903,19.5,19.5,19.5,026903
027903,21.1,21.1,21.1,027903
027904,20.5,20.5,20.5,027904
028902,19,19,19,028902
028903,19.3,19.3,19.3,028903
028906,19.8,19.8,19.8,028906
029901,20.4,20.4,20.4,029901
030901,-1,-1,-1,030901
030902,20.2,20.2,20.2,030902
030903,18.9,18.9,18.9,030903
030906,19.6,19.6,19.6,030906
031901,18.3,18.3,18.3,031901
031903,18.4,18.4,18.4,031903
031905,18.6,18.6,18.6,031905
031906,18.1,18.1,18.1,031906
031909,18.9,18.9,18.9,031909
031911,18.3,18.3,18.3,031911
031912,17.1,17.1,17.1,031912
031913,12,12,12,031913
031914,14.5,14.5,14.5,031914
031916,22.6,22.6,22.6,031916
032902,22.1,22.1,22.1,032902
033901,21.6,21.6,21.6,033901
033902,22.6,22.6,22.6,033902
033904,19.9,19.9,19.9,033904
034901,19.9,19.9,19.9,034901
034902,21.2,21.2,21.2,034902
034903,19.2,19.2,19.2,034903
034905,19.6,19.6,19.6,034905
034906,21.9,21.9,21.9,034906
034907,20.4,20.4,20.4,034907
034908,.,.,.,034908
034909,19.8,19.8,19.8,034909
035901,18.8,18.8,18.8,035901
035902,17.1,17.1,17.1,035902
035903,24.7,24.7,24.7,035903
036901,19.7,19.7,19.7,036901
036902,22.6,22.6,22.6,036902
036903,18.3,18.3,18.3,036903
037901,18.6,18.6,18.6,037901
037904,19.3,19.3,19.3,037904
037907,20,20,20,037907
037908,-1,-1,-1,037908
037909,.,.,.,037909
038901,19.7,19.7,19.7,038901
039901,21,21,21,039901
039902,21.6,21.6,21.6,039902
039903,21.1,21.1,21.1,039903
039904,24.2,24.2,24.2,039904
039905,-1,-1,-1,039905
040901,16.6,16.6,16.6,040901
040902,18.9,18.9,18.9,040902
041901,20.8,20.8,20.8,041901
041902,19.1,19.1,19.1,041902
042901,18.9,18.9,18.9,042901
042903,18.3,18.3,18.3,042903
042905,21,21,21,042905
042906,18.8,18.8,18.8,042906
043901,23.4,23.4,23.4,043901
043902,17.7,17.7,17.7,043902
043903,21.6,21.6,21.6,043903
043904,-1,-1,-1,043904
043905,22.6,22.6,22.6,043905
043907,22.1,22.1,22.1,043907
043908,21.1,21.1,21.1,043908
043910,24.8,24.8,24.8,043910
043911,17.4,17.4,17.4,043911
043912,22.9,22.9,22.9,043912
043914,21.1,21.1,21.1,043914
043917,19.4,19.4,19.4,043917
043918,20.9,20.9,20.9,043918
043919,.,.,.,043919
044902,19.7,19.7,19.7,044902
044904,16.6,16.6,16.6,044904
045902,21,21,21,045902
045903,17.5,17.5,17.5,045903
045905,21.8,21.8,21.8,045905
046802,.,.,.,046802
046901,21.4,21.4,21.4,046901
046902,21.1,21.1,21.1,046902
047901,18.6,18.6,18.6,047901
047902,17,17,17,047902
047903,-1,-1,-1,047903
047905,-1,-1,-1,047905
048901,17.2,17.2,17.2,048901
048903,18.8,18.8,18.8,048903
049901,19.9,19.9,19.9,049901
049902,24.1,24.1,24.1,049902
049903,21.2,21.2,21.2,049903
049905,19.9,19.9,19.9,049905
049906,23.5,23.5,23.5,049906
049907,23.1,23.1,23.1,049907
049908,.,.,.,049908
049909,.,.,.,049909
050901,19,19,19,050901
050902,20.3,20.3,20.3,050902
050904,-1,-1,-1,050904
050909,-1,-1,-1,050909
050910,18.6,18.6,18.6,050910
051901,18.9,18.9,18.9,051901
052901,21.1,21.1,21.1,052901
053001,19,19,19,053001
054901,17.1,17.1,17.1,054901
054902,17.9,17.9,17.9,054902
054903,17.3,17.3,17.3,054903
055901,17.9,17.9,17.9,055901
056901,19.9,19.9,19.9,056901
056902,-1,-1,-1,056902
057802,16.9,16.9,16.9,057802
057803,24.6,24.6,24.6,057803
057804,13.4,13.4,13.4,057804
057805,.,.,.,057805
057806,.,.,.,057806
057807,17.1,17.1,17.1,057807
057808,.,.,.,057808
057809,.,.,.,057809
057810,.,.,.,057810
057811,.,.,.,057811
057813,.,.,.,057813
057814,.,.,.,057814
057815,-1,-1,-1,057815
057816,.,.,.,057816
057817,.,.,.,057817
057818,-1,-1,-1,057818
057819,-1,-1,-1,057819
057821,.,.,.,057821
057825,-1,-1,-1,057825
057827,.,.,.,057827
057828,17.5,17.5,17.5,057828
057829,-1,-1,-1,057829
057830,.,.,.,057830
057831,.,.,.,057831
057832,.,.,.,057832
057833,.,.,.,057833
057834,-1,-1,-1,057834
057835,.,.,.,057835
057836,.,.,.,057836
057837,.,.,.,057837
057838,.,.,.,057838
057839,.,.,.,057839
057840,.,.,.,057840
057903,21.2,21.2,21.2,057903
057904,18.3,18.3,18.3,057904
057905,17.1,17.1,17.1,057905
057906,18.8,18.8,18.8,057906
057907,19.4,19.4,19.4,057907
057909,20,20,20,057909
057910,19.3,19.3,19.3,057910
057911,25.2,25.2,25.2,057911
057912,19.3,19.3,19.3,057912
057913,16.9,16.9,16.9,057913
057914,18.8,18.8,18.8,057914
057916,22.6,22.6,22.6,057916
057919,.,.,.,057919
057922,23.7,23.7,23.7,057922
058902,21.4,21.4,21.4,058902
058905,22.4,22.4,22.4,058905
058906,19.4,19.4,19.4,058906
058909,19.7,19.7,19.7,058909
059901,19.8,19.8,19.8,059901
059902,.,.,.,059902
060902,20.4,20.4,20.4,060902
060914,.,.,.,060914
061802,-1,-1,-1,061802
061901,20.5,20.5,20.5,061901
061902,21.9,21.9,21.9,061902
061903,22.5,22.5,22.5,061903
061905,23.6,23.6,23.6,061905
061906,22.5,22.5,22.5,061906
061907,21.6,21.6,21.6,061907
061908,21.3,21.3,21.3,061908
061910,23.5,23.5,23.5,061910
061911,20.4,20.4,20.4,061911
061912,19.8,19.8,19.8,061912
061914,21.5,21.5,21.5,061914
062901,20.7,20.7,20.7,062901
062902,.,.,.,062902
062903,20.6,20.6,20.6,062903
062904,20.7,20.7,20.7,062904
062905,.,.,.,062905
062906,.,.,.,062906
063903,19.4,19.4,19.4,063903
063906,18.9,18.9,18.9,063906
064903,-1,-1,-1,064903
065901,23.2,23.2,23.2,065901
065902,20.2,20.2,20.2,065902
066005,.,.,.,066005
066901,16,16,16,066901
066902,15.7,15.7,15.7,066902
066903,18.3,18.3,18.3,066903
067902,20.6,20.6,20.6,067902
067903,21.4,21.4,21.4,067903
067904,19,19,19,067904
067907,-1,-1,-1,067907
067908,19.8,19.8,19.8,067908
068801,.,.,.,068801
068901,20.7,20.7,20.7,068901
069901,17.1,17.1,17.1,069901
069902,20.6,20.6,20.6,069902
070801,-1,-1,-1,070801
070901,18,18,18,070901
070903,20.6,20.6,20.6,070903
070905,-1,-1,-1,070905
070907,18.9,18.9,18.9,070907
070908,21.4,21.4,21.4,070908
070909,21,21,21,070909
070910,19.1,19.1,19.1,070910
070911,20.8,20.8,20.8,070911
070912,22.5,22.5,22.5,070912
070915,19.6,19.6,19.6,070915
071801,-1,-1,-1,071801
071803,.,.,.,071803
071804,.,.,.,071804
071805,14.6,14.6,14.6,071805
071806,.,.,.,071806
071807,.,.,.,071807
071901,16.7,16.7,16.7,071901
071902,20,20,20,071902
071903,19.9,19.9,19.9,071903
071904,15.1,15.1,15.1,071904
071905,16.2,16.2,16.2,071905
071906,16.4,16.4,16.4,071906
071907,16.5,16.5,16.5,071907
071908,.,.,.,071908
071909,18.8,18.8,18.8,071909
072801,-1,-1,-1,072801
072802,.,.,.,072802
072901,.,.,.,072901
072902,20.5,20.5,20.5,072902
072903,22,22,22,072903
072904,.,.,.,072904
072908,-1,-1,-1,072908
072909,19.5,19.5,19.5,072909
072910,.,.,.,072910
073901,-1,-1,-1,073901
073903,15.9,15.9,15.9,073903
073904,.,.,.,073904
073905,19.4,19.4,19.4,073905
074903,20.9,20.9,20.9,074903
074904,17.9,17.9,17.9,074904
074905,19.1,19.1,19.1,074905
074907,21.9,21.9,21.9,074907
074909,21.3,21.3,21.3,074909
074911,20.4,20.4,20.4,074911
074912,20.2,20.2,20.2,074912
074917,19.2,19.2,19.2,074917
075901,22.2,22.2,22.2,075901
075902,21.3,21.3,21.3,075902
075903,20.1,20.1,20.1,075903
075906,.,.,.,075906
075908,-1,-1,-1,075908
076903,17.9,17.9,17.9,076903
076904,18.1,18.1,18.1,076904
077901,19.9,19.9,19.9,077901
077902,19.9,19.9,19.9,077902
078901,18.8,18.8,18.8,078901
079901,20.3,20.3,20.3,079901
079906,21.7,21.7,21.7,079906
079907,21.1,21.1,21.1,079907
079908,.,.,.,079908
079910,19,19,19,079910
080901,21.9,21.9,21.9,080901
081902,20.2,20.2,20.2,081902
081904,17.2,17.2,17.2,081904
081905,18.3,18.3,18.3,081905
081906,.,.,.,081906
082902,17.2,17.2,17.2,082902
082903,19,19,19,082903
083901,17.7,17.7,17.7,083901
083902,20.6,20.6,20.6,083902
083903,22.6,22.6,22.6,083903
084801,.,.,.,084801
084802,.,.,.,084802
084804,.,.,.,084804
084901,17.5,17.5,17.5,084901
084902,19.1,19.1,19.1,084902
084903,-1,-1,-1,084903
084904,17.3,17.3,17.3,084904
084906,18,18,18,084906
084908,-1,-1,-1,084908
084909,21.7,21.7,21.7,084909
084910,22.6,22.6,22.6,084910
084911,24.7,24.7,24.7,084911
085902,21.9,21.9,21.9,085902
085903,20.4,20.4,20.4,085903
086024,.,.,.,086024
086901,21.9,21.9,21.9,086901
086902,21.4,21.4,21.4,086902
087901,22,22,22,087901
088902,19.4,19.4,19.4,088902
089901,19.9,19.9,19.9,089901
089903,17.6,17.6,17.6,089903
089905,.,.,.,089905
090902,-1,-1,-1,090902
090903,18.7,18.7,18.7,090903
090904,21,21,21,090904
090905,.,.,.,090905
091901,21.6,21.6,21.6,091901
091902,20.9,20.9,20.9,091902
091903,21.3,21.3,21.3,091903
091905,22.7,22.7,22.7,091905
091906,20.4,20.4,20.4,091906
091907,.,.,.,091907
091908,21.9,21.9,21.9,091908
091909,21.1,21.1,21.1,091909
091910,22.1,22.1,22.1,091910
091913,20.2,20.2,20.2,091913
091914,21.8,21.8,21.8,091914
091917,21.6,21.6,21.6,091917
091918,22.1,22.1,22.1,091918
092801,.,.,.,092801
092901,20.7,20.7,20.7,092901
092902,18.7,18.7,18.7,092902
092903,19.3,19.3,19.3,092903
092904,22.2,22.2,22.2,092904
092906,19.3,19.3,19.3,092906
092907,22.4,22.4,22.4,092907
092908,21.8,21.8,21.8,092908
093901,19.9,19.9,19.9,093901
093903,22.6,22.6,22.6,093903
093904,18,18,18,093904
093905,-1,-1,-1,093905
094901,19.1,19.1,19.1,094901
094902,21,21,21,094902
094903,22.1,22.1,22.1,094903
094904,21.5,21.5,21.5,094904
095901,21.6,21.6,21.6,095901
095902,19.6,19.6,19.6,095902
095903,16.6,16.6,16.6,095903
095904,19.7,19.7,19.7,095904
095905,19.9,19.9,19.9,095905
096904,18.7,18.7,18.7,096904
096905,20.6,20.6,20.6,096905
097902,20.8,20.8,20.8,097902
097903,20.5,20.5,20.5,097903
098901,21.3,21.3,21.3,098901
098903,.,.,.,098903
098904,19.4,19.4,19.4,098904
099902,19.1,19.1,19.1,099902
099903,19,19,19,099903
100903,-1,-1,-1,100903
100904,15.6,15.6,15.6,100904
100905,19.8,19.8,19.8,100905
100907,19.7,19.7,19.7,100907
100908,18,18,18,100908
101801,.,.,.,101801
101802,.,.,.,101802
101803,-1,-1,-1,101803
101804,15.8,15.8,15.8,101804
101805,-1,-1,-1,101805
101806,14.2,14.2,14.2,101806
101807,.,.,.,101807
101809,.,.,.,101809
101810,.,.,.,101810
101811,.,.,.,101811
101812,-1,-1,-1,101812
101813,.,.,.,101813
101814,.,.,.,101814
101815,.,.,.,101815
101817,.,.,.,101817
101819,.,.,.,101819
101820,-1,-1,-1,101820
101821,17.9,17.9,17.9,101821
101822,.,.,.,101822
101823,.,.,.,101823
101828,.,.,.,101828
101829,.,.,.,101829
101831,-1,-1,-1,101831
101833,.,.,.,101833
101834,-1,-1,-1,101834
101837,-1,-1,-1,101837
101838,-1,-1,-1,101838
101840,.,.,.,101840
101842,.,.,.,101842
101845,18.7,18.7,18.7,101845
101846,-1,-1,-1,101846
101847,.,.,.,101847
101848,.,.,.,101848
101849,.,.,.,101849
101850,.,.,.,101850
101851,.,.,.,101851
101852,.,.,.,101852
101853,.,.,.,101853
101854,-1,-1,-1,101854
101855,.,.,.,101855
101856,.,.,.,101856
101857,.,.,.,101857
101858,.,.,.,101858
101859,.,.,.,101859
101860,.,.,.,101860
101861,.,.,.,101861
101902,16.9,16.9,16.9,101902
101903,17.6,17.6,17.6,101903
101905,17.7,17.7,17.7,101905
101906,18.8,18.8,18.8,101906
101907,21.7,21.7,21.7,101907
101908,21.3,21.3,21.3,101908
101909,15.7,15.7,15.7,101909
101910,17,17,17,101910
101911,19.2,19.2,19.2,101911
101912,19.6,19.6,19.6,101912
101913,22.3,22.3,22.3,101913
101914,23.1,23.1,23.1,101914
101915,22.3,22.3,22.3,101915
101916,19.8,19.8,19.8,101916
101917,19.2,19.2,19.2,101917
101919,18.4,18.4,18.4,101919
101920,23.4,23.4,23.4,101920
101921,22.3,22.3,22.3,101921
101924,17.3,17.3,17.3,101924
101925,19.7,19.7,19.7,101925
102901,-1,-1,-1,102901
102902,19,19,19,102902
102903,18.2,18.2,18.2,102903
102904,20,20,20,102904
102905,20.8,20.8,20.8,102905
102906,20.3,20.3,20.3,102906
103901,18.9,18.9,18.9,103901
103902,21.6,21.6,21.6,103902
104901,18.1,18.1,18.1,104901
104903,23.5,23.5,23.5,104903
104907,19.2,19.2,19.2,104907
105801,.,.,.,105801
105802,.,.,.,105802
105902,18.5,18.5,18.5,105902
105904,23.7,23.7,23.7,105904
105905,21,21,21,105905
105906,19.1,19.1,19.1,105906
106901,19.6,19.6,19.6,106901
107901,22.2,22.2,22.2,107901
107902,20.2,20.2,20.2,107902
107904,18,18,18,107904
107905,20.7,20.7,20.7,107905
107906,17.8,17.8,17.8,107906
107907,16.3,16.3,16.3,107907
107908,.,.,.,107908
107910,20.8,20.8,20.8,107910
108801,-1,-1,-1,108801
108802,.,.,.,108802
108804,-1,-1,-1,108804
108807,18.8,18.8,18.8,108807
