,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001902001,46,49,42,48,20,185,145,24,26,60,14.8,10.4,11.8,11.906972149,43244,20.4899,001,N,96.3,001902001,001902
001903001,104,100,79,75,18,358,312,29,40,146,12,10.8,11.6,13.8,43151,34.6672,001,N,95.2,001903001,001903
001904001,59,50,65,53,32,227,165,17,33,114,15.5,11.2,17,12.6241033,40417,22.0075,001,N,95,001904001,001904
001906002,33,15,16,21,8,85,69,4,16,39,11,12.5,14,10.25,41565,8.5595,001,N,94.4,001906002,001906
001907001,225,244,169,170,216,808,282,41,60,499,17.1,18.8,18.3,13.40625,42549,69.9271,001,N,94.7,001907001,001907
001908002,126,123,111,93,90,453,273,27,68,195,15.4,15,16.4,11.514952581,39187,39.8298,001,N,94.9,001908002,001908
002901001,242,205,223,179,15,849,319,67,121,270,16,16.6,18.9,15.326923077,59703,68.5897,002,N,94,002901001,002901
002901002,2,4,14,10,0,30,5,0,3,5,.,.,.,10.5,53114,3.4911,002,N,87.1,002901002,002901
003902001,213,186,152,177,25,728,541,54,67,330,19,17.4,19.3,13.444444444,43250,49.9512,003,N,96.5,003902001,003902
003903001,618,585,526,499,624,2228,808,342,387,1374,16.2,16.1,19.1,13.78021978,44701,172.4888,003,N,94,003903001,003903
003903004,3,4,8,19,14,34,12,0,9,12,.,.,.,.,.,.,003,N,60.8,003903004,003903
003904001,151,99,130,95,11,475,435,43,62,185,18.5,20.2,20.1,13.533333333,43127,39.1577,003,N,94.4,003904001,003904
003904005,5,17,9,27,0,58,55,0,12,38,.,.,.,16,46927,3,003,N,90.4,003904005,003904
003905004,1,1,7,9,3,18,11,0,0,5,.,.,.,.,.,.,003,N,68.6,003905004,003905
003907001,118,113,117,101,11,449,371,25,77,202,13.7,17.9,18.5,11.909090909,44146,40.2691,003,N,95.4,003907001,003907
004901001,238,255,227,222,13,942,525,50,104,522,16.3,22.4,21.6,11.643667097,44524,83.9998,004,N,93.7,004901001,004901
005902001,76,71,64,64,1,275,251,17,20,64,10.6,15,15.3,14.242424242,41617,26.1573,005,N,95.9,005902001,005902
005904001,44,34,43,29,0,150,115,15,16,72,12.3,12,13.3,14.904761905,43704,13.7121,005,N,97.4,005904001,005904
007901001,36,28,33,40,1,137,15,11,14,98,10.8,11.6,9.1,14.023255814,48867,16.1776,007,N,92.6,007901001,007901
007902001,103,78,89,68,1,338,127,33,35,192,13,12.2,14.7,17.054054054,49871,31.866,007,N,94.1,007902001,007902
007904001,130,111,124,135,4,500,124,45,41,325,17,17.9,17.1,11.113636364,45174,37.7059,007,N,94.7,007904001,007904
007905001,280,212,210,211,5,913,292,87,114,515,20.8,17.5,20,12.197674419,46384,74.9624,007,N,93.1,007905001,007905
007905005,6,6,1,5,0,18,4,0,1,13,.,.,.,9,39440,1.1111,007,N,60.4,007905005,007905
007906001,143,130,114,111,3,498,75,37,50,380,14.4,16.2,17.2,13,44115,37.7936,007,N,93.6,007906001,007906
008901001,166,179,172,149,78,666,430,83,92,230,18.4,15.5,19.3,14.922746781,45585,55.7354,008,N,95.6,008901001,008901
008902001,209,205,191,177,91,782,368,59,99,392,13.4,15.5,12.6,13.053240589,48779,61.9565,008,N,94,008902001,008902
008903001,65,63,61,48,31,237,100,6,23,114,13.5,14.6,14.8,11.821428571,46109,24.7959,008,N,95.9,008903001,008903
009901001,92,93,74,76,1,335,66,27,40,266,15.7,12.3,14.2,12.161675149,42238,35.5273,009,N,94.9,009901001,009901
009901002,9,4,4,4,1,21,0,0,4,15,.,.,.,.,.,.,009,N,74.5,009901002,009901
010902001,208,210,177,194,2,789,571,118,104,321,17.3,15.8,20.7,14.821011673,50108,60.3546,010,N,93.5,010902001,010902
011901001,380,424,521,495,165,1820,889,235,230,949,21.4,22.2,23.5,11.656188096,47657,129.1867,011,N,92.8,011901001,011901
011901002,357,202,0,6,22,565,188,58,69,371,21.2,25.9,26.3,10.212765957,46137,37.6684,011,N,.,011901002,011901
011901022,3,10,24,18,4,55,25,0,2,40,.,.,.,14.142857143,48442,6.1428,011,N,74.6,011901022,011901
011902001,329,282,257,232,159,1100,417,46,123,675,22,19.6,24.4,11.035046767,47507,68.9925,011,N,93.6,011902001,011902
011902004,3,5,5,21,4,34,7,0,4,19,2.9,3.8,3.5,20.729344729,60523,3.4463,011,N,90.6,011902004,011902
011904002,153,149,118,111,49,531,369,31,69,245,28,20,21.2,12.279069767,43951,42.4556,011,N,95.2,011904002,011904
012901001,30,42,36,35,2,143,115,10,10,46,11.7,7.1,9.8,13.555555556,42818,21.0986,012,N,96.3,012901001,012901
013901001,312,300,219,216,22,1047,190,98,117,613,18.1,16.8,16.3,9.9713664341,43430,69.9935,013,N,93.4,013901001,013901
013905001,71,72,64,42,4,249,95,16,29,137,13.7,12.7,13.4,15.285714286,48179,27.066,013,N,94.8,013905001,013905
014801001,28,39,62,23,75,152,33,0,29,102,3,9.3,6,9.3578767123,42744,11.7998,014,Y,88.8,014801001,014801
014802001,17,10,17,31,39,75,15,0,4,46,16.8,8.6,11.7,0.8183808335,40352,4.8883,014,Y,93.5,014802001,014802
014804005,8,26,20,25,0,79,63,0,5,6,3.4,3,1.8,21,52238,0.9998,014,Y,84.1,014804005,014804
014901001,91,80,76,72,5,319,247,26,32,95,11.7,13.4,12,16.71875,46444,29.9248,014,N,95.2,014901001,014901
014903001,701,601,568,517,163,2387,1415,210,293,902,22.6,22.6,23.8,12.326703011,47025,168.7848,014,N,94.9,014903001,014903
014903005,4,11,48,31,3,94,55,1,4,51,8,6.4,3.9,14.636363636,47162,10.9996,014,N,77.5,014903005,014903
014905001,39,32,34,32,4,137,85,27,14,66,14.3,11.1,13.1,15.384584512,39971,17.1978,014,N,96.4,014905001,014905
014906001,738,459,389,341,818,1927,506,145,312,957,19.4,22.6,21.4,11.173075529,50010,140.8533,014,N,94.4,014906001,014906
014906002,669,605,590,485,945,2349,610,210,298,943,19.5,23.3,24.7,9.8436982344,48672,164.4565,014,N,94,014906002,014906
014906004,63,35,19,2,63,119,21,0,19,73,.,.,.,11.517605483,48868,13.4878,014,N,86.8,014906004,014906
014906006,28,98,135,69,158,330,70,4,46,158,.,.,.,12.385355509,50673,24.2595,014,N,78.5,014906006,014906
014906007,656,659,593,525,732,2433,950,263,250,564,22,23.5,23.3,11.344473244,49231,161.8758,014,N,94.4,014906007,014906
014906008,656,578,499,449,1049,2182,486,80,291,966,20.4,20.9,22.6,9.1300260567,47739,149.7907,014,N,94.2,014906008,014906
014907001,79,71,66,56,5,272,204,40,26,105,14.9,15.6,13.4,14.310344828,42600,24.4857,014,N,96.8,014907001,014907
014908001,114,123,111,116,1,464,355,37,42,97,16.2,15.7,19.8,14.772151899,46524,38.4415,014,N,94.9,014908001,014908
014909002,654,540,434,349,465,1977,699,254,250,1102,21.4,21.9,21,12.165130345,46320,151.7115,014,N,91.7,014909002,014909
014909008,6,24,36,21,34,87,14,0,8,54,9.5,.,.,14.666666667,45412,4.3699,014,N,.,014909008,014909
014910001,100,84,99,90,4,373,270,61,43,149,17,15.3,16,12.878787879,42299,30.9649,014,N,96.3,014910001,014910
015801001,51,47,44,37,7,179,15,0,36,127,23.1,17.7,24.8,2.7890668579,36898,15.0587,015,Y,76.2,015801001,015801
015801002,23,27,19,19,1,88,13,0,12,55,10.2,12.3,18.2,1.8888888889,35567,8.2628,015,Y,93.8,015801002,015801
015801003,21,18,12,21,4,72,5,0,15,72,25.4,20.1,25,0.4285714286,33954,6.237,015,Y,75.3,015801003,015801
015802004,38,27,17,10,33,92,14,0,2,75,4.4,2.9,5,9,38254,4.7335,015,Y,85.9,015802004,015802
015806001,29,1,4,23,18,57,3,0,14,45,6.9,7.4,5.1,4.6669085266,35097,8.9061,015,Y,82.1,015806001,015806
015806003,24,64,71,14,49,173,14,0,19,106,13.1,12.5,13.2,3.9250428951,36069,15.574,015,Y,93.6,015806003,015806
015807001,71,10,88,122,71,291,45,0,38,185,4.1,4.2,3.7,4.8399094745,44731,17.6633,015,Y,82.8,015807001,015807
015807002,45,18,38,49,45,150,3,0,21,130,3.6,2.7,4.1,4.8632939921,39805,14.5857,015,Y,86.2,015807002,015807
015807004,69,23,84,128,16,304,22,0,41,198,.,.,.,3.860869956,43888,19.5393,015,Y,81.6,015807004,015807
015807005,9,0,12,6,11,27,4,0,5,19,2.4,3.5,2.3,3,43494,3.3469,015,Y,80.2,015807005,015807
