,gr6_math_avg,gr6_ela_avg,gr7_math_avg,gr7_ela_avg,gr7_writ_avg,gr8_math_avg,gr8_ela_avg,gr8_sci_avg,CAMPUS,DISTRICT
015916044,52,49,50,63,57,75,86,81,015916044,015916
015916045,70,66,43,70,67,80,87,74,015916045,015916
016902041,87,78,85,72,69,83,90,78,016902041,016902
018901041,79,75,82,74,77,76,88,77,018901041,018901
019905041,79,64,58,69,61,76,82,55,019905041,019905
019907042,62,66,65,73,71,72,79,70,019907042,019907
019909041,57,52,59,55,59,77,77,65,019909041,019909
019912041,92,84,87,88,91,93,97,93,019912041,019912
020901041,67,57,59,66,59,86,78,75,020901041,020901
020901042,72,72,60,67,63,89,85,75,020901042,020901
020901043,62,59,56,73,64,84,82,75,020901043,020901
020901045,80,81,69,86,83,95,92,86,020901045,020901
020901046,85,66,43,66,50,85,84,68,020901046,020901
020901047,61,68,49,68,58,89,84,76,020901047,020901
020902044,82,63,72,75,67,94,86,79,020902044,020902
020904041,96,83,84,77,78,94,84,74,020904041,020904
020906041,82,68,79,77,78,94,89,81,020906041,020906
021902041,67,62,79,78,76,66,81,71,021902041,021902
021902045,64,62,60,63,63,60,74,63,021902045,021902
021902046,63,53,54,56,57,66,75,60,021902046,021902
021902047,57,51,59,58,54,76,79,64,021902047,021902
024901041,51,55,65,73,67,85,82,69,024901041,024901
025909041,87,78,82,89,88,85,92,86,025909041,025909
026901041,81,57,77,77,70,92,89,81,026901041,026901
027903041,60,51,61,63,58,80,85,76,027903041,027903
027904041,75,65,49,68,71,83,86,76,027904041,027904
028902045,61,56,43,64,60,76,74,60,028902045,028902
028903041,59,43,43,67,42,65,86,58,028903041,028903
029901043,69,63,58,61,63,82,74,66,029901043,029901
030902041,83,75,76,73,68,94,86,67,030902041,030902
030903041,55,64,63,67,71,74,76,61,030903041,030903
031901043,80,62,80,78,74,91,84,65,031901043,031901
031901044,63,55,66,73,78,84,83,71,031901044,031901
031901045,72,62,70,74,73,88,84,74,031901045,031901
031901046,72,65,60,66,64,82,81,69,031901046,031901
031901047,76,65,67,71,69,80,84,79,031901047,031901
