,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001902001,43,49,30,41,21,163,134,15,30,35,12,11.6,9.7,11.652173913,34472,16.9246,001,N,96.4,001902001,001902
001903001,106,89,94,75,29,364,315,18,83,125,13.4,15,16.1,15.027027027,35985,29.9528,001,N,94.8,001903001,001903
001903002,1,1,1,1,1,4,2,0,1,1,.,.,.,.,.,.,001,N,.,001903002,001903
001904001,57,56,57,62,32,232,188,17,46,77,12.4,14.3,12.5,11.711864407,34742,23.9,001,N,96.4,001904001,001904
001908002,141,146,131,109,87,527,389,32,113,157,17.7,16.6,17.1,14.589747249,36766,36.4229,001,N,95.6,001908002,001908
002901001,242,248,219,200,21,909,418,97,160,284,16.8,17.1,18,13.721428571,45049,64.3066,002,N,95.6,002901001,002901
003902001,193,159,170,149,26,671,506,49,91,310,19.5,17.1,20.4,11.75,35984,49.004,003,N,95,003902001,003902
003902004,1,0,3,4,0,8,8,0,1,2,.,2,.,8.2,39481,4.9999,003,N,83,003902004,003902
003903001,697,588,583,473,770,2341,1006,182,423,1021,19.7,18.4,19,12.777103523,38425,161.1234,003,N,95.4,003903001,003903
003903004,8,4,10,23,12,45,22,1,4,14,.,.,.,.,.,.,003,N,81.5,003903004,003903
003904001,141,116,108,77,19,442,413,37,87,139,15.4,15.6,15.8,12.387512355,36811,35.3188,003,N,94.9,003904001,003904
003904005,16,14,19,20,2,69,64,0,21,43,.,-2,-2,24.5,38091,3.1429,003,N,94.5,003904005,003904
003905004,1,2,3,3,2,9,5,0,2,2,.,.,.,.,.,.,003,N,84.2,003905004,003905
003907001,168,109,109,82,19,468,389,17,105,121,18.3,19.1,20.6,12.7,37684,34.4067,003,N,95.3,003907001,003907
004901001,287,256,250,214,20,1007,638,67,164,456,18.9,19,19.9,10.19316135,37835,69.4279,004,N,94.3,004901001,004901
005902001,83,62,61,80,0,286,280,29,20,39,11.1,11.5,12.3,15.176470588,36637,26.9972,005,N,97.5,005902001,005902
007901001,39,34,32,25,0,130,22,13,26,86,13.6,12,10.3,14.8,39485,12.696,007,N,93.9,007901001,007901
007902001,102,91,80,76,0,349,151,42,57,192,18.3,18.9,15.8,15.518949646,42081,28.4208,007,N,94.5,007902001,007902
007904001,156,99,75,100,2,430,134,62,54,249,18.2,16.2,19.2,9.3808066291,37120,31.5885,007,N,95.2,007904001,007904
007905001,319,235,226,211,13,991,402,93,220,535,18.2,15.7,20.1,12.711337794,39067,73.8324,007,N,93.7,007905001,007905
007906001,145,124,127,101,0,497,93,33,96,320,16.9,15.9,17.2,11.782583646,36586,38.481,007,N,93,007906001,007906
008901001,192,191,164,161,93,708,523,109,114,158,17.8,17,18.4,13.962616822,40645,50.3576,008,N,96.4,008901001,008901
