,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001902001,48,44,49,34,24,175,143,22,26,43,11.9,11.7,9.5,11.317240829,40134,19.2637,001,N,96.3,001902001,001902
001903001,99,79,78,83,23,339,294,28,60,108,13.6,11.3,13,13.393739342,38719,33.53,001,N,94.7,001903001,001903
001904001,73,61,70,55,39,259,197,30,39,129,16.1,13.5,16.9,11.103448276,38981,21.7831,001,N,94.7,001904001,001904
001907001,223,220,215,152,216,810,324,38,102,421,19,23.4,18.1,12.239726027,42002,66.6712,001,N,93.2,001907001,001907
001908002,146,116,105,114,69,481,341,20,83,177,15,16.8,16.1,15.348458906,41472,40.4778,001,N,93.7,001908002,001908
002901001,255,212,212,177,11,856,347,87,115,193,17,19.1,16.9,15.763888889,58183,64.2831,002,N,94,002901001,002901
003902001,167,199,171,137,30,674,518,60,78,293,16.8,16.7,15.7,13.018181818,43260,48.3121,003,N,96.2,003902001,003902
003903001,621,591,577,494,722,2283,878,279,421,1309,16.8,16.7,19.1,14.936525964,44225,172.9656,003,N,93.6,003903001,003903
003903140,1,0,0,1,0,2,1,0,2,0,.,.,.,.,.,.,003,N,-1,003903140,003903
003904001,148,119,112,106,8,485,455,40,69,156,14.5,15.7,15.9,14.829268293,41748,39.6436,003,N,93.4,003904001,003904
003904005,16,11,25,32,3,84,69,0,8,28,-2,-2,.,22.25,47623,4.0005,003,N,93.2,003904005,003904
003907001,144,119,101,105,14,469,393,30,95,185,14.3,15.2,16,12.3,43703,38.5871,003,N,94.5,003907001,003907
004901001,266,244,252,195,17,957,576,60,130,465,19.5,20.5,19.8,10.47311828,42400,80.9418,004,N,93.5,004901001,004901
005902001,76,63,64,56,3,259,243,14,22,52,13,14.1,14.5,12.827586207,39444,24.7807,005,N,97,005902001,005902
007901001,40,41,37,28,0,146,26,18,19,83,11.6,10.1,14.9,13.05,48625,14.7024,007,N,92.9,007901001,007901
007902001,95,83,91,81,1,350,150,36,45,179,23.4,20.9,22.8,17.848484848,49807,29.7427,007,N,94.6,007902001,007902
007904001,125,133,121,104,2,483,123,43,46,286,19.6,17.8,19.5,12.772247143,45175,35.824,007,N,95.5,007904001,007904
007905001,265,264,231,194,3,954,350,89,146,499,20.5,19.7,18.6,11.94011976,44525,77.5442,007,N,93.2,007905001,007905
