,gr6_stu_count,gr7_stu_count,gr8_stu_count,black_stu_count,all_stu_count,asian_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001902041,30,47,47,5,124,2,100,17,18,49,14.9,14.8,15.5,14.761904762,43966,11.9781,001,N,96.6,001902041,001902
001903041,108,92,87,15,287,3,237,8,24,142,13.8,14.3,14.8,9.962962963,40661,23.4894,001,N,97.1,001903041,001903
001904041,53,58,67,15,178,0,136,12,14,96,16.9,16.1,18.9,12.782608696,44018,11.3764,001,N,96.4,001904041,001904
002901041,265,306,245,13,816,4,260,44,45,333,17.3,18.9,20.4,14.801587302,57490,54.632,002,N,95.2,002901041,002901
003902041,208,235,202,37,645,4,440,69,50,347,24.9,23.3,21.1,14.472052875,46823,47.6914,003,N,97.1,003902041,003902
003903044,573,567,557,479,1697,26,470,165,216,1223,17.5,20,22.8,13.671961761,44733,120.6945,003,N,97,003903044,003903
003904041,114,139,146,7,399,0,353,31,36,191,18.3,23.8,23.9,11.090909091,41876,28.8099,003,N,95.5,003904041,003904
004901041,238,253,260,12,751,13,428,34,66,417,17.8,23.3,21.2,10.745762712,42483,51.5222,004,N,94.9,004901041,004901
005902041,73,74,71,2,218,0,199,10,18,55,15,16.5,20.7,16.08,44517,14.0418,005,N,97.3,005902041,005902
005904041,33,38,42,0,113,0,76,8,9,46,17.2,10.7,16,13.432835821,43485,8.5097,005,N,97.3,005904041,005904
007902041,130,106,123,4,359,1,139,24,30,203,17.6,18.4,18.9,18.34375,54600,25.6437,007,N,97,007902041,007902
007904041,115,135,134,4,384,0,67,21,22,281,18.8,17.5,21.7,9.7837837838,45375,27.8218,007,N,95.6,007904041,007904
007906041,131,140,130,2,401,0,61,27,40,328,16.7,16.1,17.9,7.4666666667,44487,26.4315,007,N,95.4,007906041,007906
008901041,157,189,152,54,498,1,289,72,39,216,19.5,17.2,18.9,13.620253165,43160,36.9593,008,N,96.2,008901041,008901
008902041,189,210,243,64,642,4,282,44,37,348,20.9,14.3,18.6,14.58,49559,50.0013,008,N,96.9,008902041,008902
008903041,66,54,64,20,184,3,67,5,9,111,14.1,12,16.6,15.45,46495,15.5023,008,N,96.3,008903041,008903
009901041,103,117,108,0,328,0,53,11,30,274,16.3,14.9,15.8,14.090909091,43971,26.4153,009,N,96.9,009901041,009901
010902041,161,181,178,3,520,3,332,30,42,274,17.6,17.7,19.6,13.949367089,50044,34.2876,010,N,94.9,010902041,010902
011902041,297,321,311,129,929,5,267,107,100,659,15,15.9,18.7,9.500397996,46971,53.7312,011,N,95.5,011902041,011902
011904041,135,148,124,32,407,3,234,44,39,233,20.8,23.5,31.2,11.726032055,44859,31.7151,011,N,95.8,011904041,011904
013905041,60,73,71,1,204,2,65,16,18,119,23.4,20.1,24,11.5,44657,15.3837,013,N,96.3,013905041,013905
014903042,255,251,261,23,767,16,476,123,114,302,19.3,18.9,25.3,12.9868168,49141,52.0979,014,N,96.7,014903042,014903
014903043,258,310,268,81,836,18,503,93,91,313,22.8,22.8,25.7,12.061359995,48393,54.1189,014,N,96.9,014903043,014903
014903044,272,262,272,51,806,10,372,81,102,566,19.6,21.3,25.2,8.8579767853,46387,54.6737,014,N,95.3,014903044,014903
014905041,51,57,58,5,166,0,111,10,9,78,14.9,15.7,15.6,13,42230,11.4622,014,N,97.1,014905041,014905
014906009,7,20,25,26,52,0,7,0,11,46,.,.,.,14.63372285,55480,15.6697,014,N,88.3,014906009,014906
014906042,207,227,231,222,665,12,121,11,100,563,19.6,26.7,23.6,10.543478261,50129,43.0092,014,N,94.7,014906042,014906
014906043,237,219,228,287,684,9,137,21,121,513,19.7,25.6,22.7,9.2855149989,49114,46.3135,014,N,95.4,014906043,014906
014906044,224,239,260,330,723,17,131,29,122,515,18,25.6,26.9,9.6561711112,48836,48.4182,014,N,95.6,014906044,014906
014906045,230,203,191,171,624,7,223,18,84,403,16.8,18.8,20.2,10.98676269,49798,46.3383,014,N,95.6,014906045,014906
014906046,254,256,242,170,752,32,276,56,103,432,20,20.6,23.3,11.452804997,49646,49.7409,014,N,94.6,014906046,014906
014906048,309,304,268,398,881,28,144,35,126,549,19.9,22.3,18.7,9,48521,62.0908,014,N,95.4,014906048,014906
014906049,310,268,295,375,873,33,175,51,103,373,17.1,25.5,23.1,9.186912781,48942,53.4057,014,N,96.3,014906049,014906
014906050,276,279,236,351,791,23,126,19,109,498,16.6,25.1,24,11.152828782,50353,47.7932,014,N,95.7,014906050,014906
014906051,289,297,305,230,891,36,347,70,77,207,19.3,22.9,24.8,12.448830485,51550,50.8108,014,N,96.7,014906051,014906
014906052,188,155,138,116,481,7,211,33,64,294,15.8,21.5,22.5,11,50489,32.5842,014,N,95.4,014906052,014906
014906053,361,368,365,390,1094,38,263,59,103,474,15.3,24,23.5,7.285215365,47570,64.2057,014,N,96.8,014906053,014906
014907041,59,51,76,5,186,1,117,15,15,100,16.2,17.4,18,12.208333333,43461,15.101,014,N,97,014907041,014907
014909041,204,211,211,169,626,3,168,59,48,495,17,19.6,18.1,7.9642857143,43725,50.189,014,N,95,014909041,014909
014909042,257,208,186,229,651,18,157,68,55,514,20.6,16.3,22.2,8.1690125954,43980,46.0582,014,N,94.6,014909042,014909
014909044,168,172,181,88,521,10,163,50,61,358,17.9,18.6,19.4,9.9879032258,44722,45.6734,014,N,95.4,014909044,014909
014910041,99,129,116,3,344,1,257,24,39,173,21.5,18.2,24.5,12.257913839,41271,22.6934,014,N,96,014910041,014910
015802004,32,19,29,41,80,0,3,0,12,76,8.7,9.9,12.4,0.5825047754,38366,8.1367,015,Y,92.2,015802004,015802
015805041,78,76,75,3,229,0,7,0,22,199,24.4,24.7,25.2,5.65,47255,14.8585,015,Y,95.9,015805041,015805
015901041,381,380,375,21,1136,26,603,274,57,256,21,22.1,27.9,14.255753926,56499,70.7288,015,N,96.4,015901041,015901
015904041,276,307,281,9,864,1,7,65,81,780,18.9,19.2,23.2,13.0625,53362,60.0311,015,N,95.3,015904041,015904
015904042,287,267,277,2,831,0,9,38,94,785,13.8,15.9,16.4,8.4351644378,49820,52.7372,015,N,95.4,015904042,015904
015904043,206,236,261,3,703,2,25,74,84,607,14.1,13.8,13,11.350825147,51768,51.2931,015,N,95.3,015904043,015904
015904044,203,202,221,2,626,1,22,51,56,569,17.1,17.5,19.4,12.944428791,52998,48.1231,015,N,95.4,015904044,015904
015904045,3,8,9,0,20,0,1,0,5,17,4.7,.,4.5,12.25,53050,5.3361,015,N,85,015904045,015904
015905041,236,278,251,3,765,2,1,68,83,753,19.4,22.4,21.3,8.6900792144,50158,41.9781,015,N,92.1,015905041,015905
015905044,265,283,225,16,773,0,2,99,71,754,21.5,22.6,20.6,11.617318584,51077,41.274,015,N,94.5,015905044,015905
015905046,237,247,282,5,766,2,2,77,92,760,20.6,18.4,22,11.043023873,51009,44.9129,015,N,93.4,015905046,015905
015906041,82,84,94,47,260,10,101,41,13,23,22.1,16.5,22.1,15.892857143,53307,14.6288,015,N,97,015906041,015906
015907041,193,204,205,26,602,3,17,31,89,582,11.2,11.1,16.5,9.5135135135,50833,36.4972,015,N,94.5,015907041,015907
015907043,185,208,217,220,610,2,17,24,102,587,8.5,9.4,8.2,7.9772727273,50414,42.973,015,N,96.2,015907043,015907
015907046,136,136,118,63,390,2,8,17,85,384,8,8,7.8,6.4193548387,50702,29.9906,015,N,96.1,015907046,015907
015907047,234,306,290,2,830,0,6,64,90,784,13.7,14.7,13.5,10.1875,50956,47.4994,015,N,95.8,015907047,015907
015907049,264,338,277,15,879,0,6,53,109,857,15.2,15.2,14.6,7.3928571429,50778,56.0036,015,N,94,015907049,015907
015907050,328,340,320,22,988,1,22,48,112,885,10.6,12.6,15,10.379310345,51175,57.3113,015,N,94.8,015907050,015907
015907051,124,125,144,3,393,0,1,27,70,369,7.6,9.1,7.8,7.4375,50192,30.7301,015,N,96.2,015907051,015907
015907053,140,158,146,12,444,0,9,31,69,429,9.5,9.6,9.7,9,50628,28.3846,015,N,94.8,015907053,015907
015907054,209,276,256,59,741,1,13,63,99,715,14.6,14.6,13.5,9.5,50844,41.9994,015,N,95,015907054,015907
015907055,282,256,245,13,783,1,8,112,88,738,12,13.2,11.5,8.7727272727,50616,44.0108,015,N,95.2,015907055,015907
015907057,200,204,196,33,600,0,15,20,77,576,10.9,12.7,11.5,9.0882352941,50459,33.4366,015,N,94.6,015907057,015907
015907058,179,213,185,13,577,1,8,35,72,551,12.5,10.6,11.4,10.25,50771,35.9989,015,N,94.3,015907058,015907
015907059,259,272,314,1,845,1,17,50,112,794,10,10.6,9.1,8.8076923077,50674,51.4274,015,N,96.1,015907059,015907
