,SAT_avg,ACT_avg,EOC_alg1_avg,EOC_eng1_avg,EOC_his_avg,DISTRICT
001902,1398,19.5,85,70,74,001902
001903,1397,19.9,87,85,96,001903
001904,1241,-1,88,76,84,001904
001906,-1,22.4,71,56,88,001906
001907,1311,19.1,70,61,90,001907
001908,1333,19.5,75,63,90,001908
001909,1607,-1,86,76,100,001909
002901,1431,19.7,79,62,84,002901
003801,1433,.,70,69,78,003801
003902,1448,21.1,90,67,96,003902
003903,1401,19,84,65,87,003903
003904,1409,20.5,77,60,86,003904
003905,1287,18.2,82,56,85,003905
003906,1383,-1,77,67,75,003906
003907,1446,20.4,77,60,88,003907
004901,1376,21,77,46,92,004901
005901,1495,22.1,79,76,91,005901
005902,1554,22.6,87,82,94,005902
005904,1455,21.3,95,89,87,005904
006902,-1,22.7,84,69,96,006902
007901,1211,17.1,61,58,92,007901
007902,1423,21,70,62,93,007902
007904,1309,19.2,57,40,83,007904
007905,1341,19.9,75,60,88,007905
007906,1333,18.1,51,53,78,007906
008901,1499,21.1,80,73,87,008901
008902,1436,20.8,81,70,88,008902
008903,1300,18.4,75,65,89,008903
009901,1443,17.6,92,55,92,009901
010901,1531,19.2,83,88,77,010901
010902,1506,22,81,73,92,010902
011901,1364,19,68,58,88,011901
011902,1332,18.7,67,56,87,011902
011904,1412,20.8,72,72,94,011904
011905,.,.,.,.,.,011905
012901,-1,21.8,80,67,98,012901
013801,.,.,.,.,.,013801
013901,1375,18.2,49,42,78,013901
013902,.,.,.,.,.,013902
013903,1310,19.6,76,45,77,013903
013905,1465,20,82,77,89,013905
014801,1263,15.5,22,28,63,014801
014803,-1,.,56,60,86,014803
014804,1468,23.3,84,84,97,014804
014901,1550,24.3,86,68,95,014901
014902,-1,17.4,73,48,67,014902
014903,1454,21.5,86,68,92,014903
014905,1433,20,85,73,96,014905
014906,1382,19.6,73,62,91,014906
014907,1451,19.9,86,64,91,014907
014908,1509,23,90,69,95,014908
014909,1430,21.7,72,55,89,014909
014910,1399,19.3,82,78,92,014910
015801,1324,16.7,27,32,60,015801
015802,-1,14.2,88,58,100,015802
015805,.,.,91,62,.,015805
015806,1157,13.5,63,64,82,015806
015807,1346,-1,34,41,79,015807
015808,.,.,93,60,-1,015808
015809,.,.,.,.,.,015809
015814,.,.,50,42,75,015814
015815,1360,.,71,42,100,015815
015816,-1,15.4,24,57,86,015816
015819,-1,-1,53,32,82,015819
015820,-1,.,45,38,88,015820
015822,1160,.,66,58,71,015822
015825,.,.,.,.,.,015825
015826,1280,18.6,64,67,95,015826
015827,1496,25.2,94,82,95,015827
015828,1450,17.7,90,78,94,015828
015830,1383,21.2,72,58,93,015830
015831,1479,.,72,68,92,015831
015833,1245,-1,50,65,90,015833
015834,.,.,94,99,98,015834
015835,.,.,97,90,98,015835
015836,.,.,100,.,.,015836
015837,.,.,-1,37,-1,015837
015901,1628,24.5,91,77,98,015901
015904,1120,17.4,65,58,81,015904
015905,1174,17,74,46,89,015905
015906,1538,23,92,75,100,015906
015907,1186,16.3,62,53,84,015907
015908,1245,18.2,65,51,87,015908
015909,1210,18.2,75,52,89,015909
015910,1499,22.3,82,74,95,015910
015911,1334,19.3,70,60,91,015911
015912,1128,18.3,68,59,90,015912
015913,1501,22.2,91,83,97,015913
015914,1468,21.3,91,84,97,015914
015915,1434,21.1,84,71,95,015915
015916,1257,19.4,66,61,89,015916
015917,1135,17.9,71,47,87,015917
016901,1412,21.7,85,74,100,016901
016902,1406,19.7,91,76,96,016902
017901,.,23.8,95,100,100,017901
018901,1482,21.4,77,69,96,018901
018902,1403,20,78,64,92,018902
018903,-1,.,78,45,67,018903
018904,1315,22.3,84,73,96,018904
018905,-1,.,57,68,92,018905
018906,1370,19.7,92,86,100,018906
018907,1382,-1,69,53,94,018907
018908,-1,-1,-1,-1,80,018908
