,SAT_avg,ACT_avg,SAT/ACT_pct,DISTRICT
001902,19.6,19.6,19.6,001902
001903,20.9,20.9,20.9,001903
001904,19.4,19.4,19.4,001904
001906,25.4,25.4,25.4,001906
001907,20.1,20.1,20.1,001907
001908,19.8,19.8,19.8,001908
001909,24.6,24.6,24.6,001909
002901,18.9,18.9,18.9,002901
003801,.,.,.,003801
003902,21,21,21,003902
003903,17.3,17.3,17.3,003903
003904,17.8,17.8,17.8,003904
003905,16.9,16.9,16.9,003905
003906,.,.,.,003906
003907,19,19,19,003907
004901,18.4,18.4,18.4,004901
005901,19.9,19.9,19.9,005901
005902,20.3,20.3,20.3,005902
005903,.,.,.,005903
005904,22.8,22.8,22.8,005904
006902,21.9,21.9,21.9,006902
007901,15.9,15.9,15.9,007901
007902,21.1,21.1,21.1,007902
007904,19.4,19.4,19.4,007904
007905,19.8,19.8,19.8,007905
007906,18.1,18.1,18.1,007906
008901,20.8,20.8,20.8,008901
008902,20.1,20.1,20.1,008902
008903,17.8,17.8,17.8,008903
009901,19.6,19.6,19.6,009901
010901,20.5,20.5,20.5,010901
010902,21.1,21.1,21.1,010902
011901,18.9,18.9,18.9,011901
011902,19.2,19.2,19.2,011902
011904,19.7,19.7,19.7,011904
011905,.,.,.,011905
012901,21.5,21.5,21.5,012901
013801,.,.,.,013801
013901,18.1,18.1,18.1,013901
013902,.,.,.,013902
013903,19.1,19.1,19.1,013903
013905,19.4,19.4,19.4,013905
014801,.,.,.,014801
014802,.,.,.,014802
014803,.,.,.,014803
014804,.,.,.,014804
014901,22.3,22.3,22.3,014901
014902,18.4,18.4,18.4,014902
014903,19.4,19.4,19.4,014903
014905,20.9,20.9,20.9,014905
014906,19.6,19.6,19.6,014906
014907,18.2,18.2,18.2,014907
014908,20.1,20.1,20.1,014908
014909,21.5,21.5,21.5,014909
014910,20.6,20.6,20.6,014910
015801,.,.,.,015801
015802,.,.,.,015802
015803,.,.,.,015803
015805,.,.,.,015805
015806,.,.,.,015806
015807,.,.,.,015807
015808,.,.,.,015808
015809,.,.,.,015809
015810,.,.,.,015810
015811,.,.,.,015811
015812,.,.,.,015812
015813,.,.,.,015813
015814,.,.,.,015814
015815,.,.,.,015815
015816,.,.,.,015816
015817,.,.,.,015817
015818,.,.,.,015818
015819,.,.,.,015819
015820,.,.,.,015820
015822,.,.,.,015822
015823,.,.,.,015823
015901,23.2,23.2,23.2,015901
015904,16.9,16.9,16.9,015904
015905,15.4,15.4,15.4,015905
015906,21.5,21.5,21.5,015906
015907,17,17,17,015907
015908,16.1,16.1,16.1,015908
015909,20.7,20.7,20.7,015909
015910,20.8,20.8,20.8,015910
015911,19.3,19.3,19.3,015911
015912,18.2,18.2,18.2,015912
015913,20.1,20.1,20.1,015913
015914,20.6,20.6,20.6,015914
015915,21.1,21.1,21.1,015915
015916,20.2,20.2,20.2,015916
015917,16.7,16.7,16.7,015917
016901,19.6,19.6,19.6,016901
016902,20.2,20.2,20.2,016902
017901,18.8,18.8,18.8,017901
018901,19.8,19.8,19.8,018901
018902,19.3,19.3,19.3,018902
018903,.,.,.,018903
018904,24.4,24.4,24.4,018904
018905,.,.,.,018905
018906,.,.,.,018906
018907,.,.,.,018907
018908,.,.,.,018908
019901,19.5,19.5,19.5,019901
019902,19.4,19.4,19.4,019902
019903,20.2,20.2,20.2,019903
019905,21.8,21.8,21.8,019905
019906,20.7,20.7,20.7,019906
019907,20.5,20.5,20.5,019907
019908,18.8,18.8,18.8,019908
019909,18.1,18.1,18.1,019909
019910,.,.,.,019910
019911,.,.,.,019911
019912,22.2,22.2,22.2,019912
019913,.,.,.,019913
019914,.,.,.,019914
020901,19.7,19.7,19.7,020901
020902,20.7,20.7,20.7,020902
020904,.,.,.,020904
020905,20.9,20.9,20.9,020905
020906,21,21,21,020906
020907,20,20,20,020907
020908,20.7,20.7,20.7,020908
020910,.,.,.,020910
021802,.,.,.,021802
021803,.,.,.,021803
021901,22.7,22.7,22.7,021901
021902,19.5,19.5,19.5,021902
022004,.,.,.,022004
022901,21.2,21.2,21.2,022901
022902,.,.,.,022902
022903,.,.,.,022903
023902,20.1,20.1,20.1,023902
024801,.,.,.,024801
024901,18,18,18,024901
025901,21.9,21.9,21.9,025901
025902,20.3,20.3,20.3,025902
025904,18.5,18.5,18.5,025904
025905,.,.,.,025905
025906,18.7,18.7,18.7,025906
025908,19.1,19.1,19.1,025908
025909,22.5,22.5,22.5,025909
026901,18.3,18.3,18.3,026901
026902,18.2,18.2,18.2,026902
026903,.,.,.,026903
027903,20.4,20.4,20.4,027903
027904,21,21,21,027904
028902,19.6,19.6,19.6,028902
028903,19.4,19.4,19.4,028903
028906,.,.,.,028906
029901,19.9,19.9,19.9,029901
030901,21,21,21,030901
030902,21.1,21.1,21.1,030902
030903,19.4,19.4,19.4,030903
030906,19.7,19.7,19.7,030906
031801,.,.,.,031801
031802,.,.,.,031802
031901,17.9,17.9,17.9,031901
031903,18.6,18.6,18.6,031903
031905,18.7,18.7,18.7,031905
031906,19.6,19.6,19.6,031906
031909,17.5,17.5,17.5,031909
031911,17.4,17.4,17.4,031911
031912,16.4,16.4,16.4,031912
031913,.,.,.,031913
031914,15.1,15.1,15.1,031914
031916,22.5,22.5,22.5,031916
032902,19.1,19.1,19.1,032902
033901,22.5,22.5,22.5,033901
