,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,white_stu_count,his_stu_count,all_stud_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_avg_salary,teacher_experience,exp_w_dist,dist_name,dist_num,county_num,attendance
001902,50,54,56,51,80,517,17,619,41,105,106,14.4,15.2,13.5,29611,11.9,6.2,CAYUGA ISD,001902,001,95.8
001903,90,91,67,63,82,1008,31,1121,70,211,424,15.5,17.6,18.6,29001,11.8,6.5,ELKHART ISD,001903,001,96.1
001904,65,53,54,41,90,639,21,755,59,101,292,13.4,13.5,14.6,32593,16.2,9.2,FRANKSTON ISD,001904,001,95.7
001906,27,27,22,18,42,285,5,332,23,83,124,14.3,12.1,18,26785,9.8,5.4,NECHES ISD,001906,001,96.2
001907,323,296,226,187,1199,1927,637,3781,153,417,1802,22.4,20.8,19.6,30100,12.8,8.7,PALESTINE ISD,001907,001,95.4
001908,161,122,136,97,281,1417,129,1837,85,249,543,20.6,17.3,18.9,29599,13.1,7.7,WESTWOOD ISD,001908,001,94.5
001909,34,37,29,22,7,336,20,363,31,73,143,15.8,15.4,20.3,29554,10.6,4.5,SLOCUM ISD,001909,001,95.8
002901,277,259,214,229,66,1779,1689,3574,284,697,1528,18.6,21.7,22.8,34486,13.5,9.5,ANDREWS ISD,002901,002,95.2
003902,166,173,139,118,77,1731,296,2116,124,237,931,21.7,18.6,21.6,29584,11.8,7.2,HUDSON ISD,003902,003,95.7
003903,654,674,546,504,2555,4033,1504,8184,624,959,4182,20.6,19.5,21.7,30778,13.3,9.9,LUFKIN ISD,003903,003,95.2
003904,161,119,119,112,88,1486,32,1606,113,294,658,18.9,19.1,20,28649,9.2,5.9,HUNTINGTON ISD,003904,003,95.3
003905,174,153,121,96,343,856,749,1953,75,255,1109,17.3,16.7,19.4,30182,12.1,7.2,DIBOLL ISD,003905,003,96.4
003906,35,32,28,31,0,406,8,414,20,78,212,14.2,11.7,13.8,27197,7.8,5.4,ZAVALLA ISD,003906,003,94
003907,118,120,101,69,42,1417,91,1552,61,223,599,20.3,21,20.4,31418,10.5,5.7,CENTRAL ISD,003907,003,96.6
004901,334,257,223,159,74,2135,946,3419,228,506,1795,18,19.4,19.6,30988,11.6,5.8,ARANSAS COUNTY ISD,004901,004,95.2
005901,50,52,45,29,3,554,12,570,29,98,118,10.3,11.9,15.1,30618,14.3,7.5,ARCHER CITY ISD,005901,005,96.7
005902,82,64,64,78,1,940,35,977,73,80,107,20.9,17.3,19.4,32010,12.3,6.9,HOLLIDAY ISD,005902,005,96.8
005903,8,6,10,5,0,75,10,88,10,19,65,13.6,9.4,11.7,25533,5.3,3.3,MEGARGEL ISD,005903,005,94.8
005904,22,26,25,34,2,337,49,388,31,45,108,12.7,12.3,12.6,29385,11.3,7.1,WINDTHORST ISD,005904,005,98
006902,38,25,43,32,1,400,22,424,37,51,112,16.2,13.8,16.1,30389,11.9,6.3,CLAUDE ISD,006902,006,96.5
007901,43,38,43,32,0,71,444,515,29,82,388,15.4,12,16.6,33214,12.8,7.8,CHARLOTTE ISD,007901,007,95.8
007902,114,84,77,70,6,581,642,1234,92,203,747,16.2,17.3,16.7,32585,14,8.3,JOURDANTON ISD,007902,007,95.6
007904,116,83,83,62,2,386,823,1213,116,152,771,17.1,16.7,19,31845,11.1,5.8,LYTLE ISD,007904,007,94.6
007905,313,271,246,223,26,1457,1985,3477,194,579,2030,22.3,22.4,24.1,30728,12,7.5,PLEASANTON ISD,007905,007,94.7
007906,136,138,125,93,3,310,1349,1664,94,231,1218,19.7,17.6,19.3,30945,11.9,6.7,POTEET ISD,007906,007,95
008901,208,139,136,126,310,1515,238,2068,124,218,503,19.7,18.6,21.6,31658,13.2,8.7,BELLVILLE ISD,008901,008,95.3
008902,214,145,159,152,342,1305,586,2244,66,255,875,20.7,20.9,21.9,34328,13.6,8.5,SEALY ISD,008902,008,95.9
008903,92,78,65,58,154,538,233,929,69,131,400,17.3,15.4,17.3,32528,11.7,8.4,WALLIS-ORCHARD ISD,008903,008,95.6
009901,114,99,113,82,38,563,889,1494,119,200,911,18.6,17.6,15.7,29001,10.8,7.6,MULESHOE ISD,009901,009,95.8
009903,15,5,11,7,0,60,60,120,6,6,73,10.5,8.6,10.8,27624,7.8,3.6,THREE WAY ISD,009903,009,97.7
