,SAT_avg,ACT_avg,SAT/ACT_pct
001902,1025,-1,42.3
001903,906,17.8,48.5
001904,998,21.2,50
001906,-1,21.9,55.6
001907,1013,21.2,50.9
001908,982,19.9,51.2
001909,1072,21,37.5
002901,981,20.8,51.3
003801,.,.,.
003902,957,19.8,59.7
003903,967,17.2,59.1
003904,989,-1,57.4
003905,875,17.1,60.8
003906,923,19.2,77.3
003907,1001,20.6,44.3
004901,1048,21.2,40.7
005901,936,19.5,68.9
005902,1111,23.7,77.8
005904,960,21.6,79.3
006902,-1,20,68.2
007901,952,19.4,41.7
007902,896,18.5,48.5
007904,931,17.3,60.3
007905,953,19.8,63.5
007906,884,17.9,40.4
008901,1024,22.6,75.6
008902,996,19.9,65.1
008903,870,16.6,78.4
009901,-1,20.1,69
010901,999,18.7,-2
010902,1023,21.6,82.9
011901,975,18.9,47.8
011902,928,18.5,59.5
011904,1012,20.8,62
011905,.,.,.
012901,-1,21.9,52.6
013801,.,.,.
013901,926,18.6,60.5
013902,.,.,.
013903,-1,18.8,40.7
013905,.,18.9,35.1
014801,-1,.,5
014802,.,-1,2.8
014803,.,.,.
014804,.,.,-1
014901,981,21.4,44.4
014902,999,-1,64.3
014903,1027,18.3,-2
014905,-1,20.7,57.9
014906,939,19.4,68.6
014907,968,20.4,59.5
014908,1030,22.1,68.2
014909,1092,22.6,57.7
014910,988,21,71.2
015801,794,.,29.6
015802,-1,.,3.3
015803,.,.,0
015805,.,.,.
015806,823,14.6,-2
015807,815,-1,22.6
015808,.,.,-1
015809,.,.,.
015811,.,.,.
015812,.,.,0
015813,.,.,.
015814,.,.,0
015815,-1,.,30.8
015816,.,.,.
015817,.,.,0
015819,.,.,0
015820,.,.,0
015822,-1,.,16.7
015823,.,.,0
015824,.,.,.
015825,.,.,.
015826,.,.,.
015827,.,.,.
015828,.,.,.
015829,.,.,.
015830,.,.,.
015901,1123,23.8,-2
015904,847,19,39.3
015905,831,16.5,62
015906,1090,24.5,90.3
015907,838,16.9,68
015908,822,17.2,53.4
015909,927,16.9,43.1
015910,1033,22.3,78.6
015911,950,19.8,60.2
015912,871,19.7,43.2
015913,1066,17.8,76.5
015914,1035,22.8,96.4
015915,988,20.9,62.8
015916,969,18.8,52.4
015917,886,17.4,51.1
016901,947,21.1,82.9
016902,1026,21,83.8
017901,-1,19.7,100
018901,1067,21.7,55.7
018902,1030,20.3,93.3
018903,-1,.,-1
018904,958,22.8,73.1
