,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,white_stu_count,his_stu_count,all_stud_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_avg_salary,teacher_experience,exp_w_dist,dist_name,dist_num,county_num,attendance
001902,45,51,46,58,86,519,15,624,37,108,126,13.6,13,14.3,30601,10.8,5.5,CAYUGA ISD,001902,001,96.2
001903,102,76,81,61,76,1013,38,1130,71,206,450,17.3,18.4,19.7,31127,11.8,6.7,ELKHART ISD,001903,001,96
001904,80,57,50,53,95,658,28,785,35,125,322,13.4,12.5,15.8,33064,14.6,7.4,FRANKSTON ISD,001904,001,95.8
001906,24,24,25,24,44,272,7,324,9,72,121,12.8,11.6,13.8,29839,10.4,5.9,NECHES ISD,001906,001,97
001907,376,245,279,179,1232,1858,709,3819,99,422,2041,20.8,20.7,19.9,32341,15.3,9.2,PALESTINE ISD,001907,001,94.9
001908,175,126,103,115,289,1362,135,1800,88,262,603,20.2,16,18,30605,12.5,7.9,WESTWOOD ISD,001908,001,94.6
001909,33,29,32,24,11,356,18,386,31,78,175,14.3,12.2,16.3,31395,11.1,4.2,SLOCUM ISD,001909,001,96.2
002901,320,280,247,187,61,1721,1751,3568,291,753,1475,16.6,18.8,19.7,38626,14.2,9.8,ANDREWS ISD,002901,002,95.1
003902,160,167,171,127,71,1781,344,2211,145,265,997,23.4,19.5,22.6,31215,11.8,7.2,HUDSON ISD,003902,003,96
003903,664,663,569,518,2538,3880,1594,8109,607,988,4288,19.4,18.8,21.6,32002,13.6,10,LUFKIN ISD,003903,003,95.4
003904,147,150,113,104,86,1488,20,1596,135,324,647,20.1,21.6,17.2,31049,11.3,7.3,HUNTINGTON ISD,003904,003,95.9
003905,163,155,126,108,354,862,735,1955,90,289,1167,19,19.1,19.3,31603,11.7,7.7,DIBOLL ISD,003905,003,96.6
003906,36,31,29,34,0,442,6,448,17,102,228,14.1,12.5,16,29364,8.5,6.3,ZAVALLA ISD,003906,003,94.2
003907,126,111,100,94,44,1508,97,1651,95,229,716,20.7,18.7,20.7,32386,10.9,6.6,CENTRAL ISD,003907,003,96
004901,310,297,259,171,78,2247,977,3530,261,553,1783,18.8,18.1,23.6,33486,12.8,6.1,ARANSAS COUNTY ISD,004901,004,94.6
005901,59,50,46,46,4,589,13,608,30,107,116,19,14.5,19,32779,14.8,7.7,ARCHER CITY ISD,005901,005,96.6
005902,92,80,58,61,1,937,31,970,68,79,189,17,16.5,21,33304,12.8,7.3,HOLLIDAY ISD,005902,005,97.1
005903,12,12,8,11,1,94,10,106,0,22,58,9.9,8.5,10.5,29127,8.2,2.8,MEGARGEL ISD,005903,005,95
005904,30,21,23,28,1,340,51,392,28,40,130,14.2,12.1,12.7,30940,11.9,7.6,WINDTHORST ISD,005904,005,98
006902,37,31,24,38,0,389,18,408,34,63,101,14.9,11.9,14.4,32013,12,6.4,CLAUDE ISD,006902,006,96.4
007901,40,44,31,40,0,85,434,519,30,93,395,15.3,10.5,17.2,35054,14.2,9.1,CHARLOTTE ISD,007901,007,96
007902,108,84,78,70,5,574,673,1257,76,206,741,15.1,16.9,17,34407,14.2,8.3,JOURDANTON ISD,007902,007,95.7
007904,109,102,78,74,2,389,850,1246,109,179,804,16.8,16,18.7,32827,11.5,6.3,LYTLE ISD,007904,007,94.8
007905,281,271,239,218,23,1357,2001,3394,198,597,1959,20.5,21.8,22.8,32542,12.2,7.6,PLEASANTON ISD,007905,007,94.1
007906,138,109,117,119,4,320,1357,1684,83,258,1232,18.7,16.7,18.8,32597,12,7,POTEET ISD,007906,007,94.8
008901,216,181,138,127,321,1516,246,2087,130,237,498,17.7,19.8,21,32234,13.2,9.3,BELLVILLE ISD,008901,008,95.9
008902,201,169,136,137,347,1308,573,2242,90,271,887,20.2,18.7,20.1,36065,13.6,8.6,SEALY ISD,008902,008,95.5
008903,82,75,63,59,138,507,237,885,58,127,386,16.4,16,17.3,33434,12.2,8.9,BRAZOS ISD,008903,008,95.6
009901,113,104,83,101,34,550,853,1444,95,197,885,18.4,16.3,17.6,30013,10.6,7.5,MULESHOE ISD,009901,009,96
009903,11,14,3,10,0,54,63,117,7,2,72,10.3,6.3,10,29793,9,4.2,THREE WAY ISD,009903,009,96.7
010901,40,33,30,27,4,294,46,344,10,73,156,12.7,12.8,13,32892,15.4,9.2,MEDINA ISD,010901,010,97
010902,195,172,144,116,9,1915,408,2339,210,340,914,19.1,20.3,20.4,30765,11.1,5.2,BANDERA ISD,010902,010,95.6
011901,502,414,326,292,595,3628,1470,5765,333,817,2562,20.1,21.3,21.9,30773,9,5.2,BASTROP ISD,011901,011,94.9
011902,267,177,166,145,378,1203,1006,2611,139,375,1357,19.2,21,21.4,32020,11.5,6.5,ELGIN ISD,011902,011,95.6
011904,167,126,100,88,211,1174,322,1718,148,263,793,18.8,17.2,19.9,31166,9.9,6.1,SMITHVILLE ISD,011904,011,94.9
011905,0,0,0,0,5,119,52,178,22,14,96,.,.,.,26362,5.2,2.9,MCDADE ISD,011905,011,97.5
012901,69,44,54,52,52,612,108,777,26,138,397,17.1,17.1,15.2,33725,15.6,11.4,SEYMOUR ISD,012901,012,96.6
013901,429,342,252,267,159,1123,3050,4362,230,560,2736,19.5,18.6,19.9,32837,11.1,8.1,BEEVILLE ISD,013901,013,94.7
013902,0,0,0,0,2,46,76,125,5,16,69,12.7,12.7,12.7,32595,13.7,8,PAWNEE ISD,013902,013,98.3
013903,41,47,31,28,1,279,180,460,38,69,292,17.3,13.1,19.3,33610,12.9,7.4,PETTUS ISD,013903,013,96
013905,80,55,52,34,5,290,434,729,58,90,417,17.3,15.8,17.3,31461,9.6,5,SKIDMORE-TYNAN ISD,013905,013,95.5
014901,80,77,63,70,5,833,97,938,120,160,233,18.6,17.1,19.6,31791,12.1,7.2,ACADEMY ISD,014901,014,96.3
014902,45,48,29,23,101,247,202,552,32,96,334,15.3,12.4,14.3,31294,13.6,10,BARTLETT ISD,014902,014,95.6
014903,569,480,409,337,341,4655,1347,6416,468,799,2495,21.6,22.7,23.2,32228,12.9,7.8,BELTON ISD,014903,014,95.8
014905,48,40,44,34,26,389,64,486,23,70,241,17.6,13.4,17.7,32154,11.5,6.9,HOLLAND ISD,014905,014,96.5
014906,1852,1794,1602,1339,10904,11673,4766,28725,2335,3236,14650,20.5,20.7,21.9,31214,9.4,6.6,KILLEEN ISD,014906,014,96
014907,72,61,60,72,21,708,136,867,77,129,364,18,21,17.9,30073,10.5,7.8,ROGERS ISD,014907,014,96.5
014908,80,76,63,70,5,780,110,903,74,86,195,17,19.9,20.5,34703,11.7,5.5,SALADO ISD,014908,014,96.3
014909,850,559,431,392,2381,4343,1826,8690,652,1286,4320,19.8,21.1,22.4,31275,10.2,7.1,TEMPLE ISD,014909,014,95.9
014910,98,80,72,72,16,943,252,1218,92,178,370,18.9,15.7,18.7,31118,10.7,6.9,TROY ISD,014910,014,96.3
015801,52,42,30,28,2,9,140,152,0,0,123,21.8,23.7,23.3,27905,6.3,0.6,BLESSED SACRAMENT ACAD CHARTER H S,015801,015,77
015802,65,70,37,17,81,16,89,189,0,6,47,17.8,19.3,21,25679,1.4,1.2,BUILDING ALTERNATIVE CHARTER,015802,015,62.7
015901,389,323,273,305,85,3090,1075,4282,631,569,742,21.5,21,21,40346,15.3,8.6,ALAMO HEIGHTS ISD,015901,015,95.8
015904,1472,817,852,709,69,987,14054,15143,947,2315,13667,21.4,22.7,21.6,34208,11.8,9.1,HARLANDALE ISD,015904,015,95.2
015905,1305,836,663,475,272,236,13610,14142,867,1798,12770,20.9,22.7,22.5,32753,11,8.4,EDGEWOOD ISD,015905,015,93.8
015906,71,77,68,48,209,699,123,1072,104,115,297,16.1,15.3,16.3,38936,14.4,7.9,RANDOLPH FIELD ISD,015906,015,97.2
015907,5118,3778,3199,2787,6381,3097,51431,61112,3395,7489,54173,25.3,25.8,25.4,38034,14.5,10.5,SAN ANTONIO ISD,015907,015,94.1
015908,884,653,623,510,200,449,9658,10338,822,1408,9052,20.4,20.6,20.5,36322,12.5,9.5,SOUTH SAN ANTONIO ISD,015908,015,95.2
015909,190,140,120,107,6,525,1843,2381,202,396,1848,19.9,19.8,20.7,33634,9.4,4.8,SOMERSET ISD,015909,015,95.5
015910,4061,3364,3288,2625,4233,24543,16627,46550,3115,7885,16962,23.7,23.3,24.5,37298,12.4,8.3,NORTH EAST ISD,015910,015,95.2
015911,708,576,450,417,832,3359,2872,7102,595,1106,3457,22.5,23.7,22.3,33882,10.8,6.8,EAST CENTRAL ISD,015911,015,95.5
015912,936,572,449,378,418,1311,7641,9417,579,1390,6888,19.7,23.9,23.7,33379,8.2,5.1,SOUTHWEST ISD,015912,015,94.1
015913,52,32,29,18,225,540,163,956,58,133,463,20,17.9,17,37749,13.3,8.2,LACKLAND ISD,015913,015,97
015914,88,73,61,61,444,616,201,1318,185,213,507,15.2,15.1,14.3,37029,12.2,6.6,FT SAM HOUSTON ISD,015914,015,96.5
015915,5406,4291,3831,3643,4063,24045,30539,60083,5239,8889,24811,22.8,23.3,23.8,34946,12.2,8,NORTHSIDE ISD,015915,015,95
015916,1389,909,1243,717,3740,6624,4978,15828,918,2559,5621,21.1,20,22.5,35427,12.1,7.4,JUDSON ISD,015916,015,95.4
015917,335,221,227,179,29,675,3106,3833,174,506,2936,19.9,20.6,21.9,34141,11.3,6.3,SOUTHSIDE ISD,015917,015,93.7
