,SAT_avg,ACT_avg,SAT/ACT_pct
001902,973,20.5,65.1
001903,943,19.4,72.2
001904,1031,20.1,46.9
001906,.,.,27.8
001907,965,21.2,51.4
001908,983,21.4,31.3
001909,.,19,33.3
002901,964,20.3,54.4
003902,986,19.3,62.7
003903,944,19.9,53.6
003904,959,20.8,40.7
003905,904,19.8,55.4
003906,929,.,42.3
003907,996,21.2,41.3
004901,950,20.5,65.3
005901,997,21.1,51.4
005902,1029,20.4,64
005903,.,.,18.2
005904,994,20.3,60
006902,.,19.7,72.2
007901,.,17.5,58.8
007902,1017,20.5,68.5
007904,882,19.8,52.5
007905,1029,20.1,71.8
007906,861,17.4,.
008901,1006,22.3,66.7
008902,948,20.3,64.1
008903,907,19.3,67.3
009901,1108,20,67.4
009903,.,19.7,70
010901,965,19.4,81
010902,1007,21.3,70.5
011901,977,20.1,53.9
011902,988,18,41.5
011904,911,19.3,53.9
011905,.,.,.
012901,942,21,78.4
013901,950,20.3,49.3
013902,.,.,.
013903,.,19.5,34.8
013905,.,21.3,66.7
014802,.,.,.
014901,982,21.4,63.9
014902,877,17.8,75
014903,1020,19.8,84.6
014905,957,19,57.6
014906,960,20.2,58.4
014907,976,20.8,53.4
014908,1068,22,79.6
014909,1039,20.6,63.1
014910,957,20.8,77
015801,780,16.3,41.4
015802,.,.,.
015803,.,.,.
015804,.,.,.
015805,.,.,.
015806,.,.,.
015807,.,.,.
015808,.,.,.
015811,.,.,.
015814,.,.,.
015901,1082,22.1,89.1
015904,827,17.4,45.6
015905,803,16.3,60
015906,1068,23.9,93
015907,818,17,58.6
015908,820,17.2,54
015909,864,18.4,61.3
015910,1038,21.3,81.6
015911,926,19,64.3
015912,850,18.2,53
015913,990,22.4,.
015914,982,20.8,96.7
015915,998,21.2,67.1
015916,1001,20.6,67.7
015917,879,17.6,53
016901,988,18.9,73
016902,1078,21.4,79.6
017901,924,16.1,.
018901,1054,22,74.6
018902,948,21.3,72
018903,984,.,58.3
018904,995,18.8,48.1
018905,.,21.1,88.9
018906,.,18.6,62.5
018907,825,18,.
018908,658,.,50
019901,.,18.6,77.1
019902,.,19,63.6
019903,.,18.9,63.6
019905,1090,20.5,74.7
019906,.,21.4,59.3
019907,1011,20.5,62.2
