,SAT_avg,ACT_avg,SAT/ACT_pct
001902,942,19.7,66.7
001903,949,21.7,35.4
001904,975,18,50
001906,-1,21.8,73.3
001907,952,20.3,50
001908,988,20.6,61.3
001909,-1,19.7,43.8
002901,942,20.3,41.9
003801,.,.,.
003902,1007,19.6,50.4
003903,967,18,58.3
003904,920,19.7,44.2
003905,887,17.9,76.6
003906,-1,18.8,50
003907,934,19.1,46.5
004901,1009,19.8,59.3
005901,926,19.7,92.3
005902,1020,21,77.6
005903,.,-1,20
005904,1049,22,72.7
006902,914,20.8,88.5
007901,733,16.2,47.8
007902,923,19.4,70.1
007904,919,18.5,62.3
007905,946,20.4,54.3
007906,851,19.7,29.2
008901,1001,20.8,69.6
008902,985,19.7,53.8
008903,909,19.3,68.4
009901,-1,18.8,53
010901,901,19.5,82.4
010902,995,20.8,78.6
011901,975,19.9,55.2
011902,937,19.3,48.8
011904,1027,21.4,63.9
011905,.,.,.
012901,-1,21.3,61.1
013801,.,.,.
013901,995,17.9,56.7
013902,.,.,.
013903,929,19.2,57.7
013905,-1,18.5,54.5
014801,-1,.,3
014802,.,.,0
014803,.,.,-1
014804,.,.,.
014901,1040,21.5,76.8
014902,779,17.4,34.5
014903,1061,19.2,92.6
014905,1003,21.1,58.8
014906,930,19.5,64
014907,954,19.4,56.3
014908,1001,20,71.7
014909,1017,20.5,66.4
014910,947,19.6,51.3
015801,858,.,10
015802,-1,.,3.3
015803,.,.,.
015805,.,.,.
015806,-1,.,13.3
015807,810,-1,7.4
015808,.,.,0
015809,.,.,.
015810,.,.,-1
015811,.,.,.
015812,-1,.,12.5
015813,.,.,.
015814,.,.,0
015815,.,.,0
015816,.,.,0
015817,.,.,0
015818,-1,.,13
015819,.,.,-1
015820,.,.,-1
015822,-1,-1,50
015823,.,-1,5.6
015824,.,.,.
015825,.,.,.
015826,.,.,.
015901,1113,22.3,86.4
015904,818,17.9,43.3
015905,823,16.8,42.8
015906,1046,22.3,87.3
015907,814,16.9,62.8
015908,806,18.3,49.6
015909,893,19,37.7
015910,1028,21.8,76.1
015911,938,20.4,56.8
015912,868,19.5,46.7
015913,1035,22.5,91.2
015914,999,20.6,87.1
015915,980,20.7,65.8
015916,967,20,55
015917,805,17,51.7
016901,1020,19.8,65.9
016902,1049,19.9,70.2
017901,.,22,77.8
018901,932,19.4,69.2
018902,1013,18.2,-2
018903,-1,-1,40
018904,-1,20.8,27.8
018905,808,-1,45.5
018906,-1,-1,25
018907,-1,-1,21.1
018908,-1,-1,41.7
019901,-1,18.1,94.6
019902,.,20.2,68.3
019903,.,20.8,90
019905,1128,20.7,95.9
019906,-1,20.5,88.6
019907,1109,20.2,62.4
019908,-1,18.8,58.8
019909,-1,17.8,63
019910,.,.,.
019911,.,.,.
019912,1098,22.4,84.4
019913,.,.,0
019914,.,.,.
020901,975,20.1,45.7
020902,1003,20.8,49.8
020904,1030,24.6,43.1
020905,1028,21.1,57.8
020906,930,20.2,47.9
020907,953,19.9,40.4
020908,1035,21.6,63.8
020910,.,.,.
021802,.,.,-1
021803,-1,.,22.2
021901,1127,23.5,74.4
021902,1010,19.5,45.7
022004,998,.,66.7
022901,959,21.3,57.1
022902,.,16,100
022903,.,.,.
023902,-1,21.5,81.3
024801,.,.,.
024901,841,16.9,57.8
025901,1003,20.1,83.9
025902,1006,19.9,58
025904,.,19.2,38.5
025905,1026,19,86.7
025906,.,20.3,73.3
025908,-1,-1,55.6
025909,1097,22.3,84.1
026901,1002,20.1,54.3
026902,964,18.1,48.6
026903,969,.,29.2
027903,983,20.1,57.1
027904,963,20.3,55.7
028902,934,19.6,57.1
028903,878,18.4,53.8
028906,-1,-1,40
029901,1001,19.3,38
030901,-1,19.6,57.7
030902,1002,20.1,69
030903,-1,19.3,71.9
030906,966,19.9,71.8
031802,.,.,0
031901,887,17.5,34.6
031903,960,19.4,50.2
031905,992,18.3,69.1
031906,888,17.7,52.4
031909,830,17.8,59.8
031911,917,19,48.3
031912,813,19.4,56.5
031913,612,.,26.3
031914,705,15.4,69.4
031916,1059,22.2,96
032902,875,20,58.5
033901,.,19.1,-2
033902,-1,21.7,77.6
033904,-1,19.8,87.5
034901,1144,19.2,78.7
034902,.,20,-2
034903,1048,19,86.4
034905,1055,20.4,74.1
034906,.,20.9,47.4
034907,-1,19.7,66.2
034908,.,.,.
034909,-1,19.5,100
035901,.,19.2,75.9
035902,-1,19.5,54.2
035903,-1,23.6,-2
036901,933,19.6,57.5
036902,981,23.4,66
036903,927,19.8,76.4
037901,761,17,45.5
037904,1087,18.6,58.4
037907,979,21.2,42.2
037908,-1,.,16.7
037909,.,16.1,43.8
038901,-1,19.2,80.6
039901,.,-1,57.1
039902,973,23.3,61.7
039903,-1,20.9,51.7
039904,1120,22.6,66.7
039905,1122,20.2,88.9
040901,.,18.4,48.5
040902,1008,19.1,93.1
041901,868,19.7,61.8
041902,-1,19,80
042901,938,19.6,65.2
042903,-1,-1,22.2
042905,.,20.8,50
042906,-1,.,20
043901,1069,22.6,79.9
043902,943,19.9,59.3
043903,1000,21.8,76.4
043904,1053,21,75.7
043905,1045,22.6,67.1
043907,1040,22.5,67.1
043908,.,.,.
043910,1140,24.4,83.7
043911,950,18.8,50
043912,995,19.8,61.9
043914,1015,21.9,49.2
043917,974,22.4,58.6
043918,902,19.6,46.3
043919,.,.,.
044902,-1,18.2,60
044904,-1,-1,-2
045902,933,19.5,67.4
045903,920,18.5,55.9
045905,956,22.7,89.1
046801,-1,-1,16.7
046802,.,.,.
046901,1024,20.7,64.3
046902,991,21,68.3
047901,1056,22.6,60
047902,898,17.9,65
047903,-1,-1,50
047905,1032,-1,75
048901,-1,17.6,95
048903,-1,18.2,100
049901,989,19.3,54.2
049902,1006,21.8,-2
049903,1030,-1,61.8
049905,1020,21.2,50
049906,1026,22.1,72.7
049907,1008,-1,76.2
049908,.,.,.
049909,.,.,.
050901,1037,19.3,93.3
050902,985,20.2,64.5
050904,.,-1,57.1
050909,-1,23,66.7
050910,950,20.3,52.3
051901,.,19.7,60
052901,1046,19,53.5
053001,962,20.4,58.9
054901,-1,19.5,71.1
054902,1006,20.1,69.6
054903,-1,19.4,47.6
055901,836,17.4,62.2
056901,971,19.3,63
056902,.,18.1,80
057802,-1,.,37.5
057803,1150,22.7,-2
057804,-1,13.2,3.3
057805,.,.,.
057806,.,.,.
057807,963,19.6,81.8
057808,841,.,100
057809,.,.,.
057810,.,.,.
057811,.,.,.
057813,.,.,.
057814,.,.,.
057815,.,-1,5.9
057816,.,.,.
057817,.,.,.
057818,.,.,0
057819,.,.,.
057821,.,.,.
057823,-1,-1,16.7
057825,964,-1,12.1
057827,.,.,.
057828,971,-1,2.8
057829,.,.,0
057830,.,.,.
057831,.,.,.
057832,-1,.,27.3
057833,-1,.,50
057834,-1,-1,5.9
057835,.,.,.
057836,.,.,.
057837,.,.,.
057903,1069,22,61.2
057904,963,20.5,74.7
057905,858,17.4,53.5
057906,962,19,79.2
057907,979,19.6,64.1
057909,1012,20.7,57.4
057910,962,19.2,44
057911,1163,24.4,-2
057912,989,19.9,49.4
057913,802,16.4,65.6
057914,989,19.5,52.9
057916,1062,22.2,84
057919,.,.,.
057920,731,14.7,56.1
057922,1119,23.3,87.5
058902,-1,19.8,80
058905,-1,21.3,54.5
058906,935,18.7,36.9
058909,-1,20.3,50
059901,1093,19.2,41.8
059902,.,.,.
060902,982,21.4,63.5
060914,.,17.6,66.7
061802,-1,-1,25
061901,1020,21.1,65
061902,1086,21.9,85
061903,1013,21,68.6
061905,1047,21.7,67.8
061906,1024,20.6,43.8
061907,911,16.6,52.5
061908,976,21.5,51.8
061910,1106,21.5,77.3
061911,1019,22.3,64.6
061912,1007,21.3,68.9
061914,979,19.1,51.8
062901,1066,21,57.3
062902,-1,.,40
062903,1013,20.3,50
062904,937,19.9,48.1
062905,.,.,.
062906,.,.,.
063903,-1,18.5,55.6
063906,.,21.1,93.8
064903,865,16.6,51.6
065901,-1,21.6,76.9
065902,-1,20.7,62.5
066005,.,.,.
066901,-1,17,96
066902,-1,16.6,49.5
066903,-1,17.8,79.7
067902,1024,20.1,33.9
067903,1017,21.6,44.9
067904,-1,16.9,73.7
067907,991,20.3,78.9
067908,-1,-1,37.5
068801,.,.,0
068901,973,21.4,38.2
069901,966,18.7,50
069902,.,22.1,46.7
070801,-1,-1,27.3
070901,910,-1,42.1
070903,1035,19.5,59.4
070905,948,23.2,38.8
070907,-1,18.7,60
070908,1010,21.1,74.2
070909,-1,-1,50
070910,896,18.6,52.2
070911,982,20.4,56.8
070912,976,20.5,61.7
070915,984,20.3,80.4
071801,.,-1,-2
071803,.,.,0
071804,861,.,12.2
071805,.,.,.
071901,825,17.7,51.6
071902,943,20.8,60.4
071903,791,16.9,40
071904,832,16.3,60.8
071905,807,17.1,-2
071906,817,16.8,66.7
071907,864,17.1,59.1
071908,728,14,71.4
071909,854,19.3,56.8
072801,.,-1,7.1
072901,.,.,.
072902,931,19.6,55.6
072903,1033,20.7,76
072904,.,.,.
072908,-1,18.9,-2
072909,-1,20,60
072910,.,.,.
073901,902,20.8,56.5
073903,837,19.5,42.2
073904,.,.,.
073905,999,20.3,50.8
074903,983,20.3,48
074904,-1,16.3,71.4
074905,-1,18,53.8
074907,-1,20.1,62.2
074909,1044,21.4,84.4
074911,-1,19.1,38.9
074912,993,21.6,56.5
074917,-1,20.9,60.9
075901,1043,21.7,70
075902,1040,20.5,57.3
075903,977,-1,76.9
