,SAT_avg,ACT_avg,SAT/ACT_pct
057808,822,16.6,94.1
057809,.,.,.
057810,.,.,.
057811,.,.,.
057813,.,.,.
057814,.,.,.
057815,713,-1,50
057816,.,.,.
057817,.,.,.
057819,.,.,.
057825,-1,.,2.9
057827,.,.,.
057828,916,19.8,8
057829,852,-1,41.2
057830,.,.,-1
057831,748,16.5,-2
057832,.,.,0
057833,-1,.,-1
057834,915,.,3.9
057835,.,.,.
057836,.,.,.
057837,.,.,.
057838,859,15.4,-2
057839,.,.,.
057840,1104,25,-2
057841,.,.,.
057842,.,.,.
057843,.,.,.
057844,.,.,.
057903,1008,21.4,61.9
057904,855,17.6,78.5
057905,860,17.1,71
057906,849,16.8,82.2
057907,945,18.7,64.3
057909,995,20.8,51.8
057910,946,18.6,40.9
057911,1196,26.2,-2
057912,938,19.1,47.9
057913,799,15.5,76.8
057914,958,19.2,53.3
057916,1042,22.6,77.2
057919,.,.,.
057922,1155,25.6,91.3
058902,-1,19.4,54.5
058905,-1,23.1,70
058906,1044,19.2,41.1
058909,.,19.8,75
059901,1014,19.4,56
059902,.,.,.
060902,1023,21,58.7
060914,-1,-1,41.7
061802,-1,-1,17.2
061803,.,.,.
061901,1026,21.1,61.6
061902,1101,23.3,76.8
061903,1013,21.3,58.2
061905,995,21.5,64.4
061906,1075,23.2,57.5
061907,1027,22.1,65.6
061908,1007,22,50.8
061910,1093,24.6,92.8
061911,1009,22.5,66.6
061912,1016,21.5,67.5
061914,945,19.5,66.8
062901,1030,20.4,65.7
062902,.,.,-1
062903,1154,20.9,67.4
062904,879,20.3,78.8
062905,.,.,.
062906,.,.,.
063903,.,18.8,66.7
063906,.,20,87.5
064903,838,17.1,61.7
065901,.,20,80
065902,.,-1,-1
066005,.,.,.
066901,.,16.4,72.4
066902,-1,16,66.7
066903,.,16.5,71.4
067902,1040,21.9,43.9
067903,1034,21.4,52.6
067904,848,-1,70.6
067907,889,-1,52.6
067908,-1,19.1,83.3
068801,.,.,0
068901,965,21.5,34.4
069901,-1,19,66.7
069902,-1,18.7,76.2
070801,1074,19.3,73.3
070901,938,19.8,60
070903,1009,20.2,60.4
070905,898,18.2,54.2
070907,957,21.3,46.2
070908,1041,22,65.8
070909,.,18.4,-2
070910,970,21.6,56.9
070911,991,20.9,60.7
070912,965,19.5,46.8
070915,931,19.3,68.9
071801,.,.,.
071803,-1,.,2.6
071804,811,.,9.6
071806,.,.,.
071807,.,.,.
071809,.,.,.
071901,850,16.9,62.8
071902,943,18.2,66.7
071903,847,17.3,46.5
071904,869,17.3,38.6
071905,798,17.6,99.8
071906,934,18.3,82.9
071907,866,18.3,43.4
071908,801,.,39.7
071909,872,19.2,58.8
072801,-1,-1,14.6
072802,.,.,0
072901,.,.,.
072902,956,20,52.2
072903,1039,21.7,75.4
072904,.,.,.
072908,-1,21.4,75
072909,-1,20.5,61.5
072910,.,.,.
073901,-1,17.9,56
073903,791,-1,51
073904,.,.,.
073905,988,21.4,55.6
074903,1010,21.4,56.3
074904,-1,19.9,75
074905,-1,-1,29.4
074907,-1,20,69.4
074909,967,19.8,56.1
074911,813,21,80
074912,997,21.1,39.4
074917,1039,20.8,87
075901,980,20.3,67.5
075902,1033,22.3,43.3
075903,944,18.6,76.9
075906,959,-1,60
075908,1069,-1,66.7
076903,-1,18.9,88.2
076904,.,20.9,72.2
077901,-1,19.2,76.1
077902,-1,18.7,87.9
078901,.,20.5,78.6
079901,994,20.6,61.2
079906,998,21.1,64.8
079907,1027,22.2,82.7
079910,939,18.4,84.6
080901,1104,20.7,42
081902,998,19.6,74.8
081904,933,19.1,77.6
081905,944,18.4,53.6
081906,.,.,.
082902,-1,16.5,48.9
082903,991,18.1,46.9
083901,.,19.5,37.1
083902,-1,18.3,100
083903,976,21.7,40.9
084801,.,.,.
084802,.,.,.
084804,.,.,.
084901,936,19.5,41.4
084902,932,20.1,50.8
084903,928,-1,76.5
084904,859,17.7,59.9
084906,936,19.6,47.6
084908,822,15.7,49.3
084909,989,22,42.5
084910,1074,23.4,70.8
084911,1114,24.7,85.5
085902,-1,19.9,75
085903,.,17.6,70
086024,.,.,.
086901,1018,22.2,65.8
086902,931,21.1,80.4
087901,-1,24.1,64
088902,953,19.6,64.5
089901,956,21.2,70.5
089903,849,17.6,61.7
089905,.,15.8,38.5
