,SAT_avg,ACT_avg,SAT/ACT_pct
057903,1056,20.6,71.9
057904,980,20.3,72.4
057905,871,17.9,52.6
057906,1064,20.5,75.3
057907,990,20.3,70.2
057909,1007,20.9,60.3
057910,995,19.9,48
057911,1165,24.5,.
057912,1031,19.4,58.9
057913,859,18.3,56.3
057914,1033,20.2,56.2
057916,1078,22.4,89
057919,.,.,.
057920,756,17.3,32
057922,1096,22.7,91
058902,.,18,100
058905,1196,24.6,82.4
058906,1077,21.1,52.3
058909,.,17,62.5
059901,1024,19.7,41
059902,.,.,.
060902,1065,20,54.7
060914,.,.,11.1
061901,1046,21.2,67.4
061902,1068,21.3,84.6
061903,968,20.6,79.2
061905,951,18.6,87.3
061906,1066,21.2,55.2
061907,961,21.4,42.2
061908,951,18.8,52.1
061910,.,.,.
061911,1021,20.8,63.4
061912,1004,22.4,65.7
061914,877,17.2,47
062901,974,20.7,56.4
062902,.,.,11.1
062903,963,19.7,63.6
062904,978,18.9,48.1
062905,.,.,.
062906,.,.,.
063903,.,20.2,57.7
063906,.,19.1,.
064903,896,17,57.3
065901,.,20.3,71.4
065902,684,18.2,82.4
066005,.,.,.
066901,.,17.6,66.7
066902,.,16.4,87.8
066903,924,17.5,58.9
067902,1053,21,57.8
067903,983,19.9,67.4
067904,904,20.5,51.9
067907,930,18.5,.
067908,797,.,54.5
068901,991,21.5,37.7
069901,1000,18.4,67.6
069902,.,18.4,58.8
070801,.,.,.
070901,905,16.7,85.7
070903,1056,20.9,56
070905,892,21.8,77.9
070907,876,19.5,64.5
070908,1038,21.4,69.1
070909,959,.,72.7
070910,883,18.4,66.7
070911,989,20.1,76.1
070912,958,20.2,49.7
070915,938,20.5,75
071801,.,.,.
071803,.,.,0
071901,834,17.1,39.6
071902,942,20,56.2
071903,795,17.4,48.8
071904,813,16.4,17.2
071905,847,19.6,69.5
071906,834,16.3,74.3
071907,857,17.2,46.4
071908,784,15.9,53.1
071909,887,19.8,54.5
072901,.,.,.
072902,991,22.3,74.5
072903,1018,20.8,70.9
072904,.,.,.
072908,1021,20.8,100
072909,976,.,60
072910,.,.,.
073901,836,17.4,50
073903,892,20.3,47.9
073904,.,.,.
073905,1076,21,70.5
074903,962,21.4,61.8
074904,.,19.9,53.8
074905,.,.,30.8
074907,.,21.4,63.8
074909,.,21.1,57.1
074911,.,.,55.6
074912,1000,21.9,39.1
074917,872,22.8,42.3
075901,964,18.6,60
075902,1035,23.4,48.1
075903,931,20.9,69.7
075906,1019,20.2,70
075908,1063,.,100
076903,928,19.6,76.2
076904,1007,19.8,100
077901,941,20.3,50.8
077902,907,18.9,70
078901,.,19.3,56.3
079901,1020,20.3,55.3
079906,1085,21,57.6
079907,1037,20.6,85.7
079908,.,.,.
079910,979,20.4,68.9
080901,1169,21.3,54.4
081902,1012,20.9,56.1
081904,975,19.6,43.5
081905,.,18.3,45
081906,.,.,.
082902,.,19.1,52.8
082903,959,17.3,50.9
083901,.,18.6,56.3
083902,994,21,71.4
083903,965,20.4,48.2
084801,.,.,.
084802,.,.,.
084901,954,18.9,53
084902,1008,19.8,50.8
084903,860,.,44
084904,863,17,54.9
084906,936,21.1,46.3
084908,778,.,24.6
084909,945,19.4,44.5
084910,1066,21.6,82.9
084911,1066,22.4,81.6
085902,966,20.9,45.6
085903,826,19,66.7
086024,.,.,.
086901,995,21,77.6
086902,1119,21.2,80
087901,1010,21.9,72
088902,999,24.5,83.8
089901,929,19.6,72.8
089903,.,21.6,48.8
089905,.,14.6,100
090902,.,.,45.5
090903,.,17.7,54.5
090904,997,21.1,54.7
090905,.,.,.
091901,934,19.5,67.6
091902,.,21.4,84.8
091903,1076,20.8,35.8
091905,1026,20.8,57.1
091906,1039,20.4,46.7
091907,.,.,.
091908,1026,18.6,56.4
091909,1022,21.4,54.3
091910,1018,21.2,37.8
091913,972,20,58.8
091914,1041,21.7,71.4
091917,1038,21.4,56.8
091918,932,19.9,75
092801,.,.,.
092901,954,19.8,60.2
092902,997,20.2,42.5
092903,1023,19.8,63.1
092904,1075,21.2,80.9
092906,1033,21.8,35
092907,1043,21.3,69.2
092908,1020,21.4,77.8
093901,921,.,68
093903,1014,17.1,46.4
093904,922,19.2,47.1
093905,.,.,50
094901,954,20,53.8
094902,1032,21.7,54.6
094903,967,21.3,85.2
094904,968,20.5,64.7
095901,969,20.9,64.9
095902,.,.,30
095903,.,20.4,58.7
095904,.,19.8,.
095905,1015,20.4,59.9
096904,.,18.5,57.9
096905,.,18.2,55.6
096908,.,.,.
097902,918,21,.
097903,988,20.4,53.7
098901,.,21.8,82.8
098903,.,.,.
098904,.,20.7,54.5
099902,.,19.9,47.1
099903,.,18.7,.
100903,941,.,57.7
100904,911,21.1,65.9
100905,930,18.8,73.8
100907,955,20.5,67.5
100908,964,21,29.3
101801,.,.,.
101802,.,.,.
101803,.,.,57.1
101804,779,15.6,.
101805,802,15.8,45
101806,.,.,.
101807,.,.,.
101808,.,.,.
101809,.,.,0
101810,.,.,.
101811,.,.,.
101812,.,.,0
101813,.,.,.
101814,.,.,.
101815,.,.,.
101817,.,.,.
101818,.,.,.
101819,.,.,.
101820,.,.,.
101821,.,.,0
101822,.,.,.
101823,.,.,.
101828,.,.,.
101829,.,.,.
101830,.,.,.
101831,.,.,.
101833,.,.,.
101834,.,.,.
101835,.,.,.
101837,.,.,.
101838,.,.,.
101840,.,.,.
101841,.,.,.
101842,.,.,.
101843,.,.,.
101844,.,.,.
101902,865,17.6,53.6
101903,949,19.4,74.8
101905,906,19.7,48.5
101906,1041,20.5,60.2
101907,1041,21.7,76.1
101908,1020,21.4,44
101909,756,15.9,45
101910,908,17.8,43.5
101911,975,19.8,43
101912,935,19.2,59.5
101913,1068,22.2,81.7
101914,1079,23,77.1
101915,1050,22.2,82.8
101916,1009,21.2,44.7
101917,955,19.6,44.3
101919,1027,20.9,62.1
101920,1077,22.1,73.5
101921,1017,21.9,75.7
101924,871,18.5,41.2
101925,958,20.7,49.7
102801,.,.,.
102901,.,17.1,57.1
102902,974,19.8,57.2
102903,.,18.5,84.2
102904,995,21.1,63.4
102905,.,20.1,72.7
102906,.,19.5,66.7
103901,.,22.4,70
103902,.,21.6,100
104901,1059,20.1,73.9
104902,.,17.9,.
104903,.,24.5,61.5
104907,.,17.1,77.8
105801,.,.,.
105902,954,18.2,56.1
105904,1088,22,87.1
105905,1045,20.7,86.2
105906,1032,20.8,67.3
106901,.,22.6,78
107901,982,20.3,42.2
107902,927,19.6,54.3
107904,1084,20.5,58.3
107905,925,19.8,38.7
107906,.,21.9,36.4
107907,.,18,50
107908,.,.,.
107910,.,18.8,27.3
108801,.,.,0
108802,.,.,0
108804,.,.,.
108805,.,.,0
108806,.,.,.
108902,880,16.8,51.7
108903,822,15.2,74.3
108904,922,17.2,59.1
