,SAT_avg,ACT_avg,SAT/ACT_pct
001902,951,19.2,36.8
001903,993,19.1,60
001904,1071,21.9,50
001906,1162,22.3,42.9
001907,937,19.9,51.7
001908,940,19.5,58.9
001909,.,21.2,58.3
002901,931,19.5,52.4
003801,.,.,.
003902,1003,19.6,51.9
003903,956,17.3,53.7
003904,922,18.2,43.6
003905,833,17.3,75.2
003906,961,17.5,55
003907,925,17.9,40
004901,999,20.2,67.8
005901,965,21.2,75.6
005902,1005,22,69.6
005903,.,.,14.3
005904,1130,21.1,80
006902,1022,20.3,82.6
007901,.,18.6,58.1
007902,1008,20,75.8
007904,843,17.1,60.8
007905,968,20.8,53.8
007906,922,18.2,51.2
008901,1039,20.6,74.5
008902,1014,19.6,56.8
008903,911,16.8,52.5
009901,.,19.4,61.4
010901,994,20.8,.
010902,983,20.9,66
011901,978,18.6,48.1
011902,914,18,44.3
011904,941,19,56.4
011905,.,.,.
012901,1083,21.8,85.7
013801,.,.,.
013901,975,18.1,56.2
013902,.,.,.
013903,864,18.4,50
013905,.,17.8,62.2
014801,.,.,4.3
014802,.,.,1.8
014803,.,.,.
014804,.,.,.
014901,1067,22.1,59.3
014902,901,19.1,69.7
014903,1037,18.7,.
014905,978,22.6,40
014906,921,19.1,64.2
014907,955,20,55.9
014908,1086,20,70.6
014909,1015,20.9,59.6
014910,940,19.6,64.9
015801,899,.,8.4
015802,.,.,0
015803,.,.,.
015805,.,.,.
015806,.,14.3,50
015807,.,.,5.7
015808,.,.,0
015809,.,.,.
015810,.,.,.
015811,.,.,.
015812,.,.,0
015813,.,.,.
015814,.,.,0
015815,.,.,.
015816,.,.,.
015817,.,.,0
015818,.,.,4.5
015819,.,.,.
015820,.,.,.
015822,.,.,.
015823,.,.,0
015824,.,.,.
015825,.,.,.
015901,1130,24.1,89.3
015904,826,16.9,46.3
015905,791,15.3,50.6
015906,1071,23.1,87.5
015907,802,16.9,65.5
015908,818,17.2,51.8
015909,864,18.1,44
015910,1021,21.4,79.1
015911,932,19.5,68.9
015912,857,18,46
015913,999,20.7,62.5
015914,1047,20.7,94.6
015915,990,20.9,69
015916,968,19.2,56.1
015917,838,16.6,56.7
016901,937,20.8,65.9
016902,973,21.4,85.4
017901,.,18.2,88.9
018901,956,20.1,74.6
018902,968,18.9,90.9
018903,772,.,55.6
018904,981,19.1,57.6
018905,962,.,71.4
