,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,white_stu_count,his_stu_count,all_stud_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_avg_salary,teacher_experience,exp_w_dist,dist_name,dist_num,county_num,attendance
001902,65,56,34,41,87,514,18,624,44,105,151,13.7,13.8,14,33779,10.3,4.4,CAYUGA ISD,001902,001,96.5
001903,82,80,88,63,83,993,37,1113,63,233,490,14.6,14.4,17.4,34672,12.9,7.6,ELKHART ISD,001903,001,95.9
001904,69,62,77,43,116,696,22,836,82,127,369,16,15,20.6,35700,13.9,7.1,FRANKSTON ISD,001904,001,96.5
001906,28,21,19,20,38,275,7,321,28,68,116,14.9,10.3,18.4,33907,11.8,6.8,NECHES ISD,001906,001,96
001907,308,264,250,162,1210,1547,747,3525,196,391,2086,18.8,17.7,20.4,35199,13.7,9.3,PALESTINE ISD,001907,001,96
001908,177,115,117,107,284,1344,153,1794,105,248,703,17.1,16.4,19.5,34614,12.8,8.3,WESTWOOD ISD,001908,001,95.3
001909,29,24,25,23,11,326,17,354,36,69,181,17.3,11.2,14.4,35617,12.6,5.2,SLOCUM ISD,001909,001,96.7
002901,274,267,267,207,51,1517,1610,3210,282,733,1284,17.7,19.9,18.2,42470,14.7,10,ANDREWS ISD,002901,002,95.4
003801,0,0,0,0,30,164,6,208,0,12,23,18.7,.,.,24108,1.4,0,PINEYWOODS COMMUNITY ACAD,003801,003,.
003902,208,158,154,140,80,1752,373,2215,128,249,1067,19.9,19,20.2,34281,11.4,6.7,HUDSON ISD,003902,003,96.1
003903,674,594,587,464,2501,3561,1760,7940,695,1058,4230,20.7,18.1,19.7,35186,13.7,9.9,LUFKIN ISD,003903,003,96
003904,178,113,116,126,78,1543,38,1660,117,311,709,27.2,35.8,21.8,34376,11.2,7.6,HUNTINGTON ISD,003904,003,95.5
003905,147,127,109,117,326,811,728,1866,81,259,1131,18.3,18.4,18.8,34962,10.7,6.5,DIBOLL ISD,003905,003,96.1
003906,35,28,17,26,0,473,4,479,16,92,243,14.5,13.3,14,32497,8.2,6.2,ZAVALLA ISD,003906,003,94.9
003907,132,107,101,87,31,1483,128,1644,70,251,651,18,17.4,18.6,34759,11.6,7.3,CENTRAL,003907,003,96.4
004901,316,266,253,228,76,2186,1025,3480,256,510,1782,19.3,18,19.9,36819,12.7,6.7,ARANSAS COUNTY ISD,004901,004,95.1
005901,59,45,43,39,1,565,18,584,41,76,154,16.1,13.2,17.6,34671,12.9,7.7,ARCHER CITY ISD,005901,005,96.9
005902,80,88,87,71,1,973,28,1007,69,69,182,16.7,14.9,18.9,35936,13.8,8.4,HOLLIDAY ISD,005902,005,97
005903,6,5,8,3,1,53,5,59,3,10,42,5.3,6.8,7,31328,7.8,4.4,MEGARGEL ISD,005903,005,93
005904,35,29,31,20,0,338,56,399,25,36,141,16.7,18,17.8,34441,10.9,8.4,WINDTHORST ISD,005904,005,98.4
006902,33,31,34,32,0,397,22,420,36,65,112,13.7,10.9,14.1,35311,11.8,6.3,CLAUDE ISD,006902,006,97
007901,49,30,30,34,0,83,416,499,37,81,390,15.4,12.4,16.3,36816,13.2,8.1,CHARLOTTE ISD,007901,007,95.1
007902,104,81,80,83,1,577,709,1294,70,193,777,17.3,16.8,19.4,36851,13.5,7.9,JOURDANTON ISD,007902,007,95.9
007904,137,84,87,85,3,451,944,1406,114,196,918,15.4,15.9,15.2,35377,9.7,5.3,LYTLE ISD,007904,007,94.8
007905,309,259,225,221,20,1271,2135,3438,213,608,2057,18.3,17.9,21.3,35741,11.8,7.2,PLEASANTON ISD,007905,007,95.3
007906,128,125,102,64,0,277,1321,1603,71,233,1155,15.2,16.3,17.7,35831,11.6,7,POTEET ISD,007906,007,95.3
008901,175,162,199,155,335,1573,267,2180,132,286,555,20,20,19.7,36248,13.9,9.2,BELLVILLE ISD,008901,008,95.6
008902,215,164,152,152,355,1260,638,2271,93,303,946,18.8,20.9,17.2,39317,13.1,8.4,SEALY ISD,008902,008,96.2
008903,90,74,71,59,144,515,231,893,22,160,369,15.1,15.5,16.8,37220,13.6,9.8,BRAZOS ISD,008903,008,95.9
009901,101,118,90,98,23,500,885,1412,78,198,925,15.6,16.5,17.1,34345,11.6,7.8,MULESHOE ISD,009901,009,96.5
009903,11,11,10,11,0,43,68,111,6,7,78,10.8,6.7,9.8,32691,9.8,5.9,THREE WAY ISD,009903,009,96.8
010901,32,27,26,27,1,280,41,326,13,60,155,11.3,12.2,11.3,36352,15.1,8.2,MEDINA ISD,010901,010,96.5
010902,237,199,146,153,11,2081,445,2543,253,418,991,17.8,20.5,21.2,35196,10.4,4.6,BANDERA ISD,010902,010,95.2
011901,593,424,360,308,642,3732,1681,6122,367,861,2505,20.9,20.1,20.3,35128,10.1,5.8,BASTROP ISD,011901,011,94.9
011902,321,172,157,139,372,1217,1082,2691,134,420,1396,19.7,20.5,21.6,37519,12.4,7.1,ELGIN ISD,011902,011,95.1
011904,185,117,98,92,203,1282,312,1804,121,299,714,19.7,18.4,23.9,35198,11.1,6.8,SMITHVILLE ISD,011904,011,93.9
011905,0,0,0,0,5,129,73,210,15,19,118,22,22,22,29635,6,2.7,MCDADE ISD,011905,011,97.3
012901,59,51,59,40,41,592,97,736,33,129,359,14.3,14.1,14.5,37312,17.2,12.3,SEYMOUR ISD,012901,012,96.7
013901,391,300,283,261,147,1022,2912,4107,258,506,2575,19.2,18.5,20.6,36561,11.7,8.5,BEEVILLE ISD,013901,013,95.2
013902,0,0,0,0,2,42,79,126,9,19,67,14.5,14.5,14.5,35204,13.1,10.8,PAWNEE ISD,013902,013,97.6
013903,43,52,34,44,3,245,186,434,32,78,272,17.8,13.9,14.8,35663,12.3,6.2,PETTUS ISD,013903,013,95.7
013905,64,65,63,51,4,283,402,689,76,118,382,17.2,16,15.9,35386,11.2,6.2,SKIDMORE-TYNAN ISD,013905,013,95.6
014801,16,36,38,15,47,28,23,105,0,0,0,17.2,17,23,25430,4.2,0,KILLEEN-RICHARD MILBURN,014801,014,75.2
014802,15,34,39,18,25,48,26,106,0,7,0,.,.,.,26000,12.5,2,TRANSFORMATIVE CHARTER ACAD,014802,014,83.7
014803,1,0,0,0,15,23,4,43,1,13,27,.,.,.,18538,8.6,0,TOVAS-TACTILE ORAL VISUAL,014803,014,.
014901,108,89,72,71,7,839,106,954,111,181,244,17.1,17.5,16.4,35646,13.2,8.1,ACADEMY ISD,014901,014,96.5
014902,54,42,31,40,112,250,218,581,53,108,328,15.6,14.5,15.9,35594,13.4,8.8,BARTLETT ISD,014902,014,96
014903,574,490,435,381,327,4634,1475,6520,574,884,2627,22.6,22.6,23.6,35884,13.5,8.5,BELTON ISD,014903,014,95.7
014905,39,46,46,36,19,382,73,480,24,76,227,17.1,15.6,15.4,36391,15.4,8.4,HOLLAND ISD,014905,014,95.9
014906,1856,1800,1595,1462,11632,11203,5010,29298,2471,3661,14758,21.2,21.4,21.9,36007,9.8,7.1,KILLEEN ISD,014906,014,96.1
014907,90,57,55,54,24,684,133,841,83,143,321,16.1,16.2,16.8,34131,10.3,6.6,ROGERS ISD,014907,014,96.7
014908,81,77,66,78,5,862,110,988,115,78,191,21.7,18.7,16.7,37576,12.7,5.1,SALADO ISD,014908,014,96.5
014909,862,547,444,380,2340,4001,1964,8439,576,1340,4140,21.5,20.4,22,35057,12.2,8.4,TEMPLE ISD,014909,014,95.7
014910,108,98,69,73,7,967,256,1242,103,200,422,18.5,16.3,20.2,35397,12.7,7.9,TROY ISD,014910,014,96.3
015801,45,59,45,35,3,12,169,184,0,21,140,21.3,16.8,21,24732,6,1,BLESSED SACRAMENT ACAD,015801,015,74.4
015802,32,26,37,29,48,9,64,124,0,4,89,14.1,8.2,12.3,23847,11.8,1.6,BUILDING ALTERNATIVES CHARTER,015802,015,83.6
015803,0,0,0,0,49,18,107,175,63,4,150,.,.,.,24824,2,0.3,"HIGGS, CARTER, KING G/T",015803,015,93.7
015805,0,0,0,0,21,74,554,652,0,49,452,.,.,.,31094,5.1,0.8,NEW FRONTIERS CHARTER,015805,015,93
