,SAT_avg,ACT_avg,SAT/ACT_pct
001902,978,21.9,62.9
001903,1011,21.8,53.7
001904,933,20.8,42.4
001906,1103,.,47.1
001907,918,19.3,47.5
001908,923,18.7,31.3
001909,.,20.6,40.9
002901,946,20.4,51.3
003801,.,.,.
003902,994,20.4,53.8
003903,959,17.8,58.7
003904,941,19.9,35.2
003905,872,19.2,65.4
003906,.,.,35.7
003907,1075,21,39.1
004901,972,19.8,53.6
005901,1043,21.2,61.8
005902,977,21.1,69.7
005903,.,.,.
005904,971,21.4,84.2
006902,.,21.4,55.6
007901,.,16.8,54.5
007902,1068,19.9,.
007904,959,18.3,59.7
007905,960,19.2,61.9
007906,907,18.8,44.1
008901,989,20.5,63
008902,969,18.8,64.6
008903,909,18.2,68.8
009901,1041,20.5,83.5
009903,.,18.8,81.8
010901,1047,21.4,95.5
010902,981,20.9,55.4
011901,1027,20.2,58.2
011902,948,19.8,41.5
011904,924,19.3,66.7
011905,.,.,.
012901,966,20.8,74.3
013901,904,18.7,53.4
013902,.,.,.
013903,940,20.7,61.8
013905,.,19.6,37
014801,.,.,0
014802,.,.,0
014803,.,.,.
014901,1047,22.5,64.1
014902,914,18.9,53.3
014903,1001,19.7,75.1
014905,980,21.9,43.8
014906,941,19.9,57.4
014907,982,20.6,54.5
014908,1023,19.9,83.1
014909,1060,21.6,67.9
014910,953,20.2,74.2
015801,.,.,0
015802,.,.,3.1
015803,.,.,.
015805,.,.,.
015806,.,.,.
015807,.,.,17.2
015808,.,.,.
015809,.,.,.
015810,.,.,.
015811,.,.,.
015812,.,.,.
015813,.,.,.
015814,.,.,0
015815,.,.,.
015816,.,.,.
015818,.,.,.
015819,.,.,.
015820,.,.,.
015901,1127,22.4,87.4
015904,815,16.8,48.6
015905,780,16.2,53.7
015906,1052,22.2,79.1
015907,797,16.9,60.4
015908,832,16.4,56.3
015909,885,19.4,53
015910,1016,21,75.8
015911,932,19.3,66.9
015912,850,19.7,46.2
015913,1050,22.5,90.5
015914,990,21,95.9
015915,995,21.1,65.8
015916,986,20.1,68.1
015917,889,18,43.1
016901,1009,19.5,68.6
016902,1015,19.7,93.3
017901,.,21.3,.
018901,1011,20,72
018902,1010,20.2,71.4
018903,.,.,40
018904,1001,22.8,56.3
018905,.,17.6,100
018906,.,.,62.5
018907,.,18.4,61.5
018908,.,.,40
019802,.,.,0
019901,.,18.2,79.7
019902,.,19.2,71
019903,.,17.6,83.3
019905,1049,20.3,80.5
019906,.,21.3,80
019907,1036,20,70.5
019908,837,18.4,66.4
019909,.,19.1,72.7
019910,.,.,.
019911,.,.,.
019912,1045,22.1,81.9
019913,.,.,.
019914,.,.,.
020901,996,20.7,48.7
020902,995,19.6,55.3
020904,1040,23,50
020905,1040,21.7,51.8
020906,1010,22,52.8
020907,1011,21.6,54.6
020908,1024,21.2,71.8
020910,.,.,.
021802,.,.,.
021803,.,.,.
021901,1110,23,76.3
021902,990,19.9,55.8
022004,970,.,30.8
022901,951,19.5,59.7
022902,824,.,55.6
022903,.,.,.
023902,.,20.2,87.5
024801,.,.,.
024901,961,18.2,47.8
025901,989,20.6,61.4
025902,977,21.4,61.5
025904,.,20.9,100
025905,842,20.3,100
025906,.,17.9,.
025908,1044,17.2,100
025909,1010,21.4,75
026901,977,19.4,54.6
026902,875,.,48.5
026903,868,.,63.2
027903,985,19.7,50
027904,1007,20.9,68.6
028902,947,19.6,58.6
028903,928,18.2,67.6
028906,.,.,50
029901,1044,20.4,39.5
030901,.,19.6,60
030902,966,20.9,68.8
030903,.,21.4,92
030906,917,20.3,58.8
031801,.,.,0
031802,.,.,0
031901,869,19.3,33.1
031903,928,19,54.6
031905,946,18,47
031906,934,19.3,43.8
031909,912,19.3,44.8
031911,860,17.6,69.1
031912,899,19.4,34.4
031913,710,17.4,57.7
031914,764,17.1,54.2
031916,1056,22.4,100
032902,918,20.9,68.4
033901,.,20,100
033902,1124,21.7,62.2
033904,.,20.7,81.8
034901,.,20.3,89.7
034902,.,16.1,.
034903,.,18.8,89.5
034905,968,19.6,56.8
034906,.,24.1,34.8
034907,949,18.1,69.6
034908,.,.,.
034909,.,17.9,72.7
035901,.,19.2,61.4
035902,.,19.3,56
035903,.,22.9,94.4
036901,938,19.7,42.9
036902,1002,20.6,61
036903,899,17.3,65.2
037901,881,19.3,45.5
037904,983,19.1,53.5
037907,982,20.2,45.5
037908,.,17.8,31.8
037909,1013,19.9,69.6
038901,1060,20.2,68.7
039901,.,21.2,77.8
039902,978,21.1,72.7
039903,1018,18.8,55.6
039904,1031,22.7,66.7
039905,1157,22.5,100
040901,.,19.8,36.1
040902,974,20.8,86.2
041901,.,22.9,66.7
041902,990,21.2,82.1
042901,1054,19.8,76.7
042903,.,.,36.4
042905,.,22,77.8
042906,.,.,.
043901,1062,22.9,85.7
043902,.,18.4,26.5
043903,1021,19.6,59.6
043904,1014,17.6,48
043905,1064,20.8,70.8
043907,1077,21.6,71.6
043908,.,.,.
043910,1122,23.7,89.8
043911,951,18.7,48.8
043912,1001,21.2,69
043914,997,21.3,67.8
043917,1082,.,16.1
043918,914,18.6,59.3
