,SAT_avg,ACT_avg,SAT/ACT_pct
001902,951,19.2,67.9
001903,972,18.9,65.5
001904,971,19.4,56.6
001906,-1,19.2,50
001907,971,20.1,55.4
001908,1009,18.7,69.4
001909,997,21.1,60
002901,971,20,49.4
003801,.,.,.
003902,1001,19.9,48.2
003903,966,17.1,57.9
003904,945,-1,44.9
003905,846,17.6,72.7
003906,978,19.2,44
003907,891,18,54.8
004901,1023,21.1,67.6
005901,981,21.4,65.5
005902,1038,20.8,85.5
005903,.,-1,40
005904,1074,22.6,76.7
006902,-1,22,50
007901,-1,18.6,29.4
007902,929,20,67.9
007904,940,21.4,56.8
007905,984,20.1,58
007906,852,18.3,36.6
008901,979,19.7,72.2
008902,993,20.6,49.2
008903,963,-1,59.1
009901,1027,20.4,71.7
010901,1021,20,100
010902,1002,21,74.3
011901,979,19.5,56.5
011902,984,20.2,56.8
011904,977,21,61.5
011905,.,.,.
012901,-1,21.5,85.2
013801,.,.,.
013901,966,17.3,60.9
013902,.,.,.
013903,878,19.1,57.6
013905,-1,19.1,50
014801,-1,.,5.1
014802,.,.,0
014803,.,.,0
014804,-1,.,-1
014901,1035,21.6,51.8
014902,800,17,52.2
014903,1056,18.7,-2
014905,1008,20.4,59.5
014906,944,19.3,65.4
014907,1021,21.1,52.5
014908,1061,22,75
014909,1020,20.9,63.5
014910,996,20.5,52.6
015801,836,.,28.4
015802,-1,-1,8
015803,.,.,.
015805,.,.,.
015806,785,17.4,94.7
015807,885,-1,6.7
015808,.,.,0
015809,.,.,.
015810,.,.,.
015811,.,.,.
015812,.,.,0
015813,.,.,.
015814,.,.,0
015815,-1,.,7.1
015816,.,-1,8
015817,-1,.,1.3
015818,-1,.,8
015819,.,.,-1
015820,.,.,0
015822,-1,-1,21.4
015823,.,.,0
015824,.,.,.
015825,.,.,.
015826,.,.,.
015827,.,.,.
015901,1107,23,98.4
015904,832,17.4,46.5
015905,814,16.4,53.8
015906,1044,22.7,93.2
015907,831,17,65
015908,817,17,56.7
015909,923,19.4,33.1
015910,1032,21.5,78.4
015911,953,19.8,67.1
015912,854,18.3,46.1
015913,1120,24.5,100
015914,1036,23,90.9
015915,987,20.9,64.5
015916,967,19.3,53.3
015917,852,17.9,50
016901,1004,18.6,78
016902,1057,20.9,67.9
017901,1049,21.9,92.3
018901,976,20.4,54.4
018902,939,18.8,76
018903,-1,.,42.9
018904,990,20.1,37.8
018905,1010,-1,56.3
018906,-1,-1,20
018907,966,21,52.9
018908,-1,.,33.3
019901,1006,19.3,89.4
019902,.,19.6,83.3
019903,-1,21.2,80
019905,1147,19.9,70.8
019906,-1,21.3,92.2
019907,1010,20,65
019908,-1,18.8,65.2
019909,-1,19.7,65.5
019910,.,.,-1
019911,.,.,0
019912,1095,23.4,79.6
019913,.,.,.
019914,.,.,0
020901,1001,21.5,47.8
020902,1023,20.5,51.2
020904,980,15.4,55.6
020905,1036,21.2,62.2
020906,984,21.2,63.5
020907,1009,19.8,49
020908,1042,22.2,66.4
020910,.,.,.
021803,-1,.,57.1
021901,1128,22.5,76.5
021902,1041,19.4,46.3
022004,968,.,75
022901,1074,20.6,73.7
022902,.,-1,-1
022903,.,.,.
023902,-1,19.1,100
024801,.,.,.
024901,940,17.2,64.5
025901,1000,20.3,74.6
