,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,white_stu_count,his_stu_count,all_stud_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_avg_salary,teacher_experience,exp_w_dist,dist_name,dist_num,county_num,attendance
001902,54,50,52,50,72,513,29,614,55,103,153,13.1,13.8,11.4,35428,11.9,4.2,CAYUGA ISD,001902,001,97.1
001903,94,89,85,68,80,1022,48,1153,62,224,481,14.8,13.5,17.3,34230,12.8,7.6,ELKHART ISD,001903,001,96.1
001904,74,63,56,48,108,631,31,775,58,110,332,11.2,12.6,14,35506,12.8,6.6,FRANKSTON ISD,001904,001,96
001906,15,33,22,22,47,274,12,336,20,68,130,13.6,11.3,19.3,34804,12.7,8.1,NECHES ISD,001906,001,96
001907,267,239,224,196,1113,1419,803,3361,137,317,1995,18.2,16.9,18.1,35125,13.7,9.1,PALESTINE ISD,001907,001,96.4
001908,143,148,126,92,315,1315,169,1815,101,295,749,17.5,18,19.9,35423,15.1,9.1,WESTWOOD ISD,001908,001,95.3
001909,27,26,22,23,20,349,17,386,35,78,197,15.6,11.5,16.1,36486,12.9,5.3,SLOCUM ISD,001909,001,96.2
002901,247,264,256,196,51,1363,1643,3083,211,595,1327,15.4,19,18.3,43220,14.6,10,ANDREWS ISD,002901,002,96.2
003801,11,0,0,0,14,153,9,187,0,21,86,17.5,11.7,16.1,27022,5.5,1.2,PINEYWOODS COMMUNITY ACADEMY,003801,003,95.3
003902,194,167,158,147,79,1745,431,2267,116,247,1151,18.7,17,18.3,34748,12.7,7.4,HUDSON ISD,003902,003,96.4
003903,677,540,543,495,2627,3384,2001,8099,759,1059,4759,19.7,19.2,22.5,35240,13.7,9.6,LUFKIN ISD,003903,003,96
003904,139,140,128,110,72,1525,55,1660,121,327,845,16.1,18.5,26.5,35181,13.1,8.4,HUNTINGTON ISD,003904,003,95.7
003905,161,126,111,103,297,798,770,1868,78,253,1207,22.6,24,20.8,34349,11.5,7.1,DIBOLL ISD,003905,003,96.6
003906,30,22,32,24,0,453,3,456,13,73,220,13.9,12.8,14.2,34451,10.6,6.9,ZAVALLA ISD,003906,003,94.6
003907,134,103,99,101,44,1425,149,1623,72,250,694,19.2,17.2,20.3,34884,12.2,7.1,CENTRAL ISD,003907,003,96.2
004901,344,274,249,185,153,1847,1006,3337,232,470,1567,17.1,17.6,16.5,36763,13.2,7.3,ARANSAS COUNTY ISD,004901,004,94.7
005901,43,34,53,39,0,507,21,528,38,62,123,17.2,16.2,17.6,34684,12.7,8.1,ARCHER CITY ISD,005901,005,97
005902,93,69,75,72,2,880,33,917,61,68,209,14,13.2,14.9,36467,14.7,8.7,HOLLIDAY ISD,005902,005,96.7
005903,6,4,7,7,1,50,9,60,0,4,52,6.5,5,5.5,32042,9.4,5.1,MEGARGEL ISD,005903,005,95.4
005904,31,25,35,29,0,368,84,452,36,40,171,13.9,12.8,13.5,34988,11.4,8.8,WINDTHORST ISD,005904,005,97.9
006902,20,35,27,31,2,339,25,366,29,52,111,10.3,8.9,13.2,34987,10.8,5.9,CLAUDE ISD,006902,006,97.4
007901,39,32,36,29,1,77,420,498,39,65,333,14,11.6,14.6,38242,12,7.3,CHARLOTTE ISD,007901,007,95.6
007902,113,99,84,75,5,566,715,1292,92,186,772,14.4,17.3,15.8,37871,13.6,7.3,JOURDANTON ISD,007902,007,95.3
007904,150,98,104,88,4,482,1042,1536,116,187,995,14.4,16.4,17.2,35827,9.7,5.4,LYTLE ISD,007904,007,95.1
007905,299,226,261,206,23,1263,2109,3406,229,553,2076,17.7,16.6,20.1,37150,11.1,7.1,PLEASANTON ISD,007905,007,95.1
007906,138,145,82,85,6,265,1345,1621,77,244,1159,15.9,14.9,18.4,35969,11.1,7.1,POTEET ISD,007906,007,94.8
008901,176,192,151,144,310,1481,318,2116,191,279,609,15.8,19.4,20,38438,13.1,8.5,BELLVILLE ISD,008901,008,96.6
008902,183,176,172,132,333,1234,690,2276,148,307,922,17.3,17.9,18.8,40432,13.2,8.3,SEALY ISD,008902,008,96.2
008903,59,79,76,67,132,465,282,880,42,155,359,14.8,13.6,15.5,39266,13.8,9.4,BRAZOS ISD,008903,008,96.1
009901,126,102,77,101,19,474,903,1401,91,201,895,15.4,14.8,16.1,35172,12.1,7.4,MULESHOE ISD,009901,009,95.9
009903,8,10,6,8,0,37,41,78,2,4,57,6.6,5,5.8,34889,11.5,7.1,THREE WAY ISD,009903,009,95.7
