,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,white_stu_count,his_stu_count,all_stud_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_avg_salary,teacher_experience,exp_w_dist,dist_name,dist_num,county_num,attendance
010901,41,35,27,23,8,297,52,360,26,98,172,11.8,11.1,12,35355,13.5,6.8,MEDINA ISD,010901,010,97.1
010902,273,193,167,156,13,2137,478,2660,278,425,1038,20.8,22.8,21.8,35364,10.7,5.1,BANDERA ISD,010902,010,95.1
011901,594,472,426,329,721,3872,2110,6758,524,883,2846,22.5,21.6,23.3,39001,10.4,5.7,BASTROP ISD,011901,011,94.3
011902,287,273,200,152,399,1308,1224,2951,128,406,1551,29,23.5,31.8,37229,10.4,5.2,ELGIN ISD,011902,011,95.5
011904,169,142,100,98,215,1317,310,1851,109,309,784,17.3,17.2,17.6,37337,10.3,5.8,SMITHVILLE ISD,011904,011,95.3
011905,0,0,0,0,1,135,88,225,21,20,118,28.3,18.5,18.5,32550,7.4,3.7,MCDADE ISD,011905,011,96.3
012901,53,52,58,42,38,540,93,676,36,102,318,14.9,14.7,16.3,36519,14.5,9.9,SEYMOUR ISD,012901,012,96.1
013801,0,0,0,0,6,48,128,190,0,11,101,21,21,21,23276,12.4,0,ST MARY'S ACADEMY CHARTER SCHOOL,013801,013,.
013901,369,315,266,245,136,891,2791,3840,239,404,2517,19.8,19.4,20.4,38299,12.5,9,BEEVILLE ISD,013901,013,95.3
013902,0,0,0,0,0,47,73,123,8,15,65,13,8.7,13,37398,14.8,11.5,PAWNEE ISD,013902,013,96.9
013903,48,34,37,41,4,224,185,413,37,68,271,16.3,14.8,17.5,35877,11.7,6.4,PETTUS ISD,013903,013,96
013905,68,57,45,54,11,236,416,663,79,94,372,17,13.6,16.1,33493,9.3,5.1,SKIDMORE-TYNAN ISD,013905,013,95.4
014801,17,50,40,50,71,47,33,157,0,16,78,13,14,4.5,31083,6.8,2,RICHARD MILBURN ALTER HIGH SCHOOL-,014801,014,79.7
014802,15,27,25,39,44,35,20,106,0,11,0,48,.,.,19347,5.3,2,TRANSFORMATIVE CHARTER ACADEMY,014802,014,83
014803,17,8,0,0,56,72,30,161,0,37,120,18,.,.,21400,3.2,0.2,TOVAS-TACTILE ORAL VISUAL ALTERNAT,014803,014,94
014901,93,86,74,81,10,818,127,960,99,174,225,17.8,18.6,16.9,36778,11.2,7.4,ACADEMY ISD,014901,014,96.3
014902,51,54,39,37,94,208,241,543,45,96,351,14.6,13.7,15.4,36242,12.4,8.1,BARTLETT ISD,014902,014,95.6
014903,574,529,472,429,389,4598,1742,6826,581,1084,2922,22.6,22.1,25.5,36656,13.6,7.9,BELTON ISD,014903,014,95.9
014905,44,37,28,48,19,348,89,461,40,58,193,13.9,11.9,13.3,38588,14.4,8,HOLLAND ISD,014905,014,95.6
014906,2238,1748,1676,1518,12399,11136,5465,30536,2311,3910,15074,22.3,21.2,22.3,38908,9.8,7,KILLEEN ISD,014906,014,96.1
014907,94,82,71,60,22,695,149,868,97,140,291,14.8,15,15.8,34289,11.7,7.9,ROGERS ISD,014907,014,96.6
014908,91,80,76,64,6,836,134,987,87,88,190,15.6,15.6,17.3,37098,11.6,4.7,SALADO ISD,014908,014,97.1
014909,824,539,498,408,2357,3701,2120,8319,539,1418,4286,19.8,20.6,21.2,35807,11.9,8,TEMPLE ISD,014909,014,95.1
014910,114,95,83,76,21,971,255,1260,116,210,446,18.9,16,19.8,35722,13.3,8.3,TROY ISD,014910,014,95.8
015801,50,64,51,34,1,11,185,199,0,17,155,24.6,20.4,24.3,30700,2.2,1.6,BLESSED SACRAMENT ACAD CHARTER H S,015801,015,78.2
015802,41,49,62,37,82,19,86,189,0,26,141,20.8,13.2,15.8,24358,17.1,3.2,GEORGE GERVIN ACADEMY,015802,015,81.2
015803,10,0,0,0,29,15,189,233,0,38,224,.,.,.,22714,4,2,"HIGGS, CARTER, KING GIFTED & TALEN",015803,015,94
015805,0,0,0,0,13,43,584,641,0,70,540,.,.,.,33617,8.1,2.1,NEW FRONTIERS CHARTER SCHOOL,015805,015,92.4
015806,77,69,56,0,117,137,832,1094,0,65,647,8.3,17.7,21.5,25827,0.8,0.8,SCHOOL OF EXCELLENCE IN EDUCATION,015806,015,94.4
015807,84,76,73,27,88,72,93,260,0,28,86,42.8,.,17.7,33138,2,0.5,SOUTHWEST PREPARATORY SCHOOL,015807,015,85.1
015808,63,29,5,3,24,50,60,135,0,113,125,.,.,.,44501,9.5,3,JOHN H WOOD CHARTER SCHOOL,015808,015,96.6
015809,0,0,0,0,24,9,251,284,0,21,176,.,.,37,23693,2.3,0.1,BEXAR COUNTY ACADEMY,015809,015,92.8
015810,6,0,0,0,15,2,12,29,0,9,29,.,.,.,.,7.6,0,CAREER PLUS LEARNING ACADEMY,015810,015,94.1
015811,0,0,0,0,2,0,69,73,0,4,63,.,.,.,35143,0,0,LA ESCUELA DE LAS AMERICAS,015811,015,95.1
015812,21,11,2,3,0,3,38,41,0,4,0,26.7,30,25.8,79237,2,0,GEORGE I SANCHEZ CHARTER HS SAN AN,015812,015,78.7
015813,0,0,0,0,25,11,19,56,0,15,45,38,12.7,38,21906,6.6,0.6,GUARDIAN ANGEL PERFORMANCE ACADEMY,015813,015,82.2
015814,92,78,46,31,10,10,226,247,0,10,190,4.6,8,4,25101,8,1,POSITIVE SOLUTIONS CHARTER SCHOOL,015814,015,70.2
015815,20,16,8,1,44,83,153,280,17,27,187,10.4,12.1,11.1,26631,5.7,1.8,RADIANCE ACADEMY OF LEARNING,015815,015,89.9
015816,58,71,5,2,14,13,109,136,0,13,97,.,.,.,31673,7.7,1.5,ACADEMY OF CAREERS AND TECHNOLOGIE,015816,015,79.8
015817,38,15,2,3,2,0,56,58,0,0,0,10.8,11,.,32000,2.8,0,SAN ANTONIO CAN ACADEMY,015817,015,.
015818,50,48,20,18,59,29,155,243,0,20,58,.,.,.,22125,3.3,0.5,EAGLE PROJECT (SAN ANTONIO II),015818,015,83.6
015819,5,6,0,0,83,49,58,193,4,25,84,14.7,10,6.7,26871,6.6,1.1,"SHEKINAH RADIANCE"" ACADEMY""",015819,015,94.3
015820,5,9,4,5,2,37,47,90,0,7,3,11.3,4,.,50904,2.8,0.2,SAN ANTONIO SCHOOL FOR INQUIRY & C,015820,015,91.8
015822,12,7,6,4,17,13,150,182,0,11,119,16.4,.,13,24684,1,1,JUBILEE ACADEMIC CENTER,015822,015,.
015823,92,0,0,0,7,4,81,92,0,16,92,11.8,11.4,11.3,24104,7,0,SAN ANTONIO TECHNOLOGY  ACADEMY,015823,015,.
015901,378,337,345,342,100,3054,1282,4493,793,497,842,23.3,23.6,21.9,45996,16.3,9.1,ALAMO HEIGHTS ISD,015901,015,95.8
015904,1350,1086,908,741,81,761,13727,14595,830,2225,13172,22,24.9,22.6,40905,10.6,7.5,HARLANDALE ISD,015904,015,95.3
015905,1241,898,792,619,221,156,13038,13435,971,1942,12933,23.4,24.5,27,38529,11.4,8.7,EDGEWOOD ISD,015905,015,94.8
015906,75,70,79,68,234,629,135,1055,75,128,258,14.9,16.1,15.7,47702,16.6,8.9,RANDOLPH FIELD ISD,015906,015,96.9
015907,4845,3637,3204,2858,5542,2274,49422,57421,3212,7617,52975,25.2,25.3,24.3,45504,14.7,10.7,SAN ANTONIO ISD,015907,015,94.7
015908,765,623,591,506,174,302,9457,9970,818,1229,8921,18.3,18.5,19.2,41599,12.6,10.2,SOUTH SAN ANTONIO ISD,015908,015,95.4
015909,261,200,176,123,26,613,2450,3101,181,415,2396,20.3,19.9,.,39116,7.4,3.9,SOMERSET ISD,015909,015,95.6
015910,4534,3839,3841,3247,5109,25444,20990,53030,3585,8674,18541,22.6,23.1,22.6,42966,12.2,8,NORTH EAST ISD,015910,015,95.2
015911,762,627,580,434,930,3167,3729,7875,647,1083,4009,21.2,21.3,23.1,41987,12.1,7.4,EAST CENTRAL ISD,015911,015,95.7
015912,906,699,554,476,397,1074,7901,9417,601,1224,7171,21.1,22,24.6,38995,9.5,6.4,SOUTHWEST ISD,015912,015,94
015913,52,54,35,35,235,567,180,1046,62,136,350,14.6,12.4,21.4,45553,15.4,8.5,LACKLAND ISD,015913,015,96.8
015914,90,69,67,59,452,475,238,1224,87,206,426,12.1,13.3,12.8,46789,15.5,8.8,FT SAM HOUSTON ISD,015914,015,96.7
015915,5679,4978,4520,4067,4422,22818,36905,65773,5248,10019,27445,22,23.2,23.6,40956,12.1,7.9,NORTHSIDE ISD,015915,015,95.6
015916,1381,1185,1440,709,4398,5598,6599,17101,1097,2170,7295,21.1,20.9,22.3,40006,11,7,JUDSON ISD,015916,015,95.8
015917,357,329,251,264,72,777,3747,4651,328,637,3668,21.4,18.9,21.7,38289,9.9,5.2,SOUTHSIDE ISD,015917,015,94.2
016901,64,53,52,50,2,530,127,666,51,103,159,17.4,14.7,14.5,38812,13.9,7.1,JOHNSON CITY ISD,016901,016,96.1
016902,65,70,65,62,18,612,248,880,141,161,356,13.3,13.4,13.9,36939,13,6.6,BLANCO ISD,016902,016,96.3
017901,16,10,19,10,0,121,40,165,16,9,64,8.9,10.6,11.3,43478,16.9,10.2,BORDEN COUNTY ISD,017901,017,96.8
018901,100,85,85,71,47,910,237,1196,96,164,484,17.3,14.2,17.7,35177,10.6,6.3,CLIFTON ISD,018901,018,96.4
018902,43,38,41,35,36,359,131,530,64,70,270,16.5,14.9,15.7,35676,14.2,7,MERIDIAN ISD,018902,018,96.7
018903,17,11,12,8,3,81,69,153,7,29,129,9.5,11.8,24.5,36470,15.9,5.5,MORGAN ISD,018903,018,95.2
018904,49,28,45,39,21,438,66,528,41,99,176,16,10.2,15.3,36980,13.4,5.8,VALLEY MILLS ISD,018904,018,96.7
018905,24,12,10,11,3,143,80,226,6,47,138,13.4,8.9,16.7,37496,19,8.9,WALNUT SPRINGS ISD,018905,018,96.2
018906,10,12,18,11,0,129,18,147,12,27,68,8.6,9.7,12.6,33094,8.8,5.2,IREDELL ISD,018906,018,95.8
018907,22,24,20,12,0,277,18,295,35,49,148,10.3,8.6,11.1,31894,8.6,4.4,KOPPERL ISD,018907,018,95.9
018908,12,9,10,9,0,109,12,121,5,23,80,8.6,7.1,9.2,29614,6.4,3.9,CRANFILLS GAP ISD,018908,018,94.7
019802,15,8,4,0,27,26,6,59,0,12,30,.,.,.,21353,9.8,1.5,EAGLE PROJECT (TEXARKANA),019802,019,72
019901,70,84,73,69,265,644,54,970,98,159,519,16.2,12.3,13.3,35944,13,8.8,DEKALB ISD,019901,019,96.8
019902,89,78,82,79,235,847,29,1118,45,206,579,15.7,14.3,14.7,36371,15.1,11,HOOKS ISD,019902,019,95.6
019903,40,32,33,31,31,405,1,439,21,80,154,14.4,13.4,17.3,35514,14,10.9,MAUD ISD,019903,019,96.6
019905,121,107,122,90,308,1013,21,1365,30,241,576,14.9,16.8,17.8,35773,13.7,8.8,NEW BOSTON ISD,019905,019,95.8
019906,97,99,74,62,50,1045,12,1117,89,143,266,17.2,20.3,17.9,34939,10.1,7.1,REDWATER ISD,019906,019,97
019907,410,373,345,274,2678,2326,193,5252,353,678,3313,20.2,19.2,20.6,35044,13.2,8.8,TEXARKANA ISD,019907,019,95.7
019908,253,198,196,127,1279,1373,46,2706,165,465,1643,17,16.8,18.9,35274,14.1,9.4,LIBERTY-EYLAU ISD,019908,019,95.4
019909,59,40,32,44,1,563,3,572,44,78,250,13.3,10.3,16.5,36619,16.2,10.2,SIMMS ISD,019909,019,96
019910,0,0,0,0,0,117,0,118,6,15,64,.,.,.,33747,10.8,8.8,MALTA ISD,019910,019,96.9
019911,0,0,0,0,3,336,9,354,39,28,40,18.8,18.8,18.8,35719,13.3,7.4,RED LICK ISD,019911,019,97.7
019912,189,168,142,131,148,1708,37,1930,426,173,241,18.9,18.6,20.8,36589,13.6,8.1,PLEASANT GROVE ISD,019912,019,96.6
019913,0,0,0,0,0,63,4,89,3,19,47,8,4,8,35434,13.3,11.3,HUBBARD ISD,019913,019,97.7
019914,0,0,0,0,3,117,0,120,6,16,52,19,19,6,31803,9.6,8.1,LEARY ISD,019914,019,97.6
020901,1065,879,626,514,372,6625,4301,11560,697,1433,5366,22.1,23.8,23.1,39088,10,6.8,ALVIN ISD,020901,020,95.3
020902,629,444,445,328,988,3410,1911,6372,500,882,2540,19.7,21.4,21,40744,12.7,8.9,ANGLETON ISD,020902,020,96.3
020904,61,61,63,61,5,605,128,748,75,83,151,19.5,18.5,17.5,39398,12.3,5.3,DANBURY ISD,020904,020,95.6
020905,1145,917,891,779,1279,6886,4708,13068,1129,1796,5640,19.8,21.5,22.9,41614,13.3,9.9,BRAZOSPORT ISD,020905,020,95.9
020906,191,192,147,146,354,1491,317,2172,181,280,673,16.3,16.3,17.8,41221,13.8,8.2,SWEENY ISD,020906,020,95.9
020907,286,241,200,184,533,2017,553,3126,177,362,1190,19.3,22.1,21.4,39699,12.4,8.2,COLUMBIA-BRAZORIA ISD,020907,020,95.8
020908,1066,755,722,600,1116,6920,2425,11205,362,1047,1821,22.5,22.6,21.5,39154,13.1,6.5,PEARLAND ISD,020908,020,96.4
020910,0,0,0,0,2,103,48,154,17,17,84,11.3,10,17,35081,7.8,6.1,DAMON ISD,020910,020,96.7
021802,49,29,17,10,37,29,52,118,0,17,10,.,.,.,20571,3.2,0.4,EAGLE PROJECT (BRYAN),021802,021,72.9
021803,14,8,8,1,12,72,61,146,0,4,98,10,9.8,9.8,23140,2.6,0.2,BRAZOS SCHOOL FOR INQUIRY & CREATI,021803,021,95.2
021901,596,579,500,496,902,5040,829,7424,909,626,1844,22.5,21.2,23.3,38694,12.1,7.2,COLLEGE STATION ISD,021901,021,96.7
021902,1400,771,696,691,3360,5289,4827,13558,1750,1867,8012,22.3,19.7,21.7,35112,10.2,7,BRYAN ISD,021902,021,95.2
022004,13,18,10,8,0,39,149,189,16,19,159,10.8,11.2,10.3,31839,8,3.3,TERLINGUA CSD,022004,022,94
022901,100,84,76,80,15,440,686,1150,129,127,642,15.9,16.3,16.9,35932,12.7,8.4,ALPINE ISD,022901,022,95.5
022902,6,9,5,8,0,16,60,76,3,11,53,8.9,10.9,10.3,30827,5.6,3.9,MARATHON ISD,022902,022,96.3
022903,0,0,0,0,1,8,11,20,1,5,0,5,5,.,37104,14.8,7.5,SAN VICENTE ISD,022903,022,96.3
023902,20,18,14,15,9,159,81,249,35,29,134,12.3,11.7,13.4,35622,11.8,9,SILVERTON ISD,023902,023,96.9
024801,0,0,0,0,0,2,65,67,0,1,63,5.5,.,.,34757,12,1,ENCINO SCHOOL,024801,024,97.3
024901,146,144,111,111,2,72,1671,1746,172,245,1271,18.2,16.6,16.4,36440,15.5,11.2,BROOKS COUNTY ISD,024901,024,93.7
025901,103,85,74,59,90,878,161,1133,76,233,528,18.3,16.3,19.4,35455,13,7.5,BANGS ISD,025901,025,96.4
025902,382,264,258,234,275,2372,1235,3894,258,460,2226,14.7,15.7,17.8,35172,13.1,8.5,BROWNWOOD ISD,025902,025,95.4
025904,14,12,21,26,3,186,57,246,7,47,163,10.4,8.3,8.2,31441,9,4.7,BLANKET ISD,025904,025,96.6
025905,22,23,22,22,1,266,16,290,48,51,139,17.7,10.7,17.1,34574,13.5,6.5,MAY ISD,025905,025,96.7
025906,16,17,13,15,1,141,18,160,9,26,76,12.1,9.7,12.7,37504,17.8,12,ZEPHYR ISD,025906,025,95.8
025908,15,14,16,21,2,161,20,185,8,26,73,14.4,10.9,15.3,36694,15.6,9,BROOKESMITH ISD,025908,025,97.1
025909,122,97,85,102,13,1073,166,1269,76,181,402,14.1,15,17.3,34998,12.6,8.3,EARLY ISD,025909,025,96.9
026901,202,153,128,126,281,1251,406,1942,100,233,773,15.6,15.8,16.9,35667,12.8,8.4,CALDWELL ISD,026901,026,95.6
026902,69,52,54,71,234,394,119,753,31,109,453,11.3,12.9,13.7,34704,9.8,5.2,SOMERVILLE ISD,026902,026,95.5
026903,49,32,20,36,177,234,91,503,34,76,289,12,10.2,12.5,36496,11.7,8.4,SNOOK ISD,026903,026,93.9
027903,245,249,216,159,34,2365,522,2936,213,463,1239,18.6,18.5,19.9,36467,13.7,6.9,BURNET CONS ISD,027903,027,95
027904,342,301,227,199,76,2498,1018,3648,189,437,1531,22,20.7,21.1,37480,13.4,7.1,MARBLE FALLS ISD,027904,027,95.2
028902,481,361,286,274,385,1893,2209,4524,250,765,2063,21.6,23.4,24,36686,10.8,7.9,LOCKHART ISD,028902,028,95.2
028903,136,126,102,90,147,646,819,1617,124,183,973,17.2,15.9,18.2,35844,12.9,9.3,LULING ISD,028903,028,95
028906,11,13,15,15,28,121,98,247,10,43,185,15.2,10.2,17,35292,13.3,9.4,PRAIRIE LEA ISD,028906,028,95.7
029901,411,284,242,209,116,1712,2239,4248,545,498,2190,18.5,17.6,20.3,37993,12.8,9,CALHOUN CO ISD,029901,029,95.2
030901,43,35,34,36,0,373,30,403,20,57,190,16,12.7,15.7,34901,12.7,8.7,CROSS PLAINS ISD,030901,030,96.5
030902,134,122,121,100,18,1384,95,1504,128,254,621,18.2,18.1,18,34663,11.3,6.7,CLYDE CONS ISD,030902,030,95.8
030903,39,41,29,45,0,328,57,388,28,59,166,13.7,11.7,13.5,35971,13.8,8.6,BAIRD ISD,030903,030,97
030906,51,47,43,40,5,442,53,500,34,89,190,11.4,11.5,14.1,33736,8.8,5.5,EULA ISD,030906,030,96.4
031801,58,36,21,13,4,33,344,382,0,9,307,36,.,15,18445,7,0.4,VALLEY HIGH,031801,031,81.6
031802,57,32,26,12,0,5,139,144,0,6,16,.,.,.,25100,3.8,1.6,EAGLE PROJECT (BROWNSVILLE),031802,031,70.2
031901,3619,2511,2217,1866,54,860,41510,42541,2318,4948,39499,19.4,20.7,20.3,38990,11.9,10.5,BROWNSVILLE ISD,031901,031,96.4
031903,1589,937,962,862,108,1935,13896,16049,2030,1763,11083,20.6,22.3,21.3,40279,13.8,10,HARLINGEN CONS ISD,031903,031,95.6
031905,253,193,138,159,5,280,2519,2806,255,267,2290,14.6,12.4,19.1,41428,13,7.8,LA FERIA ISD,031905,031,96.3
031906,620,491,438,343,22,521,6359,6929,537,902,5761,20.8,19.4,20.3,37164,10.2,6.1,LOS FRESNOS CONS ISD,031906,031,96.7
031909,205,161,110,151,4,365,1974,2349,161,257,1971,17.9,17,19.5,40019,12.5,8.1,POINT ISABEL ISD,031909,031,96.2
031911,181,125,141,110,0,96,1978,2074,210,271,1690,17,16.6,19.9,39124,13.4,8.5,RIO HONDO ISD,031911,031,96.7
031912,779,497,510,356,8,223,8864,9102,672,1110,7802,18.7,20.5,20.5,38957,12.8,8.6,SAN BENITO CONS ISD,031912,031,95.2
031913,47,20,34,26,0,0,516,518,28,38,508,11.7,10.9,15.1,39560,13.2,5.8,SANTA MARIA ISD,031913,031,95.7
031914,95,84,75,65,1,29,1129,1159,48,130,1087,16,16.1,16.4,38580,12.9,9.3,SANTA ROSA ISD,031914,031,96.2
031916,542,518,394,379,12,412,1662,2214,702,234,1163,16.9,17.4,19.2,43041,14.9,6.2,SOUTH TEXAS ISD,031916,031,95.1
032902,195,150,142,107,511,1160,520,2195,124,363,1278,15.8,15.8,18.6,35982,13,8.8,PITTSBURG ISD,032902,032,95.7
033901,5,12,18,13,0,142,6,149,13,16,54,8.8,10.2,10,33726,11.3,6.6,GROOM ISD,033901,033,97.9
033902,49,62,44,42,3,614,82,702,93,96,184,13.8,11.5,13.3,37565,14.7,8.2,PANHANDLE ISD,033902,033,96.8
033904,33,27,33,37,4,378,26,410,46,61,121,14.1,12.7,12,39386,14.3,7,WHITE DEER ISD,033904,033,96.5
034901,152,142,160,131,698,1170,37,1909,178,385,1033,17.1,14.7,19.5,35415,13.6,9.8,ATLANTA ISD,034901,034,96.1
034902,17,10,11,12,49,136,3,193,18,38,136,12.2,14.8,12.3,35956,16.2,8,AVINGER ISD,034902,034,95.6
034903,71,80,82,45,159,747,44,952,86,143,487,12.8,12.9,14,37632,14.4,9.2,HUGHES SPRINGS ISD,034903,034,95.9
034905,80,84,66,68,234,686,7,929,74,186,425,14,12,15,37018,14.2,9.5,LINDEN-KILDARE CONS ISD,034905,034,96.5
034906,48,49,44,39,17,496,8,525,57,85,165,20,16.6,16.1,32145,10.1,5.8,MCLEOD ISD,034906,034,96.1
034907,89,109,98,83,255,955,13,1230,90,226,641,16.6,17.1,17.5,33662,11,7.3,QUEEN CITY ISD,034907,034,96.3
034908,0,0,0,0,22,25,0,47,3,19,36,.,.,.,28320,4.2,4,MARIETTA ISD,034908,034,95.7
034909,20,22,20,14,14,218,10,244,10,57,80,14.5,11.4,14,32714,10.7,7.2,BLOOMBURG ISD,034909,034,95.1
035901,112,94,73,89,47,300,957,1305,67,127,942,14.3,15.6,15.7,36242,14.4,9.8,DIMMITT ISD,035901,035,95.3
035902,29,28,33,24,10,48,294,355,61,33,286,19.2,14.8,22.5,34770,14,8.4,HART ISD,035902,035,97.4
035903,21,14,25,21,0,210,15,225,16,14,28,9.8,8.8,15.6,35134,14.6,8.7,NAZARETH ISD,035903,035,98.3
036901,107,118,90,68,301,806,252,1386,122,169,579,18.4,17,17.1,36121,11.8,7,ANAHUAC ISD,036901,036,96.3
036902,233,205,196,143,79,2392,306,2790,123,259,465,16.3,16,17.4,44323,15.9,8.2,BARBERS HILL ISD,036902,036,95.8
036903,104,67,74,67,154,801,169,1133,99,166,476,17.5,16.5,19.2,35056,11.7,8.1,EAST CHAMBERS ISD,036903,036,96.2
037901,47,43,50,47,266,287,114,667,44,80,461,12.7,11.8,15.5,33783,12.2,7,ALTO ISD,037901,037,96.9
037904,400,279,300,223,1074,2236,1286,4626,210,628,2842,18.1,17.8,18.8,33577,11.1,6.3,JACKSONVILLE ISD,037904,037,96
037907,157,150,118,104,315,1481,172,1986,98,276,1020,17.9,16.2,17,33798,12.4,7.6,RUSK ISD,037907,037,95.7
037908,27,25,19,23,29,101,252,382,27,37,319,14.7,14.4,28,37855,9.4,4.3,NEW SUMMERFIELD ISD,037908,037,96.3
037909,23,19,14,17,35,261,14,311,26,49,175,25,19,18.8,31905,10.9,10.4,WELLS ISD,037909,037,96.1
038901,82,92,90,87,111,720,340,1192,100,194,560,16.1,15.7,16.6,35787,13.5,9.2,CHILDRESS ISD,038901,038,96.3
039901,10,12,5,13,0,116,3,122,5,7,35,12.6,8.1,10,34640,16,10.8,BYERS ISD,039901,039,95.6
039902,107,77,75,69,14,970,43,1041,80,156,252,15.1,14.4,15,37200,14.2,9.8,HENRIETTA ISD,039902,039,96.4
039903,44,37,44,39,2,453,43,504,23,69,181,12.2,11.2,14.6,31405,8.1,5.3,PETROLIA ISD,039903,039,94.8
039904,15,18,19,12,0,186,1,187,7,22,65,11.9,11.4,14.5,37244,16.9,10,BELLEVUE ISD,039904,039,97.1
039905,18,14,9,19,0,160,9,170,7,31,43,13.1,7.6,13.8,35205,12.2,9.2,MIDWAY ISD,039905,039,96.7
040901,49,32,48,38,44,143,384,571,68,68,462,10.3,9.6,12.1,33745,11.4,6.6,MORTON ISD,040901,040,95
