,SAT_avg,ACT_avg,SAT/ACT_pct
001902,903,19.6,61.1
001903,1059,20.9,52.6
001904,962,19.4,55.3
001906,986,25.4,44.4
001907,936,20.1,56
001908,1009,19.8,42.5
001909,.,24.6,35.3
002901,919,18.9,46.4
003801,.,.,.
003902,1014,21,50.4
003903,947,17.3,57.1
003904,921,17.8,48.8
003905,818,16.9,67.4
003906,.,.,41.2
003907,968,19,36.1
004901,966,18.4,56
005901,873,19.9,57.9
005902,1070,20.3,58.1
005903,.,.,0
005904,957,22.8,72
006902,1054,21.9,81.5
007901,.,15.9,69.6
007902,995,21.1,57.9
007904,960,19.4,50.7
007905,967,19.8,53.5
007906,903,18.1,38.6
008901,1015,20.8,76.6
008902,987,20.1,55.3
008903,964,17.8,60.7
009901,.,19.6,69
010901,997,20.5,.
010902,1006,21.1,75
011901,980,18.9,52.4
011902,968,19.2,39.3
011904,958,19.7,55.3
011905,.,.,.
012901,1044,21.5,81.6
013801,.,.,.
013901,919,18.1,68.1
013902,.,.,.
013903,959,19.1,41.2
013905,.,19.4,52.8
014801,.,.,0
014802,.,.,0
014803,.,.,.
014804,.,.,.
014901,1057,22.3,63.1
014902,908,18.4,64
014903,1014,19.4,99
014905,1019,20.9,40
014906,934,19.6,59.2
014907,906,18.2,52.8
014908,1125,20.1,60
014909,1024,21.5,66.5
014910,956,20.6,83.3
015801,928,.,13.5
015802,.,.,2.2
015803,.,.,.
015805,.,.,.
015806,.,.,.
015807,.,.,6.8
015808,.,.,.
015809,.,.,.
015810,.,.,.
015811,.,.,.
015812,.,.,.
015813,.,.,.
015814,.,.,0
015815,.,.,.
015816,.,.,.
015817,.,.,.
015818,.,.,0
015819,.,.,.
015820,.,.,0
015822,.,.,.
015823,.,.,.
015901,1129,23.2,85.8
015904,801,16.9,49.7
015905,809,15.4,48.1
015906,1008,21.5,96.6
015907,810,17,60
015908,812,16.1,60.1
015909,902,20.7,48.5
015910,1017,20.8,79.3
015911,919,19.3,66.6
015912,850,18.2,50.2
015913,1036,20.1,93.3
015914,1011,20.6,.
015915,987,21.1,69.6
015916,986,20.2,59.5
015917,826,16.7,52.8
016901,1038,19.6,73.8
016902,979,20.2,76.1
017901,.,18.8,88.9
018901,927,19.8,68.5
018902,953,19.3,100
018903,.,.,12.5
018904,1088,24.4,37.9
018905,.,.,40
018906,.,.,62.5
018907,1044,.,81.8
018908,.,.,50
019901,976,19.5,93.5
019902,.,19.4,71.7
019903,.,20.2,.
019905,994,21.8,84.9
019906,.,20.7,85.7
019907,1040,20.5,60.1
019908,.,18.8,57.2
019909,.,18.1,67.7
019910,.,.,.
019911,.,.,.
019912,1081,22.2,85.5
019913,.,.,.
019914,.,.,.
020901,1011,19.7,51.6
020902,1009,20.7,49.1
020904,927,.,52
020905,1024,20.9,58.3
020906,986,21,61
020907,954,20,57.5
020908,1035,20.7,66.8
020910,.,.,.
021802,.,.,0
021803,.,.,.
021901,1115,22.7,75
021902,1016,19.5,48.7
022004,902,.,85.7
022901,1048,21.2,75.3
022902,844,.,75
022903,.,.,.
023902,1048,20.1,100
024801,.,.,.
024901,861,18,56.8
025901,1056,21.9,54
025902,977,20.3,61.3
025904,.,18.5,95.2
