,SAT_avg,ACT_avg,SAT/ACT_pct,EOC_alg1_avg,EOC_eng1_avg,EOC_his_avg,DISTRICT
026902,1246,-1,25.6,37,54,97,026902
026903,1401,21.3,74.2,85,62,92,026903
027903,1414,20.7,59.2,75,58,58,027903
027904,1445,20.6,56.8,91,72,95,027904
028902,1377,19.8,50.9,88,63,89,028902
028903,1336,17.1,52.6,66,45,93,028903
028906,1217,19,58.3,95,89,-1,028906
029901,1417,22.3,28.9,91,70,93,029901
030901,.,21.5,81,91,77,90,030901
030902,1457,21.8,55.1,78,73,95,030902
030903,-1,20.2,57.9,82,54,95,030903
030906,-1,22.1,42.1,83,75,96,030906
031803,1530,.,-2,90,78,95,031803
031901,1262,18,60.6,79,58,89,031901
031903,1338,18.1,58.8,67,57,88,031903
031905,1218,17.2,79.1,78,65,91,031905
031906,1292,19.3,68.8,90,69,97,031906
031909,1290,19,62.2,78,62,90,031909
031911,1168,16.7,71.8,73,51,83,031911
031912,1244,17.3,62.7,81,60,94,031912
031913,1208,-1,45.7,88,51,89,031913
031914,.,16.3,73.7,80,66,88,031914
031916,1522,22.3,95.3,91,85,97,031916
032902,1371,18.8,41.3,88,64,80,032902
033901,-1,22,100,100,82,90,033901
033902,-1,20.7,63.6,86,82,76,033902
033904,-1,20.7,70.4,82,88,91,033904
034901,-1,20,79.5,82,69,86,034901
034902,.,-1,22.2,47,58,80,034902
034903,.,18.9,67.6,96,78,88,034903
034905,.,20.8,60.7,79,59,98,034905
034906,-1,19.3,48.5,86,67,79,034906
034907,-1,20.3,76.5,87,70,94,034907
034909,.,19.8,77.3,72,67,95,034909
035901,-1,18.4,75.8,63,51,84,035901
035902,.,17.2,78.9,70,70,74,035902
035903,-1,22.3,73.7,80,88,100,035903
036901,1313,20.4,70.4,89,86,94,036901
036902,1451,21.3,64.7,94,89,97,036902
036903,1311,19.1,46.8,80,70,96,036903
037901,-1,19.9,48.5,70,77,88,037901
037904,1584,19.2,56.5,86,67,97,037904
037907,1505,19.7,36.2,83,81,95,037907
037908,1372,-1,24.3,73,55,96,037908
037909,1418,.,42.1,68,50,100,037909
038901,1628,20.3,62,88,65,92,038901
039902,1459,21.8,66.7,87,75,92,039902
039903,.,20.8,61.5,73,88,93,039903
039904,-1,22.6,50,83,89,100,039904
039905,-1,20.8,66.7,100,56,100,039905
040901,-1,16.5,70,49,61,70,040901
040902,-1,22.4,75,100,74,96,040902
041901,-1,20.2,84.2,88,88,96,041901
041902,-1,20.8,82.4,84,87,100,041902
042901,-1,20.4,52.9,75,65,91,042901
042903,-1,20.3,35,83,68,100,042903
042905,.,18.4,63.6,100,93,100,042905
043801,.,.,.,87,90,.,043801
043901,1618,24.4,76.5,96,89,97,043901
043902,1445,21.5,49,87,71,95,043902
043903,1482,22.2,76.4,94,78,95,043903
043904,1443,20.8,47.9,83,73,99,043904
043905,1587,23.6,75.9,97,94,99,043905
043907,1591,23.9,71,90,83,97,043907
043908,1551,23.4,65.9,87,76,91,043908
043910,1689,25.9,78.2,92,87,98,043910
043911,1472,20.9,42.1,81,75,92,043911
043912,1576,23.5,83.1,95,90,100,043912
043914,1499,22.3,55.4,90,84,98,043914
043917,1368,22.2,70.2,70,73,96,043917
043918,1473,21,46.4,77,74,95,043918
043919,1649,25.4,95.6,98,96,99,043919
044902,-1,18.7,90.3,92,72,100,044902
045902,1349,20.4,66.7,87,64,91,045902
045903,1355,17.9,72,78,67,86,045903
045905,1360,21.1,78,85,79,88,045905
046802,-1,.,-2,.,.,.,046802
046901,1508,21.9,61.8,83,80,96,046901
046902,1492,22.3,70.2,91,81,96,046902
047901,1429,20.8,64.9,93,81,97,047901
047902,1416,22.2,52.9,84,82,93,047902
047903,-1,16.9,72.7,63,73,92,047903
047905,1281,-1,100,77,53,89,047905
048901,.,16.8,65,96,92,86,048901
048903,-1,19,29.4,81,79,91,048903
049901,1425,19.6,55.9,85,64,94,049901
049902,1511,23.3,73.5,96,89,100,049902
049903,1397,20.7,58.5,88,71,95,049903
049905,1414,19.9,48.1,82,75,100,049905
049906,1610,23.1,72.7,90,73,98,049906
049907,1593,22.7,81.1,97,90,100,049907
049908,.,.,.,.,.,.,049908
049909,.,.,.,.,.,.,049909
050901,-1,19,87.5,74,66,94,050901
050902,1348,20.3,57.6,87,72,95,050902
050904,1309,18.3,91.7,64,79,88,050904
050909,.,17.6,33.3,83,56,75,050909
050910,1399,19.8,59,88,70,90,050910
051901,.,18.9,56.3,71,-1,77,051901
052901,1452,18.6,62.3,67,63,89,052901
053001,1350,19.4,51.2,57,48,91,053001
054901,.,21.1,57.7,77,65,100,054901
054902,-1,17.4,84.6,85,66,100,054902
054903,1353,17.6,63.6,94,68,79,054903
055901,-1,16.2,65.8,61,45,81,055901
056901,-1,19.7,65,80,64,85,056901
056902,.,21,90,86,43,100,056902
057802,1208,16.4,100,62,62,100,057802
057803,1741,25.7,-2,95,95,99,057803
057804,1113,14.3,7.2,45,35,66,057804
057805,.,.,.,.,.,.,057805
057806,1159,15.4,52.4,60,54,90,057806
057807,1280,17.5,80,91,68,95,057807
057808,1280,17,72.2,91,78,100,057808
