,SAT_avg,ACT_avg,SAT/ACT_pct,EOC_alg1_avg,EOC_eng1_avg,EOC_his_avg,DISTRICT
111901,1482,22.2,63,86,81,92,111901
111902,-1,20.6,46.7,67,85,100,111902
111903,1457,22.1,71.9,85,69,100,111903
112901,1515,21.3,56.1,86,75,92,112901
112905,1387,18.6,44.4,90,55,96,112905
112906,-1,20.6,38.7,56,57,83,112906
112907,-1,21.3,33.3,83,77,84,112907
112908,-1,20,51,76,66,82,112908
112909,1423,21.1,68.2,100,86,89,112909
112910,.,19.9,38.9,81,61,77,112910
113901,1302,19.2,50.6,44,67,86,113901
113902,1374,18.8,45.7,75,61,94,113902
113903,1505,20.6,70,81,74,97,113903
113905,1360,20.3,58.8,79,65,88,113905
113906,1451,-1,41.7,76,61,90,113906
114901,-1,20.6,22.9,74,52,74,114901
114902,-1,19.3,40.4,77,59,88,114902
114904,1668,23.1,61.1,90,85,96,114904
115901,1178,-1,82.4,85,76,96,115901
115902,1147,16.7,100,60,73,94,115902
115903,.,-1,-1,-1,56,-1,115903
116801,1283,.,73.3,64,59,100,116801
116901,1530,22.6,45.6,92,83,94,116901
116902,-1,21.7,53.1,97,91,95,116902
116903,1480,19.8,50.9,78,71,95,116903
116905,1381,20.5,41.1,84,64,97,116905
116906,1393,21.7,72.9,95,85,100,116906
116908,1398,19.8,42.4,55,61,82,116908
116909,1300,18.7,66.7,75,76,85,116909
116910,-1,19.3,52.6,83,56,89,116910
116915,1521,21.7,34.4,100,88,100,116915
116916,1378,20.9,54.1,88,77,91,116916
117901,1463,20.1,44.3,82,72,91,117901
117903,-1,20.7,21.6,71,68,78,117903
117904,-1,19,57.1,89,60,74,117904
117907,.,.,.,.,.,.,117907
118902,-1,20.8,58.3,96,67,100,118902
119901,-1,18.5,46.7,84,80,100,119901
119902,1435,22,67.2,83,67,98,119902
119903,1498,24.7,42.3,86,67,93,119903
120901,1479,18.6,59.2,68,49,74,120901
120902,-1,20,71.1,71,56,90,120902
120905,1506,21.5,57.9,95,86,83,120905
121902,-1,-1,31.6,72,76,100,121902
121903,1393,19.8,65.3,82,67,98,121903
121904,1453,19,58.1,81,66,76,121904
121905,1583,20.4,56.2,83,73,73,121905
121906,1325,-1,60,98,89,94,121906
122901,1432,19.6,-2,94,70,87,122901
122902,-1,.,-1,-1,-1,86,122902
123803,1057,.,30,37,39,93,123803
123805,.,.,.,.,.,.,123805
123807,1218,-1,86.7,82,86,100,123807
123905,1464,22.2,71.3,87,76,94,123905
123907,1197,15.7,45.1,68,46,86,123907
123908,1434,22.5,70.3,81,73,96,123908
123910,1295,17.8,60.1,71,58,88,123910
123913,1429,21.8,92.9,97,90,100,123913
123914,1333,18.8,72,95,73,97,123914
124901,1147,16.3,79.7,82,55,79,124901
125901,1415,18.2,61.5,65,54,85,125901
125902,-1,16.3,77.6,75,51,87,125902
125903,1417,19.3,69.1,81,72,89,125903
125905,-1,18.1,40.5,39,39,65,125905
125906,.,.,.,.,.,.,125906
126901,1347,19.1,50.2,71,67,86,126901
126902,1435,21.4,57.1,88,81,95,126902
126903,1410,21,48.6,74,57,90,126903
126904,1462,22.4,56.7,92,86,100,126904
126905,1471,22.2,51.8,88,79,97,126905
126906,1300,-1,45.9,86,65,87,126906
126907,1291,19.1,53.2,83,63,86,126907
126908,1358,19.5,38.3,82,67,91,126908
126911,1401,20.4,62.2,85,74,94,126911
127901,-1,18.7,50.9,87,75,76,127901
127903,.,20.3,34.8,63,71,79,127903
127904,1457,20.5,71.4,86,81,96,127904
127905,.,.,.,70,70,74,127905
127906,1593,20.8,56.1,95,78,81,127906
128901,1387,19.3,60,78,71,89,128901
128902,1328,17.2,47.6,74,64,79,128902
128903,.,17.6,62.5,59,61,96,128903
128904,1494,21.4,85.3,97,97,100,128904
129901,1442,20.6,55.8,92,73,94,129901
129902,1425,21.8,57.5,92,83,97,129902
129903,1373,20.5,56.6,86,66,88,129903
129904,1412,19.9,49.4,89,74,100,129904
129905,1493,21.6,49.6,85,72,95,129905
129906,1309,19,31.5,83,62,87,129906
129910,1420,21.1,46.7,86,77,95,129910
130801,.,.,0,-1,-1,73,130801
130901,1611,25,82.2,91,87,98,130901
130902,1420,22.4,66.2,77,65,88,130902
131001,.,.,.,.,.,.,131001
132902,.,19.2,-2,100,90,100,132902
133901,1314,18.9,70.6,81,68,78,133901
133902,.,.,.,100,.,.,133902
133903,1511,22.4,57.3,84,74,94,133903
133904,1408,20.4,64.6,60,55,91,133904
133905,.,.,.,.,.,.,133905
134901,1319,19.6,88,94,79,92,134901
135001,-1,-1,-1,100,75,100,135001
136901,1362,19.6,71.1,88,78,93,136901
137901,1306,19.9,56.4,57,41,65,137901
137902,.,.,.,100,.,.,137902
137903,1219,18.5,89.5,80,64,97,137903
137904,1436,18.4,89.3,89,86,97,137904
138902,-1,17.7,83.3,69,64,88,138902
138903,-1,19.8,58.8,79,61,95,138903
138904,-1,-1,-1,100,71,-1,138904
139905,1507,20.5,60.3,82,77,97,139905
139908,.,17,88,63,81,100,139908
139909,1588,20,59.1,76,65,80,139909
139911,1514,21.5,44.5,82,68,87,139911
139912,-1,20.3,47.8,94,67,80,139912
140901,-1,-1,41.7,64,46,100,140901
140904,1476,19.5,59.5,80,60,88,140904
140905,-1,17.9,64.3,86,76,90,140905
140907,-1,19.7,80,74,64,95,140907
140908,-1,19.2,90.3,100,74,93,140908
141901,1451,21,58.8,91,71,94,141901
141902,1383,-1,59.1,100,73,81,141902
142901,1177,16,66.1,73,54,94,142901
143901,1455,21.3,52.7,93,78,97,143901
143902,1409,20.6,68.8,88,80,100,143902
143903,1472,21.8,81.8,100,92,97,143903
143904,.,.,.,100,.,.,143904
143905,.,.,.,100,.,.,143905
143906,.,.,.,.,.,.,143906
144901,1401,19.8,53,89,75,95,144901
144902,1416,18.3,55,75,74,96,144902
144903,1456,.,71.4,75,41,86,144903
145901,1384,19.2,44.4,79,66,97,145901
145902,1438,19.3,58.2,75,66,84,145902
145906,1363,20.2,66.7,83,64,90,145906
145907,1308,16.9,76.5,80,38,70,145907
145911,1530,21,23.4,86,74,98,145911
146901,1347,19.1,36.9,52,47,87,146901
146902,1372,19.5,38.1,90,64,80,146902
146903,.,.,.,100,.,.,146903
146904,1300,20.1,53.9,84,64,87,146904
146905,1231,-1,39.5,96,64,92,146905
146906,1408,21.9,67.5,70,63,94,146906
146907,1484,21.3,36.4,82,68,100,146907
147901,-1,16,40,59,70,85,147901
147902,1427,19.4,56.3,70,68,85,147902
147903,-1,18.8,62,77,59,86,147903
148901,.,20.8,90.9,91,59,87,148901
148902,-1,23.1,100,100,100,100,148902
148903,.,-1,40,62,81,100,148903
148905,.,17.4,53.3,89,60,100,148905
149901,1383,19.7,59.3,84,62,90,149901
149902,1247,20.5,42.6,88,74,83,149902
150901,1511,21.5,68,98,79,96,150901
152802,.,.,.,-1,.,.,152802
152803,1152,-1,7.1,43,33,74,152803
152805,1201,-1,-2,73,50,85,152805
152901,1445,20.3,56.4,72,61,94,152901
152902,1308,19.4,68.8,85,76,93,152902
152903,1429,19.8,36.8,77,63,86,152903
152906,1490,21.1,77,88,69,93,152906
152907,1483,22.7,62.8,91,80,96,152907
152908,1294,20.1,39.3,88,68,98,152908
152909,1443,21.3,69.2,92,83,96,152909
152910,1490,21.2,77.9,91,75,94,152910
153903,.,21,63.6,88,69,94,153903
153904,1497,17.3,82.8,69,68,93,153904
153905,-1,21.1,80,100,83,100,153905
153907,-1,-1,54.5,100,55,-1,153907
154901,1334,18.2,57.7,88,71,91,154901
154903,1263,21.8,83.3,79,55,82,154903
155901,-1,19.1,70.7,80,73,86,155901
156902,1326,19.8,43.8,83,61,72,156902
156905,-1,21.7,87,100,82,100,156905
157901,1506,21.6,65.9,97,87,98,157901
158901,1427,21.6,50.9,58,61,82,158901
158902,1442,19.5,61.4,78,57,98,158902
158904,.,.,.,.,.,.,158904
158905,1340,21,71.6,79,72,93,158905
158906,1299,19.2,46.7,89,70,89,158906
159901,1292,18.4,54.8,77,67,96,159901
160901,1630,20.8,59.2,86,77,94,160901
160904,.,20.1,42.1,64,83,87,160904
160905,-1,-1,54.5,85,67,100,160905
161801,.,.,.,.,.,.,161801
161802,1515,21,-2,85,86,100,161802
161807,1423,23.1,-2,90,81,94,161807
161901,1469,21.5,82.6,86,86,95,161901
161903,1543,23.4,58.6,89,84,96,161903
161906,1181,17.3,49.7,64,43,86,161906
161907,1506,22.7,68.7,95,89,94,161907
161908,1382,21.3,50,91,82,98,161908
161909,1388,19.5,43.6,83,68,94,161909
161910,1414,19.8,53.5,88,86,94,161910
161912,1451,22.6,43.2,77,66,92,161912
161914,1306,17.4,39.2,62,47,85,161914
161916,1452,22.8,53.3,73,77,94,161916
161918,1508,21.7,56.6,89,78,96,161918
161919,1461,22.6,33.8,85,73,87,161919
161920,1541,22.5,54.4,90,83,96,161920
161921,1348,17.8,42.1,66,57,92,161921
161922,1391,20.9,49.4,82,78,94,161922
161923,1444,20,58.1,85,86,91,161923
161924,.,.,.,-1,-1,.,161924
161925,-1,.,-1,89,48,100,161925
162904,1311,20.8,82.4,96,72,92,162904
163901,1313,18.9,54.5,80,66,84,163901
163902,1395,20.2,100,79,74,89,163902
163903,1213,17,64.5,64,52,89,163903
163904,1694,21.2,59.6,79,57,97,163904
163908,1538,20.9,68.8,88,70,97,163908
164901,.,19.1,70.8,69,54,95,164901
165802,.,.,.,.,.,.,165802
165901,1459,20.7,42.7,73,59,89,165901
165902,1420,20.9,61,86,69,93,165902
166901,1408,19,70.3,83,66,97,166901
166902,.,.,.,.,.,.,166902
166903,1510,21.3,65.4,90,81,92,166903
166904,1424,19.4,47.5,83,58,82,166904
166905,1455,21,61.8,88,70,98,166905
166907,-1,.,23.1,62,52,64,166907
167901,1437,21.2,68.9,98,78,100,167901
167902,.,-1,50,75,45,71,167902
167903,.,-1,12.5,-1,-1,-1,167903
167904,1547,23.4,77.8,89,82,100,167904
168901,-1,19.1,50,73,58,83,168901
168902,-1,19.4,83.3,50,58,88,168902
168903,1499,20.5,75,95,71,73,168903
169901,1431,20.8,67.4,84,67,93,169901
169902,1476,20.2,56.5,84,71,96,169902
169906,1333,-1,50,63,62,86,169906
169908,.,.,.,.,.,.,169908
169909,-1,23.5,70,90,64,100,169909
169910,.,-1,33.3,85,100,96,169910
169911,1449,-1,60,95,73,81,169911
170801,.,.,.,.,.,.,170801
170902,1563,23.3,69.5,87,79,97,170902
170903,1527,21.8,62,94,84,97,170903
170904,1386,20.9,62.9,86,63,92,170904
170906,1498,22.1,54,79,73,95,170906
170907,1411,19.9,30.5,79,68,98,170907
170908,1399,20.9,41.4,76,60,90,170908
171901,1416,20.3,36.3,70,56,82,171901
171902,-1,19.3,64.7,95,75,93,171902
172902,1281,16.8,58.3,77,61,94,172902
172905,1273,19.4,57.1,77,67,92,172905
173901,.,17.2,100,67,64,100,173901
174801,.,.,.,.,.,.,174801
174901,1231,20,75,78,74,98,174901
174902,1487,20.9,36.2,98,78,89,174902
174903,1517,20.9,50,95,86,100,174903
174904,1479,20.1,49.2,67,56,63,174904
174906,-1,19.3,59.6,98,88,96,174906
174908,1497,19.5,73.9,93,88,98,174908
174909,-1,17.7,96.3,85,84,93,174909
174910,.,.,.,.,.,.,174910
174911,1689,23.8,94.1,92,81,100,174911
175902,1419,19.5,64.3,79,62,90,175902
175903,1352,19.2,51.9,78,61,91,175903
175904,1378,20.3,51.7,85,72,96,175904
175905,1408,20.8,61.9,84,61,100,175905
175907,-1,17.6,66.7,74,67,83,175907
175910,1448,23.1,70.4,91,63,100,175910
175911,1260,18.7,75.6,87,78,87,175911
176901,-1,20,27.8,71,55,83,176901
176902,-1,17.9,63.8,67,47,78,176902
176903,1358,19.7,37.8,71,67,94,176903
177901,-1,20.5,85.7,91,83,92,177901
177902,1505,20.1,52.5,66,63,86,177902
177903,-1,19.9,90,100,93,100,177903
177905,.,23.1,53.3,100,100,100,177905
178801,.,.,0,-1,-1,-1,178801
178804,1190,-1,34,68,62,98,178804
178807,.,.,.,72,.,.,178807
178808,.,.,.,100,.,.,178808
178901,.,18.2,77.8,78,58,88,178901
178902,1285,18.6,79.3,74,73,97,178902
178903,1436,21.8,62.3,83,79,98,178903
178904,1355,18.7,53.7,72,59,88,178904
178905,.,.,.,100,.,.,178905
178906,.,.,.,99,98,99,178906
178908,1478,22.7,64,94,95,100,178908
178909,-1,17.1,53,62,46,92,178909
178912,1408,20.9,53.6,83,78,97,178912
178913,-1,18.2,75,81,62,89,178913
178914,1500,21.9,67.5,89,83,98,178914
178915,1158,15.1,80.6,81,53,73,178915
179901,-1,21.6,38.6,78,61,85,179901
180901,-1,17.4,80.5,96,70,95,180901
180902,-1,20.2,80.6,90,86,100,180902
180903,.,18.2,-2,71,89,100,180903
180904,.,.,.,.,.,.,180904
181901,1425,21.1,52.5,88,67,95,181901
181905,1480,22.5,67.3,88,75,93,181905
181906,1196,15.5,64.4,70,51,86,181906
181907,1421,23.1,49.9,83,68,94,181907
181908,1436,21.1,53.3,83,67,92,181908
182901,-1,20.1,57.1,91,92,100,182901
182902,1313,-1,50,73,64,87,182902
182903,1389,21,34.3,67,67,91,182903
182904,1524,21.2,63,89,70,88,182904
182905,-1,-1,30,94,80,-1,182905
182906,.,.,.,.,.,.,182906
183801,-1,21.6,31.3,83,69,96,183801
183901,-1,19.4,68.3,70,73,83,183901
183902,1547,20.3,36.9,81,74,94,183902
183904,.,18.3,40.6,71,63,81,183904
184801,.,-1,4.8,81,55,85,184801
184901,1459,21,51.5,92,63,85,184901
184902,1463,20.9,48.4,71,58,93,184902
184903,1504,22.2,53,82,78,95,184903
184904,1511,21.5,40.4,83,73,95,184904
184907,1580,23.9,79.7,95,88,99,184907
184908,1558,24.4,48,92,72,94,184908
184909,1515,22.7,55,100,85,96,184909
184911,.,.,.,.,.,.,184911
185901,.,19.7,63.6,76,66,87,185901
185902,-1,20.8,62.9,83,77,100,185902
185903,-1,19.5,70,83,63,93,185903
185904,.,17,83.3,100,79,80,185904
186901,.,.,0,79,94,100,186901
186902,1296,18.2,49.3,80,56,92,186902
186903,1443,20.4,21.1,86,83,100,186903
187901,1387,20.1,52.3,83,68,86,187901
187903,-1,17.1,41.2,80,43,75,187903
187904,1463,17.5,69.5,79,59,98,187904
187906,-1,15.9,69.2,77,60,100,187906
187907,1380,19.8,50.8,83,58,92,187907
187910,1480,17.6,46.8,74,58,96,187910
188801,-1,-1,7,39,40,76,188801
188901,1335,20.6,63.4,85,70,89,188901
188902,1442,19.3,52.9,82,65,97,188902
188903,1409,20.9,72.9,83,68,96,188903
188904,1410,20.4,95.1,90,84,95,188904
189901,-1,18.1,61.5,65,61,100,189901
189902,1375,17.6,88.5,72,54,80,189902
190903,1593,21.1,66,84,76,93,190903
191901,1535,22.4,58.4,89,79,96,191901
192901,1422,22,53.8,68,50,71,192901
193801,-1,.,11.1,54,68,-1,193801
193902,-1,19.2,87.5,79,71,100,193902
194902,-1,20.7,64.9,-1,82,96,194902
194903,-1,20.8,57.4,84,72,96,194903
194904,-1,17.7,54.2,86,61,88,194904
194905,-1,21.3,60.6,83,57,96,194905
195901,1239,18.5,39.7,80,62,80,195901
195902,1270,16.6,80,100,100,100,195902
196901,-1,-1,28.6,79,65,93,196901
196902,1316,17.9,68.8,79,68,86,196902
196903,1391,18.3,71.2,84,61,93,196903
197902,-1,20.6,76.9,100,80,100,197902
198901,1258,18,82.4,84,66,100,198901
198902,.,16.5,50,89,78,100,198902
198903,1486,22.8,60,96,79,98,198903
198905,1218,15.9,53.8,61,39,78,198905
198906,1542,21.3,51.5,89,84,100,198906
199901,1545,23.4,71.7,92,83,98,199901
199902,1376,21.4,57.7,78,71,85,199902
200901,-1,20.6,83,78,64,97,200901
200902,1574,20.7,81.4,100,87,94,200902
200904,1399,19,73.8,88,64,98,200904
200906,.,.,.,.,.,.,200906
201902,1478,19.9,54.5,79,64,96,201902
201903,.,14,85.7,100,58,100,201903
201904,.,19.2,35.3,79,57,100,201904
201907,.,19.8,28.1,64,68,87,201907
201908,1393,19.3,45.9,84,81,81,201908
201910,-1,19.6,47.8,82,73,81,201910
201913,1386,18.7,44.4,83,58,92,201913
201914,1550,19.5,56.7,86,68,92,201914
202903,1470,20.6,62.5,70,80,91,202903
202905,1414,20.9,43.6,73,60,90,202905
203901,1359,16.5,72.7,63,56,83,203901
203902,.,17.9,57.6,86,62,94,203902
204901,1340,19,50,63,40,90,204901
204904,1403,19.8,39.1,75,53,87,204904
205901,1346,18.7,46.6,67,55,91,205901
205902,1424,21.1,69.6,85,69,94,205902
205903,1432,19.2,40.8,69,66,92,205903
205904,1214,16.8,63.7,77,61,92,205904
205905,1346,18.5,69.4,76,62,86,205905
205906,1359,19.3,68.1,76,60,88,205906
205907,-1,17.5,44.9,79,38,89,205907
206901,-1,19.8,64.2,88,74,98,206901
206902,1480,-1,43.8,75,94,-1,206902
206903,-1,-1,50,71,83,85,206903
207901,-1,20.6,57.8,86,73,92,207901
208901,.,-1,21.4,83,83,100,208901
208902,-1,20.9,35.2,74,61,79,208902
208903,.,17.8,-2,93,88,90,208903
209901,1450,21.3,65.4,98,90,96,209901
209902,1114,-1,63.6,56,56,90,209902
210901,1329,17.9,78.7,75,58,96,210901
210902,-1,21.6,46.7,88,80,85,210902
210903,-1,20.8,54.8,78,59,92,210903
210904,1393,18.7,39.1,84,67,79,210904
210905,.,20.9,54.3,83,77,76,210905
210906,.,.,.,.,.,.,210906
211901,.,.,.,.,.,.,211901
211902,1612,22.7,71.4,88,65,95,211902
212801,.,.,.,.,.,.,212801
212803,.,-1,10,27,36,-1,212803
212804,.,.,.,.,.,.,212804
212901,1464,19.8,43.8,85,70,90,212901
212902,1427,22.2,57.5,86,81,91,212902
212903,1466,21.9,59.3,92,84,98,212903
212904,1527,21.6,60.9,98,81,97,212904
212905,1379,19.1,56,76,61,95,212905
212906,1497,22.6,55.8,90,79,93,212906
212909,1268,18.7,64.9,66,66,93,212909
212910,1444,22.1,46.7,79,64,84,212910
213801,1317,.,8.6,71,72,90,213801
213901,1453,20.8,73.3,92,83,95,213901
214901,1322,17.6,54.5,79,52,90,214901
214902,.,16.8,80,83,71,88,214902
214903,-1,17.4,72.1,85,59,88,214903
215901,1461,20.1,39.7,87,64,93,215901
216901,.,20.2,60,86,60,74,216901
217901,.,21,56.3,94,85,100,217901
218901,-1,18.8,75.9,73,59,98,218901
219901,.,20.8,73.3,93,85,92,219901
219903,-1,20.3,45.5,80,65,78,219903
219905,.,17.2,62.5,67,53,88,219905
220801,-1,-1,30,96,96,100,220801
220802,.,.,.,100,.,.,220802
220809,1590,22.8,-2,94,100,100,220809
220810,1733,25.8,-2,87,97,98,220810
220811,.,.,.,.,.,.,220811
220812,.,.,0,22,32,60,220812
220813,1660,23.7,-2,97,87,99,220813
220814,.,.,.,94,.,.,220814
220815,.,.,.,.,.,.,220815
220816,.,20.3,61.5,90,83,100,220816
220817,.,.,.,69,65,100,220817
220818,-1,.,26.7,58,64,83,220818
220901,1435,20.8,61.4,75,61,91,220901
220902,1458,21.4,54.8,81,74,95,220902
220904,1217,16.1,56.4,82,67,92,220904
220905,1316,18.2,62.5,71,57,89,220905
220906,1628,24.5,80.3,89,86,97,220906
220907,1545,22.8,72.6,94,86,98,220907
220908,1440,20.8,71.3,81,76,95,220908
220910,1245,17,60.3,74,55,90,220910
220912,1349,19,66,69,53,88,220912
220914,1438,21.8,53.1,74,74,97,220914
220915,1415,21.4,59,82,63,89,220915
220916,1465,21.1,63.2,93,83,97,220916
220917,1330,19.6,42,73,69,91,220917
220918,1452,21.2,55.7,80,75,94,220918
220919,1719,26,95.9,97,96,100,220919
220920,1371,20.3,49,77,71,91,220920
221801,1588,22.9,51.9,76,73,93,221801
221901,1410,20.3,55.7,82,70,91,221901
221904,1624,20,55.9,84,71,90,221904
221905,-1,19.3,57.1,100,100,80,221905
221911,1501,22.4,81.9,92,87,94,221911
221912,1528,23.5,83.3,95,84,97,221912
222901,.,-1,40,100,78,95,222901
223901,1280,19.7,40.2,65,52,80,223901
223902,1230,17.9,68.4,83,77,100,223902
223904,-1,19.4,78.6,87,71,100,223904
224901,-1,19.6,61.1,53,76,93,224901
224902,.,20,70,100,83,100,224902
225902,1447,19.8,39.2,78,61,91,225902
225905,.,.,.,.,.,.,225905
225906,1572,22.9,64.4,88,80,93,225906
225907,.,.,.,100,.,.,225907
226801,.,.,0,79,77,95,226801
226901,-1,21.7,69,81,77,98,226901
226903,1503,21.1,54.3,79,65,89,226903
226905,-1,19.8,84,86,77,95,226905
226906,1614,22.5,77,95,97,97,226906
226907,1371,19.7,50,89,70,95,226907
226908,-1,19.6,60,88,76,94,226908
227801,1240,.,12.8,26,25,43,227801
227803,.,.,.,93,79,.,227803
227804,1589,23.9,80.8,96,87,100,227804
227805,.,.,.,86,71,.,227805
227806,.,.,0,50,38,74,227806
227814,1618,-1,84.2,100,89,100,227814
227816,1536,21.3,-2,90,79,96,227816
227817,.,.,.,.,.,.,227817
227819,.,.,.,.,.,.,227819
227820,1344,19.9,-2,89,76,99,227820
227821,.,.,.,.,.,.,227821
227824,.,.,.,90,57,.,227824
227825,.,.,.,.,.,.,227825
227901,1505,21.5,69.4,82,68,93,227901
227904,1424,20.7,70.6,81,69,94,227904
227907,1230,16.8,67.6,71,58,86,227907
227909,1790,27.1,99,98,97,100,227909
227910,1274,17.8,51.4,80,58,90,227910
227912,1523,23.3,72.2,91,81,99,227912
227913,1681,24.7,93.5,98,91,99,227913
228901,1462,21.6,62.5,70,65,96,228901
228903,1412,18.3,34.7,55,54,82,228903
228904,-1,-1,-1,56,60,83,228904
228905,1215,-1,66.7,83,55,100,228905
229901,1399,21.2,65.7,86,70,91,229901
229903,1340,19,69.8,94,85,89,229903
229904,1392,22.3,51.9,83,70,91,229904
229905,-1,18.5,59.1,75,71,94,229905
229906,-1,19,78.6,78,67,82,229906
230901,1356,17.9,53.3,91,76,100,230901
230902,1389,19.5,56.3,87,75,95,230902
230903,1470,19.5,44.2,85,46,75,230903
230904,.,16.7,65,91,75,100,230904
230905,1373,20.7,62.8,87,82,92,230905
230906,1464,20.3,76.7,89,79,96,230906
230908,1317,20.1,58,88,81,94,230908
231901,.,17.7,73.3,81,63,85,231901
231902,-1,19.7,95,94,45,90,231902
232901,1405,-1,100,97,83,100,232901
232902,1161,15.1,82.1,78,57,87,232902
232903,1303,17.9,42.7,68,52,80,232903
232904,1320,20.6,53.8,77,88,91,232904
233901,1325,18.1,51.6,78,56,92,233901
233903,1564,21.2,100,100,100,100,233903
234801,.,.,0,60,71,83,234801
234902,1496,21.9,58.9,92,82,96,234902
234903,1375,20.4,52,86,78,77,234903
234904,1385,22.8,44.8,67,65,75,234904
234905,1498,22,77.3,91,90,97,234905
234906,1460,20,59.4,84,73,73,234906
234907,1419,20.8,50.3,67,61,87,234907
234909,-1,20.8,44.4,88,87,88,234909
235901,1257,17.2,42.6,69,66,89,235901
235902,1367,19.4,36.9,74,60,91,235902
235904,.,.,.,.,.,.,235904
236801,.,.,0,-1,-1,.,236801
236901,1349,19.8,75,87,79,90,236901
236902,1447,19.6,58.4,68,54,85,236902
237902,1273,18.2,45.8,65,55,76,237902
237904,1418,20.3,51.3,82,70,92,237904
237905,1422,19,52.7,69,47,95,237905
238902,1576,19.2,46.5,73,57,73,238902
238904,.,-1,-1,88,62,100,238904
239901,1510,22.6,47.5,74,63,89,239901
239903,1419,-1,62.5,76,65,94,239903
240801,1234,15.2,7.7,52,30,70,240801
240901,1224,17.7,53.8,62,41,86,240901
240903,1333,18.5,51.7,81,61,94,240903
240904,1262,19.9,80.6,85,72,98,240904
241901,1348,22.9,50,82,67,93,241901
241902,1465,21.8,67.3,98,88,97,241902
241903,1384,19.2,48.6,71,70,77,241903
241904,1401,19.5,40.7,81,65,97,241904
241906,1444,20,46.7,88,67,90,241906
242902,.,18.9,90,90,61,86,242902
242903,-1,18.1,92,96,65,97,242903
242905,.,-1,-1,70,-1,100,242905
242906,.,19.6,53.8,72,75,100,242906
243801,-1,-1,77.8,94,65,67,243801
243901,1523,21.9,55.8,84,66,93,243901
243902,-1,21.1,46.9,90,89,93,243902
243903,1531,21.6,52,81,60,96,243903
243905,1475,20.9,55,79,69,91,243905
243906,1444,18.4,50.9,84,79,94,243906
244901,.,-1,50,75,86,100,244901
244903,1515,20.3,52.8,68,54,91,244903
244905,.,22.8,52.9,100,67,100,244905
245901,1164,15.7,80.8,76,66,91,245901
245902,1453,17.5,66.1,73,51,78,245902
245903,1247,16.4,60,71,54,90,245903
245904,1318,18,85,81,76,100,245904
246801,.,.,.,93,93,.,246801
246902,1351,21.8,57.3,81,70,88,246902
246904,1533,22.4,66.9,87,77,95,246904
246905,1466,18.9,59.5,89,73,97,246905
246906,1414,20.2,65.7,79,72,94,246906
246907,1458,20.5,63.2,86,74,98,246907
246908,1510,23.4,61.1,91,87,97,246908
246909,1610,23.7,74.3,89,81,98,246909
246911,1405,20.2,47.9,80,66,91,246911
246912,1493,21.9,63.2,82,79,90,246912
246913,1575,23.8,74.4,91,87,98,246913
246914,.,.,.,100,.,.,246914
247901,1372,19.8,62.3,83,76,95,247901
247903,1432,21.2,60,88,75,96,247903
247904,1454,20.7,68.3,91,78,89,247904
247906,1427,22.3,57.4,93,77,95,247906
248901,-1,18.9,48.4,67,57,89,248901
248902,-1,21.5,56.5,75,58,83,248902
249901,1465,21.4,62.2,82,79,96,249901
249902,1384,19.9,55.3,83,74,89,249902
249903,1470,21.6,45.7,80,55,93,249903
249904,1403,19.8,37,90,85,91,249904
249905,1468,21.3,59.1,85,75,97,249905
249906,1499,22.1,54.7,90,78,91,249906
249908,1304,19.4,62.5,95,78,93,249908
250902,1385,20.7,61.4,73,52,82,250902
250903,1406,20.6,60,77,61,85,250903
250904,1368,20.9,58.1,80,76,99,250904
250905,.,20.3,65.2,91,83,100,250905
250906,1457,20,67.3,80,76,86,250906
250907,1694,22.6,66.1,98,90,97,250907
251901,1504,20.3,50.5,88,77,92,251901
251902,-1,19.6,77.8,84,81,94,251902
252901,1461,21.3,58.5,87,70,91,252901
252902,.,-1,42.9,100,81,96,252902
252903,-1,21.2,47.2,77,81,92,252903
253901,1104,17.3,67.1,64,54,71,253901
254901,1174,16.6,61.9,61,48,86,254901
254902,1236,15.8,65.9,68,53,46,254902
