,SAT_avg,ACT_avg,SAT/ACT_pct
001902,923,-1,37.5
001903,977,20.4,45.6
001904,978,23.8,53.3
001906,-1,19.8,41.7
001907,996,21.1,43.9
001908,904,17.3,75.3
001909,967,-1,41.2
002901,961,19.1,42.3
003801,.,.,.
003902,970,19.2,58.4
003903,979,17.5,61.3
003904,986,19.8,41.7
003905,980,17.8,55.4
003906,-1,19,47.4
003907,1033,17.6,35.7
004901,983,20,65.4
005901,985,20.7,50
005902,1050,21.8,81.9
005904,1202,23.6,81.3
006902,.,20.9,90.5
007901,-1,15.6,72.2
007902,889,19,54.8
007904,930,20,72.4
007905,996,20.1,48.1
007906,860,16.9,34
008901,1059,22.5,68.1
008902,963,21,60.9
008903,969,19.3,67.2
009901,1116,19.9,62.3
010901,1056,20.8,-2
010902,986,20.9,74.3
011901,939,19.5,57.1
011902,939,17.8,47.3
011904,973,19.9,70.8
011905,.,.,.
012901,-1,20.4,85.7
013801,.,.,.
013901,1024,18,63.2
013902,.,.,.
013903,946,19,65.2
013905,-1,18.7,43.1
014801,-1,-1,7.7
014802,.,-1,7.1
014803,-1,.,-1
014804,.,.,.
014901,955,20.6,57.1
014902,915,-1,47.8
014903,1015,21.5,54.6
014905,-1,20.6,37.1
014906,940,20,67.7
014907,1043,17.8,60.5
014908,1001,20.5,78.1
014909,1023,22.4,60.5
014910,987,20.6,57.1
015801,-1,.,14.8
015802,855,.,20.5
015803,.,.,-1
015805,.,.,.
015806,757,14.7,97.9
015807,817,-1,26.5
015808,.,.,.
015809,.,.,.
015811,.,.,.
015812,-1,.,4.3
015813,.,.,.
015814,-1,.,6.7
015815,-1,-1,20
015816,-1,.,9.1
015817,-1,-1,4.8
015819,.,.,0
015820,.,.,0
015822,808,-1,87
015823,.,.,0
015824,.,.,.
015825,.,.,.
015826,.,.,.
015827,.,.,.
015828,.,.,.
015830,.,.,.
015831,.,.,.
015901,1125,24,96.1
015904,845,17.8,44.1
015905,780,16.3,63.1
015906,1094,21.9,91.8
015907,811,16.7,72.3
015908,848,18.1,52.7
015909,835,16.8,47.3
015910,1037,22.3,73.7
015911,915,19.6,63.8
015912,862,17.9,51
015913,993,21,58.3
015914,1028,21.9,93.9
015915,981,20.8,64.2
015916,928,18.4,63.5
