,SAT_avg,ACT_avg,SAT/ACT_pct
001902,958,18.7,52.6
001903,978,23.2,56.3
001904,936,19.2,58.3
001906,-1,21.6,42.9
001907,978,21.2,41.8
001908,898,19,82.9
001909,989,-1,58.8
002901,944,21,41.2
003801,.,.,.
003902,979,21.6,70.1
003903,954,17.8,62.6
003904,970,22.2,42
003905,901,18.1,70.8
003906,871,-1,53.3
003907,927,-1,52.7
004901,927,19.6,70.7
005901,1025,20.5,71.4
005902,1056,22.5,76.7
005904,-1,21.4,65.4
006902,-1,20.5,71.4
007901,785,16.9,56.3
007902,960,20.4,55.9
007904,942,18.5,67.2
007905,930,20.6,52.1
007906,902,20.3,50.5
008901,1015,21.8,59.4
008902,938,19.6,80.5
008903,946,20.2,68.2
009901,-1,18.3,57.5
010901,953,17.5,90.5
010902,1013,23.1,79.1
011901,942,19.4,58.4
011902,941,19,54.3
011904,1000,21,-2
011905,.,.,.
012901,.,22.8,63.9
013801,.,.,.
013901,989,18.4,43.8
013902,.,.,.
013903,934,19.4,50
013905,964,19.7,57.5
014801,768,-1,10.3
014802,-1,-1,7.3
014803,-1,.,-1
014804,-1,.,6.1
014901,1040,22.7,64.3
014902,671,-1,-2
014903,1020,22.7,58.4
014905,1016,20.8,70.4
014906,936,19.7,69.4
014907,976,23.6,67.3
014908,1034,25.6,78.1
014909,1021,22.2,56.6
014910,1001,20.9,57.8
015801,715,.,20
015802,766,15.1,25.4
015803,.,.,-1
015805,.,.,.
015806,801,.,84.4
015807,797,-1,12.1
015808,.,.,-1
015809,.,.,.
015814,-1,.,16
015815,-1,.,15.4
015816,-1,13.8,25.9
015817,.,-1,3.2
015819,775,-1,19.4
015820,-1,-1,6.3
015822,823,.,74.1
015823,.,.,0
015825,.,.,.
015826,.,.,.
015827,1067,24.7,-2
015828,1139,.,100
015830,979,22.6,73
015831,.,.,.
015832,.,.,.
015833,.,.,.
015901,1107,24.2,93.5
015904,865,18.8,51.8
015905,802,17.8,58.6
015906,1097,25.4,88.3
015907,828,16.7,60.5
015908,860,17.9,57.4
015909,833,17.5,69.2
015910,1022,22.3,75.7
015911,909,19.8,52.2
015912,844,17.1,44.4
015913,1007,20.9,100
015914,1032,23,93.2
015915,979,21.4,71.4
015916,924,19.3,59.8
015917,820,19.1,71.9
016901,1034,22.7,75
016902,994,21.3,73
017901,-1,22.5,-2
018901,1020,19.7,76.9
018902,897,17.3,85.7
018903,954,.,-2
018904,967,22.7,41.7
018905,.,-1,33.3
018906,-1,-1,50
018907,974,19.8,64.3
018908,-1,-1,37.5
019901,-1,19,72.2
019902,885,19.8,74.6
019903,-1,19.7,80
019905,-1,19.9,-2
019906,-1,20.4,92.7
019907,1033,20.7,74.2
019908,922,18.7,91
019909,-1,20.6,69.4
019910,.,.,.
019911,.,.,.
019912,1034,22.5,88.7
019913,.,.,.
019914,.,.,.
020901,953,20.3,57.2
020902,967,21.3,51.4
020904,933,20,55.8
020905,1001,22.1,51.6
