,SAT_avg,ACT_avg,SAT/ACT_pct
001902,981,19.8,54.8
001903,1032,21.4,46.9
001904,1004,21.8,48
001906,.,19,50
001907,940,19.7,58
001908,1036,19.9,44.6
001909,.,.,27.8
002901,956,19.8,41.6
003801,.,.,.
003902,930,19.1,43.3
003903,977,19.4,50.1
003904,897,17.4,27
003905,875,18.8,.
003906,973,20.4,76.9
003907,960,17.5,43
004901,1001,19,60.5
005901,926,20,75.7
005902,1002,20.9,69.7
005903,.,.,.
005904,.,21.7,75
006902,1016,22.5,63
007901,.,17.1,45
007902,1001,20.6,77.2
007904,964,19,68.2
007905,992,19.5,57
007906,839,16,40.6
008901,1006,21.6,69.5
008902,976,18.5,54.6
008903,949,18.9,62.3
009901,.,19.9,76.8
009903,.,15.4,55.6
010901,956,.,83.3
010902,1007,21.9,53.2
011901,981,20.2,53.3
011902,956,20.1,42.7
011904,949,19.2,60
011905,.,.,.
012901,1115,22.4,73.1
013801,.,.,.
013901,933,18.3,54.9
013902,.,.,.
013903,1028,22.4,37.1
013905,.,18.8,63.2
014801,.,.,0
014802,.,.,9.5
014803,.,.,.
014901,968,20.9,61.5
014902,984,19.8,48.1
014903,1042,19,83.3
014905,905,19,66.7
014906,925,19.4,56.7
014907,944,19.5,58.8
014908,1063,19.8,72.7
014909,1057,22.7,65.4
014910,979,19.8,78.7
015801,.,.,0
015802,.,.,0
015803,.,.,.
015805,.,.,.
015806,.,.,.
015807,852,.,12.8
015808,.,.,.
015809,.,.,.
015810,.,.,.
015811,.,.,.
015812,.,.,.
015813,.,.,.
015814,.,.,0
015815,.,.,.
015816,.,.,.
015817,.,.,.
015818,.,.,0
015819,.,.,.
015820,.,.,.
015822,.,.,.
015823,.,.,.
015901,1095,22.7,88.8
015904,837,18.3,47.7
015905,820,16.9,48.8
015906,1015,22.5,75.8
015907,803,16.5,63.8
015908,849,17.1,57.3
015909,877,21.3,51.5
015910,1027,21,79.1
015911,956,20,63.4
015912,847,18.4,47.6
015913,1079,23.4,75
015914,1021,21.5,81.8
015915,995,21.3,71.9
015916,973,20,63.9
015917,825,17.2,48.5
016901,966,20.2,73.7
016902,1067,20.5,70.5
017901,.,22.4,.
018901,1002,19.6,73.2
018902,1069,22.4,82.6
018903,.,.,20
018904,.,.,31.3
018905,.,19.6,55.6
018906,.,.,50
018907,.,.,.
018908,.,.,.
019802,.,.,.
019901,950,18.2,90.9
019902,.,18.8,63.2
019903,792,18.9,69
019905,1022,20.5,89.7
019906,.,23,68.9
019907,1075,20.3,64.6
019908,893,18.9,64.7
019909,.,18.8,83.3
019910,.,.,.
019911,.,.,.
019912,1062,21.9,96.6
019913,.,.,.
019914,.,.,.
020901,1009,20.8,44.9
020902,1010,21.6,55.8
020904,950,20.8,55.1
020905,1027,21.8,58.9
020906,999,20.9,62
020907,954,19.9,52.5
020908,1030,20.6,64.6
020910,.,.,.
021802,.,.,0
021803,.,.,.
021901,1109,23.2,78.9
021902,1007,19.9,53.9
022004,914,.,39.1
022901,966,19.9,73.3
022902,723,.,66.7
022903,.,.,.
023902,905,20.1,.
024801,.,.,.
024901,800,17,46.6
025901,1043,21.3,81.8
025902,972,20,61.7
025904,.,20.6,.
025905,914,22,.
025906,.,17.8,.
025908,1029,21.1,100
025909,1019,21.8,85.9
026901,1005,19.4,53.1
026902,908,16.9,39.5
026903,1020,20.3,65.5
027903,1011,20.5,55.9
027904,1009,21.4,70.5
028902,947,19,59.5
028903,927,19.6,69.1
028906,715,.,.
029901,1038,18.5,40
030901,1044,19.2,56.4
030902,1042,22.4,57.7
030903,.,19.2,100
030906,1044,20,67.6
031801,.,.,0
031802,.,.,0
031901,883,17.9,33
031903,930,19.2,51.4
031905,1029,18.5,43.8
031906,884,18.2,48.9
031909,891,16.7,44.8
031911,827,17.5,68.8
031912,840,16.8,42.6
031913,677,.,57.9
031914,719,15.9,77.5
031916,1051,21.5,98.7
032902,1000,24.9,50.5
033901,.,20.1,84.6
033902,.,20.4,76.2
033904,.,20.2,71.4
034901,1097,20.6,92.9
034902,.,18.1,.
034903,1094,19.9,87.2
034905,945,19.7,82.3
034906,.,19.3,79.3
034907,969,18.3,74.3
034908,.,.,.
034909,.,.,44.4
035901,.,18.3,69
035902,.,16.6,64.5
035903,.,23.4,85
036901,952,24,53.2
036902,1044,23,64.5
036903,914,21.6,72.9
037901,837,19.7,30.6
037904,1032,18.9,56.1
037907,1036,21.7,44
037908,.,.,50
037909,.,17,58.3
038901,1141,20,79.4
039901,.,20,45.5
039902,1002,20.9,63.1
039903,.,20.4,60.9
039904,1010,20.1,71.4
039905,1050,21,53.3
040901,.,18.6,63.6
040902,1047,20.5,66.7
041901,1002,20.6,70.4
041902,934,18.9,58.6
042901,1073,20.3,82.6
042903,.,19.7,68.4
042905,.,23.1,62.5
042906,.,.,.
043901,1036,22,76.4
043902,887,19.1,57.1
043903,985,20.9,81.3
043904,986,19,54.2
043905,1025,21.3,63.3
043907,1058,22.1,70.2
043908,.,.,.
043910,1127,24.1,90.1
043911,987,20.3,44
043912,1052,23.8,79.2
043914,973,21,70.7
043917,950,19,36.4
043918,927,19.4,68.3
043919,.,.,.
044902,.,18.3,87.5
044904,.,18.8,83.3
045902,973,20.9,76.7
045903,974,19.9,49.3
045905,959,20.9,64.4
046801,.,.,.
046901,1015,21.3,70.7
046902,993,21.4,74.4
047901,978,19.8,61.3
047902,962,19.6,67.6
047903,.,17.3,.
047905,948,.,100
048901,.,17.9,.
048903,.,18.6,78.6
049901,976,20.2,49.6
049902,1069,22.5,80
049903,1019,23.1,71.8
049905,985,21,69.6
049906,993,20.8,62.5
049907,1088,21.9,88.4
049908,.,.,.
049909,.,.,.
050901,.,19.7,86.4
050902,989,20.7,52.5
050904,.,.,27.3
050909,.,21.4,46.2
050910,966,20.6,59.5
051901,.,20.9,75
052901,949,19,52.8
053001,1010,20.6,55.6
054901,912,19.6,85.7
054902,.,18,33.3
054903,.,19.7,31.6
055901,906,19,71.4
056901,1030,20.2,81.8
056902,.,18.5,.
057802,.,.,.
057803,.,.,.
057804,763,14.9,7.4
057805,.,.,.
057806,.,.,0
057807,.,.,.
057808,.,.,.
057809,.,.,.
057810,.,.,.
057811,.,.,.
057813,.,.,.
057814,.,.,.
057815,.,.,.
057816,.,.,.
057817,.,.,.
057818,.,.,.
057819,.,.,.
057820,.,.,.
057821,.,.,.
057823,.,.,.
057825,1113,.,9.2
057827,.,.,.
057828,.,.,0
057829,.,.,.
057830,.,.,.
057831,.,.,.
057832,.,.,.
057833,.,.,.
057903,1048,21.3,71.3
057904,970,20.1,74
057905,855,17.4,49.8
057906,989,19.9,74.8
057907,961,19.7,69.6
057909,999,20.8,58.4
057910,968,18.9,49.2
057911,1166,24.9,.
057912,1026,20.6,55.4
057913,830,16.4,59.7
057914,1015,20.1,56.2
057916,1080,22.8,84.9
057919,.,.,.
057920,758,.,35.7
057922,1095,22.6,92.4
058902,.,23,38.5
058905,.,22.5,92.9
058906,1068,20.9,56.9
058909,.,18.7,35.7
059901,1041,20,43
059902,.,.,.
060902,.,20.3,59.5
060914,.,18.8,71.4
061802,.,.,.
061901,1023,20.9,75.6
061902,1072,21.3,85.1
061903,1025,21.9,72.4
061905,971,21.3,79.5
061906,932,.,54.5
061907,999,19.6,56.4
061908,974,20.1,47.5
061910,.,.,.
061911,1034,20.6,59.4
061912,1035,22.5,59.5
061914,885,17.8,52.9
062901,1152,20.4,69
062902,.,.,.
062903,1020,21.9,61.7
062904,1015,19.7,52.9
062905,.,.,.
062906,.,.,.
063903,.,20.4,92.3
063906,.,21,75
064903,888,17.6,59.3
065901,.,20.3,80.9
065902,.,18.1,70
066005,.,.,.
066901,.,16,69.7
066902,974,16.5,49
066903,.,18.2,81.1
067902,992,21,47.4
067903,986,20.6,54.3
067904,.,19.2,55.2
067907,.,17.9,79.2
067908,901,19.5,64.3
068901,967,19.9,38.8
069901,943,17.5,66.7
069902,.,20.9,77.3
070801,.,.,.
070901,.,.,31.3
070903,1018,19.2,62.9
070905,964,19.9,59.7
070907,939,18.9,58.8
070908,1016,21.5,71.9
070909,907,.,77.8
070910,987,19.8,51.9
070911,1002,20.4,75.2
070912,988,21.2,54.8
070915,1015,23.3,85
071801,.,.,.
071803,.,.,0
071804,.,.,0
071805,.,.,.
071901,802,16.6,51.5
071902,954,21,57.8
071903,867,16.2,37.2
071904,824,17.3,50
071905,799,19,99.1
071906,814,16,82.6
071907,824,17.6,54.7
071908,719,.,79.4
071909,871,19.1,58.2
072801,.,.,0
072901,.,.,.
072902,926,19.3,66.7
072903,1009,20.3,78.3
072904,.,.,.
072908,1016,20.5,100
072909,.,20,50
072910,.,.,.
073901,.,.,20
073903,870,16.8,59.2
073904,.,.,.
073905,1093,22.6,70.1
074903,964,20.5,63.7
074904,.,18.6,70
074905,854,17.9,88.9
074907,.,18.4,51.9
074909,.,20.2,38.5
074911,.,20.4,58.8
074912,.,20.8,50
074917,.,19.3,70.4
075901,.,20.4,65.8
075902,1010,21.5,51.4
075903,998,22.8,58.7
075906,1063,19.2,56.3
075908,1010,.,87
076903,.,17.9,65.2
076904,.,19,82.1
077901,.,20.9,44.9
077902,.,19.8,63.5
078901,.,17.6,66.7
079901,999,19.9,56.5
079906,1055,21.1,65
079907,1039,20.8,86.2
079908,.,.,.
079910,978,20.3,69.3
080901,959,21,60.9
081902,1020,20.8,60.2
081904,998,21.3,68.3
081905,.,19.1,85.7
081906,.,.,.
082902,.,18.3,62.2
082903,916,18.4,43.8
083901,.,19.5,62.5
083902,.,.,26.7
083903,956,19.9,47.2
084801,.,.,.
084802,.,.,.
084901,923,21.9,52.4
084902,1033,20.7,45.3
084903,905,.,66.7
084904,862,17.2,62.6
084906,923,19.4,46.9
084908,753,12.2,38.6
084909,934,20.6,45.1
084910,1074,22.3,86.9
084911,1072,22.8,83.5
085902,993,19.9,54.2
085903,.,18.7,53.8
086024,.,.,.
086901,1014,20.2,77.8
086902,1079,22.4,83.3
087901,1060,21.4,78.3
088902,991,18.8,79
089901,901,18.4,63.9
089903,.,20.1,60.7
089905,.,14.6,90.9
090902,.,.,.
090903,.,20.3,68.8
090904,1001,21.9,60.5
090905,.,.,.
091901,981,21.4,63.9
091902,.,19.1,.
091903,1127,21.1,48.3
091905,1059,22.4,55.4
091906,1056,21.7,47.7
091907,.,.,.
091908,1050,20.8,36.7
091909,1008,19.9,57.7
091910,1048,.,39.4
091913,971,20.8,48.1
091914,995,21,65.4
091917,1019,20.3,71.1
091918,921,19.6,74.5
092801,.,.,0
092901,924,19.6,57.5
092902,1015,19.1,47.3
092903,1052,20.4,62.5
092904,1053,22.5,71.9
092906,980,21.2,41.9
092907,1037,21.4,73.4
092908,1071,21.6,70.1
093901,909,20.4,55.6
093903,953,20.5,66.7
093904,934,19.2,47.7
093905,893,.,46.7
094901,971,20.5,59.1
094902,995,21,62.4
094903,1032,20.8,77.4
094904,987,20.1,88.7
095901,1030,19.7,66.7
095902,.,18.3,56.3
095903,.,18.6,67.6
095904,.,19.1,.
095905,976,19.5,41.7
096904,.,16.7,70.6
096905,.,19.5,65
097902,1196,20.3,100
097903,968,20.7,77.8
098901,.,20.6,.
098903,.,.,.
098904,.,22.5,75.4
099902,.,.,45.5
099903,.,19.7,100
100903,886,.,71.4
100904,951,18.7,59.9
100905,950,19.8,82
100907,962,18.8,77.7
100908,881,19.3,43.4
101801,.,.,.
101802,.,.,.
101803,.,.,14.3
101804,806,.,47.1
101805,736,16.2,72.2
101806,.,.,25
101807,.,.,.
101808,.,.,.
101809,.,.,0
101810,.,.,0
101811,.,.,.
101812,671,.,14.1
101813,.,.,.
101814,.,.,.
101815,.,.,.
101817,.,.,0
101818,.,.,0
101819,.,.,.
101820,.,.,.
101821,.,.,0
101822,.,.,.
101823,.,.,.
101827,.,.,0
101828,.,.,.
101829,.,.,.
101830,.,.,.
101831,.,.,0
101833,.,.,.
101834,.,.,0
101835,.,.,.
101837,.,.,9.7
101838,786,.,19.1
101840,.,.,.
101841,.,.,.
101842,.,.,0
101843,.,.,0
101844,.,.,.
101845,.,.,0
101846,.,.,.
101847,.,.,.
101848,.,.,.
101849,.,.,.
101850,.,.,.
101902,869,17.2,55.2
101903,931,18.7,73
101905,898,19.3,45
101906,1015,19.6,67.4
101907,1030,21.9,77
101908,1034,20.3,45.9
101909,751,16.1,44.8
101910,911,17.4,39.8
101911,957,19.8,42.2
101912,940,18.6,62.6
101913,1055,21.6,80.7
101914,1083,22.8,83
101915,1051,22.2,81.5
101916,1000,19.8,45.6
101917,968,20.4,38.3
101919,1001,20.2,62.3
101920,1078,22.9,72
101921,1021,21.3,75.7
101924,936,18.8,51.2
101925,977,20.8,56.5
102901,.,16.2,77.3
102902,951,18.3,61.3
102903,919,19.8,61.7
102904,979,19.9,62.6
102905,.,21,80
102906,.,18.9,84.1
103901,.,.,57.1
103902,.,17.5,100
104901,1078,19.5,97.2
104902,.,18.3,83.3
104903,.,21.5,53.3
104907,.,.,42.9
105801,992,.,18.2
105802,.,.,.
105902,958,19.1,59.7
105904,1124,22.7,92.1
105905,1050,21,88.5
105906,974,20.3,65.2
106901,.,21.7,97.8
107901,1013,20.2,45.8
107902,910,18.3,33.3
107904,914,20,48.9
107905,966,20.8,50
107906,1122,19.6,54.9
107907,.,.,16.7
107908,.,.,.
107910,.,18.7,38.7
108801,.,.,0
108802,.,.,5
108804,.,.,0
108805,.,.,0
108806,.,.,0
108807,.,.,.
108808,.,.,.
108902,842,16.4,59.2
108903,823,15.7,67.9
108904,915,16.9,74.9
108905,785,15.9,50.4
108906,946,18.5,67.2
108907,985,17.3,40.9
108908,894,17.6,57
108909,880,17.2,61.8
108910,906,16.4,44.2
108911,981,18.6,78.1
108912,889,16.8,39.9
108913,982,18,44.2
108914,797,16.1,53.3
108915,.,.,.
108916,819,16.5,90.5
109901,1133,19.7,.
109902,.,21.1,.
109903,.,.,31.3
109904,951,18.4,67.1
109905,.,20.6,63.2
109907,1078,21.8,54.5
109908,.,.,.
109910,.,.,.
109911,953,20.3,46.3
109912,.,19.5,54.5
109913,.,.,22.2
109914,878,.,62.5
110901,.,19.9,83.3
110902,1041,19.9,52
110905,.,16.8,24.5
110906,999,20.5,55.6
110907,1085,20.2,58.5
110908,.,18.4,83.3
111901,1025,21.7,57.5
111902,974,.,38.9
111903,.,21.1,51.9
112901,1003,20.5,58.7
112905,.,.,21.4
112906,.,18.9,55
112907,.,18.1,61.1
112908,.,19.8,40.6
112909,.,.,26.7
112910,.,18.9,81.3
113901,904,18,59.8
113902,913,20.5,61.7
113903,867,.,52.5
113905,924,.,.
113906,.,18.5,29.2
114901,1079,21.2,41.5
114902,986,21,63.8
114904,.,20.6,47.4
115901,.,19,24.1
115902,.,.,60
115903,.,.,45.5
116801,.,.,.
116901,969,20.8,64
116902,1128,19.6,73.1
116903,1062,21.5,83.5
116905,998,19.6,55.2
116906,938,20.7,71.4
116908,891,18.9,39
116909,.,20.1,83.9
116910,.,20,55.6
116915,878,20.3,54.5
116916,814,18.9,70.8
117901,1065,21.3,51.3
117903,.,20.3,75.8
117904,1267,21.4,70
117907,.,.,.
118902,999,20.8,65.6
119901,911,19.5,52.4
119902,990,22.5,60
119903,1061,.,47.6
120901,1021,20.3,65.6
120902,869,18.1,65.3
120905,957,20.2,67.9
121902,.,19.8,50
121903,924,18.4,61
121904,945,20,68.8
121905,909,19.2,48.5
121906,928,.,56.5
122901,.,20.3,53.3
122902,.,.,.
123801,.,.,.
123802,.,.,0
123803,.,.,.
123804,.,.,.
123805,.,.,.
123905,972,21.8,80.1
123907,840,16.6,46
123908,971,21.6,73
123910,904,18.8,58.9
123913,847,.,.
123914,964,21,68.1
124901,931,17.2,77.2
125901,1002,18.3,74.7
125902,952,18.5,96.8
125903,.,19.4,75.3
125905,803,16.8,66.7
125906,.,.,.
126901,905,20.6,70.3
126902,1005,20.5,57.4
126903,1008,20.7,58.9
126904,1010,21.8,64
126905,968,20.1,50
126906,815,.,52.2
126907,957,23.2,76
126908,1032,19.5,48.3
126911,926,20.4,56.7
127901,1000,21.1,54
127903,.,20.8,81.5
127904,.,20.9,68.1
127905,963,.,85.7
127906,1138,21.9,62
128901,1003,20,59.1
128902,957,21,41.2
128903,.,17.3,85.7
128904,947,19.1,83.3
129901,943,19.5,59.6
129902,991,20.5,69.6
129903,969,19.1,.
129904,1006,21.3,42.1
129905,931,19.5,46.6
129906,970,19,44.8
129910,882,20,59.6
130901,1032,22.1,92.8
130902,959,20.6,69.8
131001,.,.,.
132902,.,17.7,81.8
133901,1002,21.5,59.3
133902,.,.,.
133903,1021,20.8,71.1
133904,954,20.4,54.7
133905,.,.,.
134901,869,18.1,72.3
135001,.,23.2,.
136901,888,17.6,57.1
137901,910,18.3,53.9
137902,.,.,.
137903,893,18.6,65.1
137904,883,19.1,73.1
138901,.,.,.
138902,851,17.9,76
138903,.,19.9,75
138904,.,16,100
139905,.,20.1,66.7
139908,.,.,71.4
139909,997,18.8,53.3
139911,1023,21.1,49.2
139912,946,19.4,47.9
140901,.,20.4,83.3
140904,917,19.1,54.4
140905,1062,20.1,45.8
140906,.,.,15.4
140907,.,20.8,77.8
140908,.,20.9,83.3
141801,.,.,.
141901,951,19.7,53.5
141902,986,22.3,58.3
142901,.,17.9,34.4
143901,912,18.8,56.4
143902,995,20.9,73.1
143903,945,19.3,70.6
143904,.,.,.
143905,.,.,.
143906,.,.,.
144901,962,21.2,56.2
144902,929,19.6,60.3
144903,1122,21.3,85.7
145901,895,.,48.6
145902,852,.,77.8
145906,893,18,75
145907,1012,.,53.8
145911,914,20.8,64.4
146901,940,17.8,50.5
146902,904,20.4,82.3
146903,.,.,.
146904,933,19.2,52.2
146905,872,20.2,60
146906,985,22.6,66.2
146907,929,20.8,49.4
147901,.,.,55.6
147902,985,20.3,54.8
147903,944,20.4,62.2
148901,.,19.9,82.1
148902,.,18.9,95
148903,.,19.3,58.3
148905,.,.,.
149901,1026,19.2,49.4
149902,966,20.3,47.9
150901,969,19.5,76.9
152801,.,.,0
152802,.,.,.
152803,.,.,0
152804,.,.,0
152901,1015,21,55.3
152902,885,19.3,70.3
152903,978,19.9,78.3
152906,1018,21,54.5
152907,994,21.1,52.6
152908,996,20.6,53.3
152909,963,20.5,65.3
152910,1012,20.8,57.7
153903,.,18.8,60
153904,1004,19.6,81.8
153905,.,18.4,100
153907,847,19.7,87.5
154901,894,19.5,62.8
154903,945,20.8,66.7
155901,989,19.4,58.4
156902,958,.,63.9
156905,.,22.4,73.7
157901,976,19.5,61.4
158901,980,19.1,57.5
158902,893,17.5,58.5
158904,.,.,.
158905,955,19.8,52.5
158906,940,19.1,63.2
159901,867,19.7,55.4
160901,1063,19.8,53.2
160904,.,19.3,75
160905,.,16.6,80
161801,.,.,.
161802,.,.,.
161804,.,.,.
161901,992,23.6,61.9
161903,1055,22.5,69.9
161906,844,18.5,42.5
161907,1046,21.8,84.9
161908,1045,20.9,74.4
161909,1028,20.5,50
161910,920,17.8,60.5
161912,1093,23.6,55.9
161914,941,18.4,35.8
161916,948,21.2,57.8
161918,1037,19.8,46.3
161919,1091,21.9,45.7
161920,1030,20,76.2
161921,996,19.6,50.4
161922,964,20.4,64.4
161923,1040,21.1,56.7
161924,.,.,.
161925,.,.,.
162904,.,.,42.9
163901,943,20.2,59.8
163902,950,19.5,.
163903,842,17.6,52.8
163904,1024,21.2,48
163908,944,19.8,63
164901,1036,19.8,59
165801,.,.,.
165802,.,.,.
165803,.,.,0
165901,1037,22,52
165902,901,22,97.9
166901,916,19,53.6
166902,.,.,.
166903,945,19.6,67.4
166904,912,19,69.1
166905,953,19.6,94.1
166907,.,.,14.3
167901,993,21.7,71
167902,.,.,30
167903,.,19.4,71.4
167904,.,.,66.7
168901,.,20.1,56.8
168902,.,.,16.7
168903,.,.,40
169901,945,20.3,72.2
169902,1022,21.2,63
169906,.,.,33.3
169908,.,.,.
169909,.,20.1,83.3
169910,967,.,85.7
169911,973,20.3,62.1
170801,.,.,.
170902,1064,22.7,74.8
170903,1018,21,70.7
170904,953,20.2,61.8
170906,1015,19.4,61
170907,951,.,30.6
170908,947,21,48.7
171901,996,20.1,55.8
171902,.,19.5,73.6
172902,912,19.5,59.3
172905,1113,21,57.9
173901,.,19.4,80
174901,.,23.1,31
174902,1113,20.3,81.8
174903,.,19.2,80
174904,1012,20.4,56.8
174906,.,19.2,62.1
174908,976,20.9,67.9
174909,.,.,36.4
174910,.,.,.
174911,1040,23.5,94.7
175902,1072,20.4,88.9
175903,963,20.7,54.4
175904,880,19.3,83.3
175905,.,19.1,44.8
175907,1048,22.3,55.3
175910,.,20.6,72.7
175911,.,17.1,44.4
176901,.,18.3,64.7
176902,856,17.6,49.4
176903,924,20.7,60.5
