,SAT_avg,ACT_avg,SAT/ACT_pct
001902,1026,19.2,64.3
001903,950,19.1,71.7
001904,1019,.,51.4
001906,920,19.1,64.3
001907,947,21,55.2
001908,966,24.4,45.1
001909,965,22.9,66.7
002901,976,19.2,56.3
003902,1009,20.3,55.8
003903,925,20,53.6
003904,981,23.1,24.8
003905,938,18.9,56.5
003906,.,17.8,40
003907,941,20.3,50
004901,991,19.9,58.4
005901,1088,21.9,56.5
005902,954,19.7,60.6
005903,.,.,.
005904,896,19.8,82.1
006902,.,19.5,79.3
007901,.,18.9,50
007902,967,20.4,67.2
007904,941,19.8,68.5
007905,1024,19.7,64.8
007906,898,18.2,54.2
008901,974,20.6,68.7
008902,931,18.6,68.5
008903,895,18.2,78.3
009901,1239,22.5,60.5
009903,.,19,85.7
010901,985,20.5,.
010902,928,20.2,73.3
011901,976,20.3,56.6
011902,949,19,38.6
011904,967,19.8,60.6
011905,.,.,.
012901,983,22.3,72.7
013901,992,21.4,39.5
013902,.,.,.
013903,946,20.3,34.6
013905,.,20.2,45.8
014901,1091,21.5,57.4
014902,1009,20.6,75
014903,1064,20.5,80.1
014905,945,20,52.8
014906,963,20.6,57.6
014907,1019,20.7,68.1
014908,1012,21.8,72.9
014909,1022,21.2,66.2
014910,1007,20.2,72.7
015801,.,.,0
015802,.,.,0
015901,1108,22.7,89.8
015904,842,17.2,42.1
015905,808,16.3,49.8
015906,1043,21.1,82.4
015907,826,17.3,62.4
015908,826,17.4,58.2
015909,884,19.7,75
015910,1025,21.2,82.8
015911,936,19.1,73.4
015912,821,17.9,66
015913,1067,22.2,95.8
015914,1011,21.8,88.7
015915,1005,21.1,68.4
015916,1002,21,61.7
015917,880,17.9,51.3
016901,1093,21.3,87.1
016902,995,19.9,78
017901,948,20.3,93.8
018901,1006,21.2,64.6
018902,983,22.3,82.6
018903,.,.,50
018904,984,18.4,73.1
018905,955,21,.
018906,.,.,57.1
018907,.,20.3,50
018908,.,.,100
019901,1052,19.3,81.3
019902,.,21.7,66.2
019903,.,18.8,69.2
019905,989,19.9,81.8
019906,.,20.3,67.9
019907,1010,19.9,71.9
019908,995,18.8,61.5
019909,.,20.4,55.6
019910,.,.,.
019911,.,.,.
019912,1052,20.7,92
019913,.,.,.
019914,.,.,.
020901,1019,21.7,44.7
020902,1012,20.6,54
020904,981,21.9,57.5
020905,1047,21.7,70.6
020906,999,21.8,63.3
020907,955,20.8,53.5
020908,1010,20.7,72.2
020910,.,.,.
021901,1090,21.9,85
021902,999,21.6,67.4
022004,.,.,0
022901,983,19.3,69.1
022902,.,.,50
022903,.,.,.
023902,.,19.3,66.7
024901,848,17.2,76.8
025901,.,20.5,90.4
025902,965,21,68.5
025904,918,18.9,91.7
025905,.,.,.
025906,.,18,.
025908,973,19.5,93.8
025909,999,23,88.9
026901,944,18.6,62
026902,858,16.6,55.3
026903,836,.,50
027903,959,18.7,64.5
027904,1029,21.5,63.5
028902,945,20.4,68.9
028903,931,18.6,65.8
028906,.,.,37.5
029901,1015,19.6,49.5
030901,.,20.6,52
030902,1001,21.4,59
030903,897,19.8,68.8
030906,1007,19.8,76
031901,874,18.7,35.8
031903,940,18.3,51.4
031905,910,18.2,56.3
031906,891,18.8,25.2
031909,861,18.3,60.7
031911,787,16.9,98.8
031912,860,17.2,32
031913,808,.,33.3
031914,.,16.1,28.1
031916,1052,22.5,99.6
032902,908,19.9,54.2
033901,.,20.1,94.1
033902,1110,20.8,81
033904,1043,21,68.6
034901,.,20.4,77.5
034902,.,18.1,.
034903,.,19.3,72
034905,1006,19.6,67.7
034906,.,18.8,85
034907,1084,18.8,71.4
034908,.,.,.
034909,.,20.1,64.7
035901,.,19.5,67.1
035902,.,16.5,57.6
035903,.,21.1,90
036901,915,18,55.6
036902,975,21.6,71.3
036903,891,.,70.7
037901,993,17.7,53.8
037904,950,20.2,55.8
037907,1057,20.7,42.7
037908,.,.,28.6
037909,980,.,60
038901,970,18.6,94.4
039901,.,.,50
039902,983,21.7,78.8
039903,.,18.2,60.9
039904,1042,20.7,72.7
039905,.,.,83.3
040901,.,18.1,53.3
040902,1008,19.4,71.4
041901,935,20.1,80
041902,.,19,95.5
042901,.,19.6,65.2
042903,.,18.9,91.7
042905,.,19.9,73.3
042906,.,.,16.7
043901,1079,22.8,68.3
043902,879,20.6,53.8
043903,1023,18.6,83
043904,969,21.4,60.4
043905,1000,20.5,54
043907,1094,20.6,63.7
043908,.,.,.
043910,1113,23.5,83.1
043911,1001,17.8,42.5
043912,992,21.1,65.4
043914,1028,21.9,52.1
043917,.,.,15.8
043918,882,20.4,76.7
043919,.,.,.
044902,.,20.4,70.3
044904,.,18.5,.
045902,951,20.7,82.3
045903,977,21,79.7
045905,980,22.1,67.5
046901,1014,20.7,75.2
046902,1004,21.2,76.5
047901,952,19.4,68.3
047902,927,18.9,40
047903,934,18.5,75
047905,1079,.,63.6
048901,1046,20,75
048903,.,20.3,66.7
049901,1040,19.9,45.1
049902,1082,21.2,82.4
049903,1063,.,36.7
049905,1031,23.1,38.9
049906,1101,24.4,47.1
049907,1066,23.7,73.9
049908,.,.,.
049909,.,.,.
050901,1048,20.6,54.2
050902,1002,20.9,44.1
050904,.,.,28.6
050909,1007,.,77.8
050910,954,20.9,64.8
051901,.,17.6,90.5
052901,969,19,64.8
053001,959,19.2,36.5
054901,.,18,81.1
054902,838,19.1,40.9
054903,.,18.5,45.7
055901,915,18.6,.
056901,1091,21.4,70.2
056902,.,25.3,87.5
057801,.,.,.
057802,.,.,.
057803,.,.,.
057804,.,.,0
057903,1064,21.1,69.9
057904,1008,20.6,81.4
057905,872,17.8,52.2
057906,1061,21,68
057907,991,20.4,64.8
