,SAT_avg,ACT_avg,SAT/ACT_pct
001902,1069,20.7,70
001903,950,19.9,66
001904,987,23.6,42.9
001906,.,.,26.7
001907,981,21,58.1
001908,925,19.7,57.5
001909,.,.,29.4
002901,964,20.7,64.3
003902,950,18.9,45.2
003903,976,19.3,63
003904,937,20.5,26
003905,981,20.3,55.2
003906,.,20.7,53.3
003907,949,.,50.9
004901,974,20.7,67.6
005901,1029,22.2,61.3
005902,952,20.6,79.6
005903,.,.,14.3
005904,961,20.6,100
006902,1012,21.3,76
007901,.,17.6,57.1
007902,1025,20.4,78
007904,896,18.8,63.5
007905,1022,19.8,70.5
007906,847,18.8,46.3
008901,982,21,67.2
008902,1005,20.2,70.5
008903,947,21.2,83.3
009901,.,19.4,80
009903,.,18.7,75
010901,947,21.9,.
010902,1033,20.4,60
011901,985,19.4,60
011902,944,19.3,44.5
011904,967,20.7,50.8
011905,.,.,.
012901,1066,18.8,85.7
013901,974,19.7,46.8
013902,.,.,.
013903,845,18.1,43.3
013905,.,19.4,69
014901,1054,20.1,67.4
014902,956,20.5,50
014903,1031,19.4,96.5
014905,991,19.6,43.8
014906,963,19.9,57.4
014907,.,20.5,48.6
014908,957,20.7,64.1
014909,1024,20.7,72.2
014910,992,19.7,70
015801,.,.,.
015802,.,.,.
015901,1099,21.9,89.1
015904,836,17.5,47.5
015905,839,16.7,44.1
015906,1012,22.3,93.8
015907,830,17,80.3
015908,838,17,58.4
015909,862,18.3,66.7
015910,1021,21.1,81.2
015911,916,18.9,65.7
015912,820,18.3,82.5
015913,1054,22.9,78.3
015914,1006,23.6,76
015915,1002,20.9,67.5
015916,992,20.5,63.7
015917,854,17.6,69.1
016901,1078,20.7,82.8
016902,1103,21.3,70.5
017901,.,20.6,.
018901,1007,20.3,86.4
018902,984,.,66.7
018903,.,.,.
018904,1036,21.4,72.7
018905,.,19.3,.
018906,.,.,42.9
018907,.,.,37.5
018908,.,18.4,71.4
019901,.,19.1,67.6
019902,.,19.7,81.8
019903,.,19.6,38.5
019905,960,20.1,77.8
019906,.,21.2,82.4
019907,983,20.4,74.6
019908,975,19.1,45.8
019909,.,20.2,52.2
019910,.,.,.
019911,.,.,.
019912,1074,22.6,92.7
019913,.,.,.
019914,.,.,.
020901,1008,20.9,39.4
020902,989,21.2,55.2
020904,883,20,61.1
020905,1055,22.1,61.7
020906,993,21.2,66.1
020907,940,19.9,62.6
020908,1009,20.4,68.7
020910,.,.,.
021901,1089,23.2,81.3
021902,981,21.1,59.4
022004,.,.,.
022901,917,19.7,87
022902,.,.,44.4
022903,.,.,.
023902,919,.,58.8
024901,877,17.4,63.3
025901,964,19,72.3
025902,960,22.3,65.3
025904,942,19,.
025905,874,.,37.5
025906,.,19.2,100
025908,824,.,100
025909,995,22.6,86.8
026901,988,21.3,55.1
026902,868,.,43.8
026903,885,.,56
027903,977,19.8,49.1
027904,993,21.4,65.9
028902,921,20,59.5
028903,956,18.4,59.4
028906,.,.,50
029901,1001,17.9,53.5
030901,.,19.9,62.5
030902,1025,22.5,63.5
030903,975,20.9,72.4
030906,.,18.6,54.5
