,SAT_avg,ACT_avg,SAT/ACT_pct,EOC_alg1_avg,EOC_eng1_avg,EOC_his_avg,DISTRICT
001902,1483,20.2,56.8,85,74,.,001902
001903,1417,-1,50,88,77,.,001903
001904,1312,18.3,50,86,76,75,001904
001906,1284,19.9,77.8,78,82,.,001906
001907,1392,19.7,30.2,66,57,-1,001907
001908,1417,20,51,87,71,-1,001908
001909,1571,23.7,46.4,66,76,.,001909
002901,1495,20.8,33.8,69,59,.,002901
003801,.,.,.,82,79,-1,003801
003902,1410,20.7,53.9,93,86,56,003902
003903,1473,18.6,40.9,85,73,72,003903
003904,1458,21,58.5,71,70,-1,003904
003905,1477,19.5,58.3,80,53,.,003905
003906,1401,22.6,58.6,72,85,.,003906
003907,1419,-1,29.3,79,67,-1,003907
004901,1374,20.7,65.7,74,74,-1,004901
005901,1487,20.5,66.7,76,74,.,005901
005902,1539,23.3,81,88,82,.,005902
005904,1514,22.4,68.3,91,80,.,005904
006902,-1,21.9,73.5,72,79,-1,006902
007901,1182,17,79.4,60,41,-1,007901
007902,1358,21,65,68,63,-1,007902
007904,1342,18.3,72.6,71,65,.,007904
007905,1390,20.4,39.8,66,52,-1,007905
007906,1309,17.2,44.7,63,49,-1,007906
008901,1474,22.7,63.4,91,81,.,008901
008902,1358,19.6,58.9,85,69,-1,008902
008903,1407,21.1,64.2,82,60,.,008903
009901,-1,18.8,64.8,81,64,-1,009901
010901,1388,21.3,81.8,58,87,.,010901
010902,1423,20.8,63.4,75,85,-1,010902
011901,1405,20,55.7,81,70,100,011901
011902,1362,17.8,63.5,69,56,-1,011902
011904,1447,21,54.7,73,79,-1,011904
011905,.,.,.,55,.,.,011905
012901,-1,22.6,60,88,78,.,012901
013801,.,.,.,.,.,.,013801
013901,1475,19.6,52.8,56,55,-1,013901
013902,.,.,.,.,.,.,013902
013903,1282,17.4,56.4,88,76,-1,013903
013905,1370,20.3,56.7,93,84,.,013905
014801,1197,-1,15.4,-1,38,.,014801
014802,.,.,0,-1,-1,-1,014802
014803,1578,.,55.6,83,83,-1,014803
014804,1486,-1,25.4,72,78,.,014804
014901,1526,23.6,59.7,88,76,-1,014901
014902,1121,-1,65.5,68,53,-1,014902
014903,1465,22.6,55.1,86,77,89,014903
014905,1420,19.2,67.6,84,70,.,014905
014906,1376,20,62.9,76,71,59,014906
014907,1396,21.3,67.2,90,67,.,014907
014908,1541,24.4,82.3,91,89,-1,014908
014909,1448,21.6,43,64,54,62,014909
014910,1476,20.1,64.2,92,83,-1,014910
015801,1056,.,17.9,24,37,-1,015801
015802,-1,-1,8.3,54,52,.,015802
015803,-1,.,-1,58,46,.,015803
015805,.,.,.,.,.,.,015805
015806,1240,.,93.5,70,51,70,015806
015807,1219,-1,8.6,39,35,-1,015807
015808,.,.,0,43,50,.,015808
015809,.,.,.,.,.,.,015809
015814,-1,.,15.4,56,35,.,015814
015815,-1,-1,16,92,69,-1,015815
015816,.,16.1,27.6,54,71,.,015816
015817,.,18.6,6.5,34,23,-1,015817
015819,-1,.,3.7,56,41,.,015819
015820,1182,.,13.5,50,63,.,015820
015822,1281,-1,90.9,64,51,58,015822
015823,-1,.,6.7,-1,-1,.,015823
015825,.,.,.,.,.,.,015825
015826,.,.,.,87,81,-1,015826
015827,1688,25.8,-2,89,83,.,015827
015828,1483,21.6,-2,82,70,.,015828
015830,1357,23,-2,72,79,84,015830
015831,.,.,.,96,88,.,015831
015832,.,.,.,78,60,.,015832
015833,1242,.,71.4,57,57,.,015833
015901,1644,23.9,90.4,93,84,-1,015901
015904,1269,17.9,54.8,67,54,76,015904
015905,1166,16.1,63.2,53,49,-1,015905
015906,1572,22.3,94.7,94,89,93,015906
015907,1217,17,62.8,67,58,64,015907
015908,1258,17.7,56.9,65,56,86,015908
015909,1238,18,60.8,63,49,-1,015909
015910,1508,21.9,73.8,86,81,72,015910
015911,1333,19.5,63,71,61,-1,015911
015912,1324,18.3,35.6,59,57,69,015912
015913,1566,22,94.9,94,90,-1,015913
015914,1482,21.7,89.2,77,82,-1,015914
015915,1420,21.2,66.4,83,78,77,015915
015916,1321,18.9,64,69,65,76,015916
015917,1273,18,56.9,71,61,75,015917
016901,1448,19.2,72,72,66,.,016901
016902,1416,19.6,76.1,93,72,.,016902
017901,.,21.8,83.3,100,90,.,017901
018901,1572,22.2,56.9,84,74,-1,018901
018902,1445,20.2,88.2,94,83,.,018902
018903,-1,.,40,86,86,.,018903
018904,1480,21.7,35.7,80,73,.,018904
018905,-1,16.7,46.2,57,54,.,018905
018906,1316,-1,62.5,-1,-1,.,018906
018907,-1,-1,23.5,78,95,.,018907
018908,-1,-1,40,75,82,.,018908
019901,1513,19.6,62.9,77,67,-1,019901
019902,.,19.7,70.5,73,74,.,019902
019903,-1,19,65.8,83,70,.,019903
019905,-1,19.1,76.7,74,70,-1,019905
019906,-1,21,68.9,77,72,-1,019906
019907,1548,20.6,63.9,69,69,-1,019907
019908,1372,18.1,67.9,67,70,-1,019908
019909,.,18.1,65.2,74,87,69,019909
019910,.,.,.,.,.,.,019910
019911,.,.,.,100,.,.,019911
