,SAT_avg,ACT_avg,SAT/ACT_pct
001902,939,19.8,48.6
001903,910,21.4,60.9
001904,969,19.5,55.9
001906,-1,24,45.5
001907,974,18.7,41.3
001908,920,17.9,55.9
001909,1170,24.5,33.3
002901,958,19.9,40.5
003801,.,.,.
003902,973,20.2,58.6
003903,972,17.9,64.1
003904,945,18.9,47.4
003905,926,18.4,74.5
003906,-1,19.6,58.3
003907,976,18.4,39.2
004901,1008,20.7,58.5
005901,983,21.8,71
005902,1043,21.4,75
005904,1040,23.4,69
006902,.,18.9,90.9
007901,-1,17.8,100
007902,933,19.7,47.7
007904,877,15.2,76
007905,1001,20.1,57
007906,876,17.5,45.5
008901,997,21.9,76.1
008902,966,20.2,61.1
008903,917,18.1,70.6
009901,1072,21.5,58.7
010901,911,17.4,-2
010902,986,20,76.2
011901,976,19.8,61.4
011902,915,18.5,61.1
011904,1023,21.8,65.2
011905,.,.,.
012901,-1,20.5,77.6
013801,.,.,.
013901,966,17.8,57.9
013902,.,.,.
013903,948,19,88.2
013905,-1,18.6,38.2
014801,-1,.,5.6
014802,.,.,0
014803,.,.,-1
014804,.,.,.
014901,1001,21.2,84.6
014902,791,22,57.7
014903,1030,20,61.4
014905,-1,20.8,44
014906,942,19.6,70.7
014907,971,18.9,63.5
014908,1017,21.5,70.8
014909,1026,21.7,51.9
014910,1025,21.7,55.6
015801,824,.,13.2
015802,725,-1,14.5
015803,.,.,0
015805,.,.,.
015806,753,15.2,-2
015807,838,-1,25.7
015808,.,-1,16.7
015809,.,.,.
015811,.,.,.
015812,.,.,0
015813,.,.,.
015814,-1,.,9.1
015815,-1,.,6.7
015816,.,.,-1
015817,.,-1,5
015819,.,-1,4.8
015820,-1,.,5.9
015822,740,.,50
015823,.,.,0
015824,.,.,.
015825,.,.,.
015826,.,.,.
015827,.,.,.
015828,.,.,.
015830,.,.,.
015901,1126,23.6,-2
015904,848,18.1,47.6
015905,834,16.2,57
015906,1071,23.8,-2
015907,834,16.5,72.5
015908,828,17.4,59.1
015909,849,16.9,48.7
015910,1024,21.7,80.7
015911,936,18.8,67.7
015912,882,17.8,45.9
015913,1040,22.1,55.2
015914,1017,22.6,93.5
015915,985,20.9,65.8
015916,939,19,52.7
015917,833,16.8,41.5
016901,1010,23.3,80
016902,1069,22.2,74.1
017901,1076,21.3,88.2
018901,981,20.1,87.9
018902,952,18.9,90.5
018903,-1,.,60
018904,971,19.2,57.5
018905,.,.,0
018906,-1,-1,57.1
018907,980,18.4,54.5
018908,-1,.,50
019901,-1,19.6,84.2
019902,.,20.3,64.1
019903,.,19,79.3
019905,-1,19.9,88.9
019906,.,21.9,75.4
019907,1114,20,72.2
019908,-1,19.5,92.4
019909,.,19.3,58.3
019910,.,.,.
019911,.,.,.
019912,1329,23.1,82.6
019913,.,.,.
019914,.,.,.
020901,978,18.9,38.5
020902,992,21.3,46.4
020904,912,-1,60
020905,1049,22.2,55.8
020906,999,21.3,51.9
020907,945,19.2,42.1
020908,1027,21,68.3
020910,.,.,.
021803,-1,-1,25
