,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,white_stu_count,his_stu_count,all_stud_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_avg_salary,teacher_experience,exp_w_dist,dist_name,dist_num,county_num,attendance
001902,65,37,46,44,76,528,14,624,42,97,154,13.2,13.1,12.8,30631,9.9,4.5,CAYUGA ISD,001902,001,96.1
001903,100,87,72,71,80,1013,30,1126,73,219,454,15.8,15.9,18.8,30988,12.6,7.1,ELKHART ISD,001903,001,95.8
001904,62,78,46,49,105,670,26,807,91,129,362,13,14.2,20.7,32481,15.1,7.8,FRANKSTON ISD,001904,001,96.3
001906,24,24,22,22,45,287,6,339,10,68,124,19,11.5,15.1,30220,10.4,5.7,NECHES ISD,001906,001,96.4
001907,354,286,218,229,1223,1716,756,3719,207,395,1891,20.6,19.3,19.2,32288,13.3,9.7,PALESTINE ISD,001907,001,95.5
001908,160,135,119,90,293,1385,149,1840,101,255,687,20.5,18.7,21.6,31038,12.9,8.3,WESTWOOD ISD,001908,001,94.6
001909,32,22,25,31,8,337,18,364,34,84,175,15.5,9.8,12,31948,11.3,4.6,SLOCUM ISD,001909,001,96.1
002901,299,297,253,203,61,1667,1706,3468,273,777,1448,20.3,18.1,20.1,38990,14.2,9.9,ANDREWS ISD,002901,002,95.1
003902,173,161,160,149,60,1792,373,2235,141,270,1044,21.6,17.9,22.1,31065,11.7,7.1,HUDSON ISD,003902,003,96.3
003903,612,646,545,519,2562,3754,1675,8098,673,961,4253,18,19,20.8,32125,13.6,9.9,LUFKIN ISD,003903,003,95.8
003904,122,137,148,107,82,1514,26,1622,118,301,711,26.1,18.2,18.8,31569,12,7.9,HUNTINGTON ISD,003904,003,94.7
003905,145,141,141,106,354,871,716,1942,88,263,1172,22,21.1,20.1,31941,11.6,7.2,DIBOLL ISD,003905,003,95.8
003906,34,24,27,26,0,438,5,443,18,92,226,13.4,11.3,15,29039,7.3,5.6,ZAVALLA ISD,003906,003,94.8
003907,134,103,94,84,46,1470,119,1637,89,228,752,19.6,18.2,19.5,32861,12.2,7,CENTRAL ISD,003907,003,96
004901,313,236,282,212,75,2197,992,3468,283,569,1792,18.9,18.3,25.9,33924,13,6.5,ARANSAS COUNTY ISD,004901,004,94.7
005901,54,48,40,41,1,594,15,610,34,76,150,19.8,14,18.2,31599,13.6,7.3,ARCHER CITY ISD,005901,005,96.7
005902,92,90,75,60,1,953,31,985,64,77,175,17.3,16.5,20.3,33754,12.6,7.8,HOLLIDAY ISD,005902,005,96.9
005903,7,9,4,11,1,65,10,76,0,17,39,7,8.7,5,30326,9,3.3,MEGARGEL ISD,005903,005,92
005904,31,30,20,23,1,321,46,372,30,35,117,13.8,11.1,13,31126,10.8,8,WINDTHORST ISD,005904,005,98.2
006902,33,35,33,19,0,365,21,387,35,55,95,13,12.1,16.7,33172,12.8,7,CLAUDE ISD,006902,006,96.7
