,general_wages,athletics_wages,gifted_wages,accelerated_wages,disability_wages,billingual_wages,bond_interest,debt_interest,rent,athletics,per_capita_ASF,foundational_school,school_lunch,bond_principal,prof_services,utilities,USDA_donations,overtime,land_purchase
004901041,2503859,3000.0,1000.0,,499561.0,250.0,,,,,,,,,29858.0,139482.0,,12234.0,
004901101,1624340,,500.0,,357060.0,500.0,,,,,,,,,21185.0,146270.0,,1831.0,
004901102,854030,,500.0,,62663.0,500.0,,,,,,,,,4606.0,72528.0,,3795.0,
004901103,2234152,,500.0,,432493.0,500.0,,,,,,,,,33495.0,188981.0,,3133.0,
004901998,2360,,,,,,1031971.0,104669.0,,,,,,1460000.0,,51775.0,,,
005901001,1158360,91328.0,704.0,29088.0,97550.0,,,,,,,,,,50706.0,88719.0,,2125.0,
005901101,740371,,13411.0,111553.0,143279.0,,,,,,,,,,14017.0,29409.0,,,
005902001,923226,154868.0,,17442.0,75496.0,,,,,,,,,,42881.0,,,10905.0,
005902041,756489,,,40884.0,60271.0,,,,,,,,,,2185.0,,,942.0,
005902101,1209495,,18882.0,111596.0,94199.0,3482.0,,,,,,,,,739.0,,,1294.0,
005902999,1412,,417.0,213.0,,,662135.0,1973.0,,,,,,370000.0,5380.0,222079.0,20127.0,35864.0,
005904001,457564,102858.0,1137.0,14629.0,32390.0,,,,,,,,,,7736.0,1571.0,,31950.0,
005904041,367253,13358.0,,54477.0,11012.0,,,,,,,,,,357.0,42.0,,,
005904101,423319,,2618.0,34394.0,68303.0,3291.0,,,,,,,,,497.0,612.0,,15058.0,
005904999,1714,,,,,,74262.0,,,,,,,100000.0,80245.0,175750.0,13515.0,3352.0,
006902001,748137,,,,122884.0,,,,,,,,,,20995.0,,,,
006902101,549374,,2810.0,,46809.0,,,,,,,,,,8332.0,,,,
007901001,525781,,273.0,43859.0,61019.0,,,,,,,,,,15334.0,,,,
007901041,529386,,295.0,70630.0,59010.0,,,,,,,,,,9958.0,,,,
